date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,TOI,FP/60,FP,value
21_02_10,Alexander Kerfoot,C,TOR,MTL,0.5029572020677134,1.5088716062031402,5.364876822055609,2.1794812089600915,0.6337260746053188,14.219999999999994,0.6766885618495434,0.8110307862777472,3.3,4.6,3900,15.0666666666667,57.345132743362704,14.4,3.692307692307692
21_02_10,Anders Bjork,W,BOS,NYR,0.5421686746987954,0.9036144578313257,2.7108433734939767,1.445783132530121,0.29277108433734955,12.542222222222225,0.6289112159114204,0.0,3.1,4.3,3000,14.35,56.86411149825784,13.6,4.533333333333333
21_02_10,Artemi Panarin,W,NYR,BOS,0.8212214038975448,2.3463468682786996,6.452453887766424,1.0558560907254149,0.5924525842403716,21.256666666666604,0.9213053709133057,0.724681283465927,2.4,15.3,7700,15.5666666666663,12.334047109208,3.2,0.4155844155844156
21_02_10,Artturi Lehkonen,W,MTL,TOR,0.17022886324948036,0.6809154529979214,8.341214299224537,2.3832040854927254,0.633251371288067,14.28722222222219,0.48140002591032816,0.0,3.3,5.5,3500,9.65,19.89637305699482,3.2,0.9142857142857144
21_02_10,Auston Matthews,C,TOR,MTL,1.6234254276523443,0.9740552565914066,10.173466013288026,3.5715359408351577,0.9892072272494954,22.042777777777815,0.9824765596296616,0.8888256950465402,3.3,16.7,8700,22.10000000000003,43.43891402714926,15.999999999999998,1.8390804597701147
21_02_10,Brad Marchand,W,BOS,NYR,1.4906832298136623,1.4906832298136623,8.198757763975143,1.0434782608695636,0.8243478260869553,18.604444444444464,0.979026450479609,0.8996021680051013,3.1,15.6,7900,23.2833333333333,39.16964924838946,15.2,1.9240506329113924
21_02_10,Brendan Gallagher,W,MTL,TOR,1.286939942802666,0.8579599618684441,14.013346043851252,1.0009532888465182,1.29408960915157,15.957777777777814,0.6827234813983327,0.6344166869600316,3.3,12.5,6900,16.0833333333333,0.0,0.0,0.0
21_02_10,Brendan Lemieux,W,NYR,BOS,0.2110941714553781,1.0554708572768905,8.021578515304368,3.5886009147414275,0.7641609006684688,10.826111111111064,0.6741224627511513,0.9213053709133057,2.4,4.6,3400,10.5,118.85714285714286,20.8,6.11764705882353
21_02_10,Brett Howden,C,NYR,BOS,0.4015616285554936,0.8031232571109872,4.015616285554936,3.6140546569994423,0.4557724484104853,12.124444444444443,0.5126295662674875,0.0,2.4,2.5,3200,12.6833333333333,15.137976346912,3.2,1.0
21_02_10,Charlie Coyle,C,BOS,NYR,1.0334221857699397,0.5905269632971084,6.791060077916748,1.6239491490670481,0.6289112159114204,17.123888888888903,0.29277108433734955,0.7207519008730523,3.1,8.5,4100,17.51666666666697,5.480494766888582,1.6,0.3902439024390244
21_02_10,Chris Kreider,W,NYR,BOS,1.0706547138547864,0.764753367039133,6.882780303352198,2.906062794748706,0.6638059225899676,16.75444444444438,0.7551189639039066,0.700896837349395,2.4,10.2,5600,18.21666666666703,10.539798719121476,3.2,0.5714285714285715
21_02_10,Chris Wagner,W,BOS,NYR,0.5829015544041456,0.1943005181347152,8.160621761658039,2.137305699481867,0.841321243523317,11.99333333333332,0.4593282350996571,0.0,3.1,4.4,3000,9.683333333333367,106.57487091221992,17.2,5.733333333333333
21_02_10,Corey Perry,W,MTL,TOR,0.33169023817201987,0.6633804763440397,6.136269406182367,2.985212143548178,0.7297185239784436,14.181111111111045,0.8801910016735517,0.8874223617188686,3.3,7.2,3600,12.5,15.36,3.2,0.888888888888889
