date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,TOI,FP/60,FP,value
21_03_03,Adam Henrique,C,ANA,STL,1.2173986557889813,0.6086993278944907,5.782643614997661,3.804370799340567,0.6178298178129082,16.663333333333362,0.523913359348923,0.6905317529125572,2.5,8.5,4000,15.2500000000003,25.180327868851965,6.4,1.6
21_03_03,Adrian Kempe,W,LAK,ARI,0.6393748334961382,0.4795311251221037,7.35281058520559,1.5984370837403454,0.6889263830920889,17.000555555555522,0.550432414353288,0.7783144153112268,2.8,8.7,4500,13.6166666666663,44.50428396572947,10.1,2.2444444444444445
21_03_03,Alex Iafallo,W,LAK,ARI,0.38948393378773044,1.428107757221678,6.36157091853293,1.9474196689386523,0.6011035378123972,20.24555555555559,0.8669198540606418,0.807588697071124,2.8,11.1,5100,20.833333333333,23.04000000000037,8.0,1.5686274509803921
21_03_03,Alex Ovechkin,W,WSH,BOS,1.5010423905489914,0.8756080611535783,10.257123002084773,2.7519110493398173,0.875608061153578,19.991111111111135,0.5800397642738093,0.6790719667694546,2.8,14.0,8200,23.216666666667,20.674802584350022,8.0,0.975609756097561
21_03_03,Alex Tuch,W,VGK,MIN,1.217038539553756,0.9127789046653169,8.367139959432071,2.281947261663292,0.7500000000000021,15.766111111111071,0.4896956359151452,0.8548945171139639,3.0,9.7,4600,17.0999999999997,92.63157894737006,26.4,5.739130434782608
21_03_03,Alexander Kerfoot,W,TOR,EDM,0.6660499537465342,1.1655874190564348,3.996299722479206,3.1637372802960373,0.481221091581871,14.323333333333276,0.8748873621014798,0.0,3.3,4.2,4100,14.9333333333337,6.428571428571272,1.6,0.3902439024390244
21_03_03,Alexander True,C,SJS,COL,0.2687389312572241,1.2401329826662404,5.55378009122529,1.4681086130348657,0.4857371250770229,10.087066519499636,0.6398656147419675,0.7389400108336343,2.5,3.0,3000,6.56666666666663,14.619289340101606,1.6,0.5333333333333333
21_03_03,Andre Burakovsky,W,COL,SJS,0.9211480233698656,1.8422960467397311,4.605740116849328,1.8422960467397311,0.4743912320354808,15.0738888888889,0.4477264064772104,0.512363679403465,3.5,9.5,5000,18.266666666667,21.0218978102186,6.4,1.28
21_03_03,Andreas Athanasiou,C,LAK,ARI,1.3025780189959273,0.6512890094979636,7.4898236092265815,1.3025780189959273,0.8222523744911793,13.945555555555583,0.6746345928502556,0.6332338666845998,2.8,8.8,3900,16.8666666666667,51.22529644268765,14.4,3.692307692307692
21_03_03,Anze Kopitar,C,LAK,ARI,0.6028333165879659,1.2056666331759318,5.907766502562066,3.134733246257423,0.8258816437255135,22.014999999999922,0.7545308011040837,0.732662661766752,2.8,13.8,7000,21.7833333333333,32.22647283856164,11.7,1.6714285714285713
21_03_03,Austin Wagner,W,LAK,ARI,0.9665467432744467,0.5799280459646681,8.312301992160242,1.9330934865488933,0.6243891961552925,10.4711111111111,0.626212864227393,0.0,2.8,1.3,3600,9.98333333333337,19.232053422370548,3.2,0.888888888888889
21_03_03,Blake Lizotte,C,LAK,ARI,0.3520610239108117,0.8801525597770291,4.928854334751364,2.288396655420276,0.5122487897902308,13.633333333333319,0.6822830674099238,0.0,2.8,2.8,3200,10.9666666666667,17.507598784194478,3.2,1.0
21_03_03,Brad Marchand,W,BOS,WSH,1.5843168633726772,1.7283456691338297,7.6335267053410805,1.2962592518503722,0.7820764152830578,18.539444444444424,0.8327961684657408,0.7874288149813541,3.2,14.6,7800,19.733333333333032,29.18918918918964,9.6,1.2307692307692308
21_03_03,Brandon Saad,W,COL,SJS,1.2135001896094075,0.7584376185058797,7.736063708759973,0.7584376185058797,0.6416382252559741,15.529444444444408,0.8517060156002887,0.45661468166330055,3.5,8.0,4600,15.1833333333337,12.645444566410234,3.2,0.6956521739130436
