date,name,position,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,lmevixG/60,pplmevixG/60,implied_team_score,FP/60
21_01_21,Adam Gaudette,C,0.9982253771073644,1.1978704525288373,6.787932564330077,1.3975155279503102,0.774622892635315,0.7699915435814444,0.6320105836634777,3.1,18.05642633228841
21_01_21,Adam Lowry,C,0.48760666395774216,0.48760666395774216,6.663957740755809,1.3002844372206455,0.588378707842342,0.5094631790405558,0.5403792465229766,3.1,51.91416309012893
21_01_21,Adrian Kempe,W,0.4647160068846833,0.7745266781411385,9.60413080895012,1.239242685025822,0.8411359724612768,0.58296707846866,0.5561832879005831,2.1,61.32879045996708
21_01_21,Alex Galchenyuk,W,0.8035265889180319,0.8035265889180319,6.026449416885239,1.8079348250655716,0.5504157134088518,0.6249090376182838,0.5472969919907651,2.9,16.842105263158384
21_01_21,Alex Iafallo,W,0.7490896479972231,1.3733310213282421,6.367262007976396,2.1224206693254652,0.48940523669151903,0.758832446353539,0.6441159718430226,2.1,29.18918918918865
21_01_21,Alex Killorn,W,1.2672152065824733,0.9504114049368552,5.70246842962113,0.6336076032912367,0.6510318123817458,0.5547003894180551,0.6865817571856646,3.1,35.301327885597466
21_01_21,Alexandre Texier,C,1.1202489442098202,1.1202489442098202,6.721493665258921,1.1202489442098202,0.504112024894419,0.8203859305419193,0.5277455558676182,2.5,4.76033057851239
21_01_21,Anders Bjork,W,0.5226986738941024,0.8711644564901706,4.355822282450853,1.393863130384273,0.4320975704191246,0.8275737545977412,0.0,2.9,0.0
21_01_21,Anders Lee,W,0.8878241262683233,1.2683201803833188,10.907553551296543,3.0439684329199657,1.2835400225479188,0.7402494293510611,0.4644835557700944,3.0,48.05005213764228
21_01_21,Andreas Athanasiou,W,1.0693825588796892,0.45830681094843834,8.096753660089076,1.8332272437937533,0.9166136218968767,0.7446877335277848,0.4746121548856539,2.1,58.26923076923076
21_01_21,Andreas Johnsson,W,0.31100168459246036,1.0885058960736111,5.131527795775597,2.332512634443453,0.5706880912271648,0.4823386114494524,0.29991292891308746,2.5,7.901234567901235
21_01_21,Andrew Copp,W,0.41660237617651574,0.9720722110785367,6.943372936275262,1.110939669804042,0.6040734454559478,0.9006069376512443,0.5364555621195751,3.1,50.64748201438842
21_01_21,Anthony Beauvillier,W,0.995771920812429,0.995771920812429,7.539415971865534,1.991543841624858,0.8421385387442258,0.6579017290847529,0.5323639104275105,3.0,19.437570303712032
21_01_21,Anthony Cirelli,C,0.9975457208455387,1.5675718470429894,5.84276779352387,2.4226110363391653,0.5828517140368933,0.5887904385904814,0.4310189366596416,3.1,40.599118942732
21_01_21,Antoine Roussel,W,0.20422055820285936,1.0211027910142967,5.513955071477203,2.0422055820285934,0.5759019741320633,0.8693520028330703,0.0,3.1,9.070866141732226
21_01_21,Anze Kopitar,C,0.35113957798224976,1.872744415905332,5.501186721721913,2.575023571869831,0.6765289202458011,0.6652706045763979,0.597335050954452,2.1,63.57239512855296
21_01_21,Artturi Lehkonen,W,0.4939626783754132,0.4939626783754132,8.068057080131748,2.14050493962679,0.6207464324917691,0.48292168840205574,0.0,3.4,49.65517241379267
21_01_21,Austin Watson,W,0.5964873522589218,0.5964873522589218,4.9707279354910145,4.374240583232092,0.4612835524135662,0.6427935560602269,0.0,2.9,8.323699421965342
21_01_21,Barclay Goodrow,W,0.15313935681470137,1.0719754977029095,5.819295558958652,2.7565084226646244,0.6569678407350689,0.511303322193827,0.0,3.1,23.92523364485936
21_01_21,Blake Lizotte,C,0.3445140915833294,1.0335422747499883,5.5122254653332705,2.411598641083306,0.639073639887076,0.8834577245326851,0.0,2.1,68.7437185929648
21_01_21,Blake Wheeler,W,1.0124446319341869,1.2655557899177334,7.466779160514627,2.6576671588272403,0.665682345496728,0.9504127710388328,0.7588390089436832,3.1,57.931034482758726
21_01_21,Bo Horvat,C,0.6530493777890655,0.9142691289046918,7.444762906795347,3.265246888945328,0.8306788085476913,0.6748123643660453,0.5842295274288487,3.1,116.417910447761
21_01_21,Boone Jenner,C,0.6579909343471243,0.5263927474776995,9.211873080859743,5.000731101038145,0.7790612662669951,0.8349957398767709,0.0,2.5,4.347169811320689
21_01_21,Brad Marchand,W,0.8889254701839551,1.6296966953372507,6.963249516440982,1.3333882052759327,0.7659574468085081,0.8983184588805977,0.775843029407394,2.9,33.78299120234549
21_01_21,Brady Tkachuk,W,0.9775303781141819,1.0997216753784544,11.363790645577364,2.3216346480211816,1.2866743601927917,0.4929851877907886,0.4752525879700767,2.9,13.44224037339522
21_01_21,Brandon Saad,W,1.8688603146713518,0.5750339429758005,8.194233687405157,1.150067885951601,0.7101669195751137,0.6473279752109617,0.33814244800719806,3.4,0.0
21_01_21,Brandon Sutter,C,0.5004865841790612,0.6673154455720814,6.673154455720814,1.5014597525371833,0.5121646044765725,0.5410131629112567,0.0,3.1,62.673575129532246
21_01_21,Brayden Point,C,1.028975669012825,2.315195255278856,6.302475972703552,2.05795133802565,0.7743041909321509,0.857156509533207,0.6557636625480634,3.1,58.10526315789567
21_01_21,Brendan Gallagher,W,1.0981050062912225,1.235368132077625,14.549891333358696,0.8235787547184168,1.3438060014488835,0.787380380525919,0.48669730294210556,3.4,5.538461538461646
21_01_21,Brock Boeser,W,1.1910177412017615,1.3398949588519817,8.48600140606255,1.0421405235515415,0.7294983664860788,0.7118053767352203,0.6095246379442518,3.1,10.444242973707858
