date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,TOI,FP/60,FP,value,implied_win_prob,implied_opp_score
21_03_12,Adam Henrique,C,ANA,SJS,1.0673443456162608,0.45743329097839747,5.946632782719167,3.506988564167714,0.6083862770012683,0.0,0.0,0.0,0.0,16.724444444444494,0.613995121827611,0.47715892967838364,2.7,5.5,10.0,4100,16.850000000000332,34.18397626112693,9.6,2.341463414634146,0.4836404017756313,2.8
21_03_12,Adrian Kempe,W,LAK,COL,1.1288299587887525,0.322522845368215,7.740548288837161,1.4513528041569672,0.7095502598100729,0.0,0.0,0.0,0.0,17.155555555555495,0.5955061589926801,0.7444673508634416,2.2,5.5,9.1,5600,18.3666666666666,15.680580762250516,4.800000000000001,0.8571428571428573,0.3252304549599383,3.3
21_03_12,Alex Chiasson,W,EDM,OTT,0.8424994149309616,0.8424994149309616,4.212497074654808,0.8424994149309616,0.3643809969576408,0.0,0.0,0.0,0.0,12.472222222222218,0.549730592405204,0.8348278361188459,3.9,6.5,4.6,4100,12.9833333333333,14.78818998716307,3.2,0.7804878048780488,0.6747695450400617,2.6
21_03_12,Alex Tuch,W,VGK,STL,1.6375816723182544,0.893226366719048,8.783392606070638,2.5308080390373022,0.8113472831031354,0.0,0.0,0.0,0.0,16.227777777777767,0.5368265092495581,0.8073463279773812,2.7,5.5,11.6,5200,18.116666666666703,26.49494020239185,8.0,1.5384615384615385,0.4836404017756313,2.8
21_03_12,Andre Burakovsky,W,COL,LAK,0.6029898245467101,1.0552321929567428,5.1254135086470365,1.5074745613667753,0.4673171140237003,0.0,0.0,0.0,0.0,15.743333333333345,0.8753878670047945,0.6719883327033088,3.3,5.5,9.6,4700,14.8,25.94594594594595,6.4,1.3617021276595744,0.6747695450400617,2.2
21_03_12,Andreas Athanasiou,W,LAK,COL,1.435979258077381,0.7977662544874339,7.818109293976852,1.435979258077381,0.7339449541284393,0.0,0.0,0.0,0.0,13.994444444444467,0.7186119232716696,0.7128938574969529,2.2,5.5,9.9,3800,14.4333333333337,13.302540415704051,3.2,0.8421052631578948,0.3252304549599383,3.3
21_03_12,Anze Kopitar,C,LAK,COL,0.6297669862151014,1.2595339724302028,5.919809670421954,2.3931145476173854,0.7657966552375634,0.0,0.0,0.0,0.0,21.523888888888862,0.7338026986763808,0.7257185523876114,2.2,5.5,13.2,7800,19.3166666666664,4.969801553063054,1.6,0.20512820512820515,0.3252304549599383,3.3
21_03_12,Austin Wagner,W,LAK,COL,0.7703830515728647,0.5777872886796485,8.666809330194727,1.9259576289321614,0.6028247378557666,0.0,0.0,0.0,0.0,10.489444444444457,0.5262841694202463,0.0,2.2,5.5,5.5,3600,11.78333333333333,16.2942008486563,3.2,0.888888888888889,0.3252304549599383,3.3
21_03_12,Austin Watson,W,OTT,EDM,0.6123837604899038,1.0206396008165062,6.327965525062339,6.1238376048990375,0.5531866636425463,0.0,0.0,0.0,0.0,12.049444444444486,0.4878928063073868,0.0,2.6,6.5,4.9,3000,18.51666666666633,36.29162916291695,11.2,3.7333333333333334,0.3252304549599383,3.9
21_03_12,Blake Lizotte,C,LAK,COL,0.35474970437524683,0.8868742609381169,3.902246748127715,2.4832479306267277,0.48955459203784063,0.0,0.0,0.0,0.0,13.412777777777766,0.7055039928787963,0.0,2.2,5.5,3.8,3300,13.066666666667,14.693877551020035,3.2,0.9696969696969698,0.3252304549599383,3.3
21_03_12,Brady Tkachuk,W,OTT,EDM,0.9457684368549473,0.9457684368549473,13.375867892662827,1.215987990242075,1.3429911803340253,0.0,0.0,0.0,0.0,18.339444444444393,0.4287436615236075,0.7075197865983485,2.6,6.5,13.3,6300,18.233333333333,51.663619744059446,15.7,2.492063492063492,0.3252304549599383,3.9
21_03_12,Brandon Saad,W,COL,LAK,1.5142592748380639,0.9085555649028383,7.268444519222706,1.0599814923866446,0.741987044670651,0.0,0.0,0.0,0.0,15.211666666666622,0.7380529016813192,0.5804316891543254,3.3,5.5,8.1,5000,14.4833333333333,19.884925201380945,4.800000000000001,0.9600000000000002,0.6747695450400617,2.2
21_03_12,Brayden Schenn,C,STL,VGK,1.1154720099153062,1.2394133443503406,6.9407147283619075,1.611237347655443,0.7907457136955174,0.0,0.0,0.0,0.0,19.30055555555557,0.42820569107659845,0.5012815205526009,2.8,5.5,13.2,6500,22.016666666666698,36.24526873580616,13.3,2.0461538461538464,0.5163595982243688,2.7
21_03_12,Carl Grundstrom,W,LAK,COL,0.5407029137879243,0.18023430459597478,6.127966356263142,2.5232802643436467,0.5262841694202463,0.0,0.0,0.0,0.0,12.268333333333333,0.6028247378557666,0.0,2.2,5.5,4.7,3100,15.1333333333333,6.343612334801777,1.6,0.5161290322580645,0.3252304549599383,3.3
21_03_12,Chandler Stephenson,C,VGK,STL,0.7007981312049871,1.261436636168977,4.765427292193913,2.6630328985789515,0.3854389721627429,0.0,0.0,0.0,0.0,17.02499999999992,0.8214126290541878,0.6803198681361069,2.7,5.5,9.7,4700,18.4666666666666,46.787003610108464,14.4,3.063829787234043,0.4836404017756313,2.8
21_03_12,Chris Tierney,C,OTT,EDM,0.46447617409255276,1.0837777395492898,4.02546017546879,2.6320316531911323,0.3700326853604003,0.0,0.0,0.0,0.0,15.362222222222176,0.91522290901042,0.0,2.6,6.5,7.5,3600,15.7666666666663,6.08879492600437,1.6,0.4444444444444445,0.3252304549599383,3.9
