"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"8","Mackenzie Blackwood","N.J","1","60","39","38","1","0.974","1.00","1.83","3.55","9","9","0","1.000","0.00","1.63","12","11","1","0.917","1.00","-0.28","18","18","0","1.000","0.00","0.56","3","9","34.74","25.00"
"4","Anders Nilsson","OTT","1","60","27","26","1","0.963","1.00","0.96","2.51","6","6","0","1.000","0.00","1.08","11","10","1","0.909","1.00","-0.34","10","10","0","1.000","0.00","0.31","1","3","29.11","22.00"
"2","Tuukka Rask","BOS","1","60","31","29","2","0.935","2.00","0.25","2.05","5","3","2","0.600","2.00","-1.10","6","6","0","1.000","0.00","0.36","17","17","0","1.000","0.00","0.53","1","3","47.74","18.50"
"1","Carey Price","MTL","1","60","28","26","2","0.929","2.00","0.03","1.9","8","7","1","0.875","1.00","0.44","7","7","0","1.000","0.00","0.42","12","11","1","0.917","1.00","-0.63","2","2","35.89","26.00"
"7","Joonas Korpisalo","CBJ","1","63.566666666667","27","25","2","0.926","1.89","-0.04","2.28","6","4","2","0.667","1.89","-0.92","7","7","0","1.000","0.00","0.42","11","11","0","1.000","0.00","0.34","0","0","38.85","10.00"
"3","Jake Allen","STL","1","63.566666666667","39","36","3","0.923","2.83","-0.17","2.38","11","9","2","0.818","1.89","-0.01","9","8","1","0.889","0.94","-0.46","15","15","0","1.000","0.00","0.47","1","2","38.49","21.33"
"5","Frederik Andersen","TOR","1","59.55","33","30","3","0.909","3.02","-0.60","3.27","9","6","3","0.667","3.02","-1.38","8","8","0","1.000","0.00","0.48","15","15","0","1.000","0.00","0.47","4","5","32.42","10.33"
"6","Matt Murray","PIT","1","58.916666666667","21","19","2","0.905","2.04","-0.48","1.66","6","4","2","0.667","2.04","-0.92","8","8","0","1.000","0.00","0.48","7","7","0","1.000","0.00","0.22","0","2","32.24","11.50"
"9","Ilya Samsonov","WSH","1","58.916666666667","39","35","4","0.897","4.07","-1.17","2.41","7","6","1","0.857","1.02","0.26","11","10","1","0.909","1.02","-0.34","17","15","2","0.882","2.04","-1.47","0","4","38.26","24.00"
"10","Carter Hart","PHI","1","57.466666666667","19","17","2","0.895","2.09","-0.62","2.05","5","5","0","1.000","0.00","0.90","4","3","1","0.750","1.04","-0.76","6","5","1","0.833","1.04","-0.81","1","6","42.47","21.50"
