"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"6","Tuukka Rask","BOS","1","60","26","26","0","1.000","0.00","2.06","1.21","4","4","0","1.000","0.00","0.73","5","5","0","1.000","0.00","0.37","13","13","0","1.000","0.00","0.42","2","1","56.23","-"
"11","Petr Mrazek","CAR","1","59.716666666667","32","32","0","1.000","0.00","2.53","2.79","7","7","0","1.000","0.00","1.28","5","5","0","1.000","0.00","0.37","18","18","0","1.000","0.00","0.59","1","4","39.00","-"
"13","Matt Murray","PIT","1","60","25","25","0","1.000","0.00","1.98","1.76","4","4","0","1.000","0.00","0.73","6","6","0","1.000","0.00","0.45","12","12","0","1.000","0.00","0.39","0","1","45.72","-"
"9","Alex Stalock","MIN","1","59.95","31","30","1","0.968","1.00","1.45","1.6","4","4","0","1.000","0.00","0.73","9","8","1","0.889","1.00","-0.33","13","13","0","1.000","0.00","0.42","4","2","53.81","35.00"
"15","Connor Hellebuyck","WPG","1","62.766666666667","30","29","1","0.967","0.96","1.37","2.25","9","8","1","0.889","0.96","0.65","7","7","0","1.000","0.00","0.52","13","13","0","1.000","0.00","0.42","2","3","32.47","7.00"
"17","David Rittich","CGY","1","63.066666666667","45","43","2","0.956","1.90","1.56","2.8","6","5","1","0.833","0.95","0.10","18","18","0","1.000","0.00","1.35","19","18","1","0.947","0.95","-0.38","1","3","37.69","30.00"
"1","Ryan Miller","ANA","1","60","37","35","2","0.946","2.00","0.93","3.9","11","10","1","0.909","1.00","1.01","12","11","1","0.917","1.00","-0.10","14","14","0","1.000","0.00","0.46","1","7","30.27","9.00"
"5","Carey Price","MTL","1","59.283333333333","31","29","2","0.935","2.02","0.45","1.97","11","10","1","0.909","1.01","1.01","7","7","0","1.000","0.00","0.52","13","12","1","0.923","1.01","-0.58","2","2","34.52","24.50"
"16","Juuse Saros","NSH","1","63.25","30","28","2","0.933","1.90","0.37","2.08","6","5","1","0.833","0.95","0.10","14","13","1","0.929","0.95","0.05","10","10","0","1.000","0.00","0.33","3","1","33.57","23.00"
"2","Curtis McElhinney","T.B","1","62.683333333333","40","37","3","0.925","2.87","0.16","2.49","7","7","0","1.000","0.00","1.28","17","14","3","0.824","2.87","-1.73","12","12","0","1.000","0.00","0.39","5","3","42.80","41.33"
"8","Ben Bishop","DAL","1","58.033333333333","26","24","2","0.923","2.07","0.06","2.89","8","6","2","0.750","2.07","-0.54","7","7","0","1.000","0.00","0.52","7","7","0","1.000","0.00","0.23","2","4","31.96","5.50"
"12","Jordan Binnington","STL","1","58.233333333333","23","21","2","0.913","2.06","-0.18","1.5","3","3","0","1.000","0.00","0.55","3","2","1","0.667","1.03","-0.78","16","15","1","0.938","1.03","-0.48","2","0","42.78","33.00"
"3","Corey Crawford","CHI","1","60","31","27","4","0.871","4.00","-1.55","3","10","8","2","0.800","2.00","-0.17","7","6","1","0.857","1.00","-0.48","12","11","1","0.917","1.00","-0.61","0","5","36.35","25.50"
"10","Michael Hutchinson","TOR","1","60","38","33","5","0.868","5.00","-1.99","3.04","14","9","5","0.643","5.00","-2.44","5","5","0","1.000","0.00","0.37","18","18","0","1.000","0.00","0.59","2","2","34.03","10.80"
"14","Joonas Korpisalo","CBJ","1","58.883333333333","45","39","6","0.867","6.11","-2.44","2.98","13","10","3","0.769","3.06","-0.62","7","6","1","0.857","1.02","-0.48","24","22","2","0.917","2.04","-1.22","0","5","38.87","21.83"
"4","Brian Elliott","PHI","1","59.833333333333","26","22","4","0.846","4.01","-1.94","2.5","10","7","3","0.700","3.01","-1.17","3","3","0","1.000","0.00","0.22","12","11","1","0.917","1.00","-0.61","0","6","34.04","9.25"
"18","Pavel Francouz","COL","1","39.133333333333","26","22","4","0.846","6.13","-1.94","1.62","5","3","2","0.600","3.07","-1.08","11","9","2","0.818","3.07","-1.18","9","9","0","1.000","0.00","0.29","1","2","32.58","20.00"
"7","Jonathan Quick","L.A","1","60","27","22","5","0.815","5.00","-2.86","2.16","10","6","4","0.600","4.00","-2.17","4","4","0","1.000","0.00","0.30","11","10","1","0.909","1.00","-0.64","0","2","35.30","18.60"
