"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"4","Anton Khudobin","DAL","1","60","34","32","2","0.941","2.00","2.06","2.06","9","8","1","0.889","1.00","1.18","11","11","0","1.000","0.00","1.33","12","11","1","0.917","1.00","-0.50","2","2","40.68","44.00"
"2","Mike Smith","EDM","1","59.5","33","31","2","0.939","2.02","1.94","2.59","8","7","1","0.875","1.01","0.94","6","6","0","1.000","0.00","0.72","18","17","1","0.944","1.01","-0.25","1","6","38.09","25.00"
"3","Devan Dubnyk","MIN","1","60","29","27","2","0.931","2.00","1.47","1.32","2","1","1","0.500","1.00","-0.51","9","8","1","0.889","1.00","0.09","15","15","0","1.000","0.00","0.63","1","3","45.69","21.50"
"12","Laurent Brossoit","WPG","1","60","37","34","3","0.919","3.00","1.42","2.55","11","8","3","0.727","3.00","-0.33","9","9","0","1.000","0.00","1.09","16","16","0","1.000","0.00","0.67","0","4","30.14","10.00"
"15","Antti Raanta","ARI","1","57.533333333333","34","31","3","0.912","3.13","1.06","2.27","9","6","3","0.667","3.13","-0.82","9","9","0","1.000","0.00","1.09","16","16","0","1.000","0.00","0.67","2","3","34.03","10.67"
"8","Martin Jones","S.J","1","60","32","29","3","0.906","3.00","0.82","5.23","16","15","1","0.938","1.00","2.88","8","7","1","0.875","1.00","-0.03","7","6","1","0.857","1.00","-0.71","2","5","30.00","24.00"
"5","Jonathan Quick","L.A","1","59.633333333333","21","19","2","0.905","2.01","0.51","1.7","7","6","1","0.857","1.01","0.70","5","4","1","0.800","1.01","-0.40","7","7","0","1.000","0.00","0.29","1","1","36.95","16.00"
"6","Jonathan Bernier","DET","1","60.366666666667","31","28","3","0.903","2.98","0.71","3.01","8","5","3","0.625","2.98","-1.06","10","10","0","1.000","0.00","1.21","12","12","0","1.000","0.00","0.50","1","9","35.84","11.00"
"16","Antoine Bibeau","COL","1","31.4","10","9","1","0.900","1.91","0.20","1","4","4","0","1.000","0.00","0.97","3","2","1","0.667","1.91","-0.64","1","1","0","1.000","0.00","0.04","0","1","42.50","31.00"
"11","Petr Mrazek","CAR","1","62.466666666667","33","29","4","0.879","3.84","-0.06","2.32","10","7","3","0.700","2.88","-0.57","7","6","1","0.857","0.96","-0.15","15","15","0","1.000","0.00","0.63","1","2","33.55","18.25"
"14","Andrei Vasilevskiy","T.B","1","59.383333333333","23","20","3","0.870","3.03","-0.25","1.75","7","5","2","0.714","2.02","-0.30","7","6","1","0.857","1.01","-0.15","8","8","0","1.000","0.00","0.34","2","3","37.61","20.67"
"10","Sergei Bobrovsky","FLA","1","57.433333333333","30","26","4","0.867","4.18","-0.41","2.33","6","5","1","0.833","1.04","0.46","13","13","0","1.000","0.00","1.57","9","7","2","0.778","2.09","-1.62","0","8","42.43","66.50"
"7","Jacob Markstrom","VAN","1","58.15","29","25","4","0.862","4.13","-0.53","3.08","8","4","4","0.500","4.13","-2.06","13","13","0","1.000","0.00","1.57","7","7","0","1.000","0.00","0.29","3","4","30.07","11.25"
"13","John Gibson","ANA","1","58.783333333333","35","30","5","0.857","5.10","-0.82","3.91","13","11","2","0.846","2.04","1.15","11","8","3","0.727","3.06","-1.67","11","11","0","1.000","0.00","0.46","2","7","28.91","23.00"
"9","Carter Hutton","BUF","1","61.4","29","24","5","0.828","4.89","-1.53","1.82","6","3","3","0.500","2.93","-1.54","11","9","2","0.818","1.95","-0.67","10","10","0","1.000","0.00","0.42","1","1","42.38","22.20"
"18","Alexandar Georgiev","NYR","1","26.7","25","20","5","0.800","11.24","-2.01","2.15","7","5","2","0.714","4.49","-0.30","5","4","1","0.800","2.25","-0.40","13","11","2","0.846","4.49","-1.46","1","3","37.72","34.80"
"1","Henrik Lundqvist","NYR","1","33.3","19","15","4","0.789","7.21","-1.73","1.27","2","1","1","0.500","1.80","-0.51","6","3","3","0.500","5.41","-2.28","9","9","0","1.000","0.00","0.38","1","4","51.32","23.75"
"17","Adam Werner","COL","1","28.35","18","13","5","0.722","10.58","-2.85","1.35","3","2","1","0.667","2.12","-0.27","6","3","3","0.500","6.35","-2.28","5","4","1","0.800","2.12","-0.79","1","2","52.72","32.00"
