"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"3","Carey Price","MTL","1","60","17","17","0","1.000","0.00","1.24","1.07","3","3","0","1.000","0.00","0.52","5","5","0","1.000","0.00","0.32","8","8","0","1.000","0.00","0.18","2","2","42.47","-"
"9","Carter Hutton","BUF","1","60","47","47","0","1.000","0.00","3.43","4.48","12","12","0","1.000","0.00","2.06","17","17","0","1.000","0.00","1.09","16","16","0","1.000","0.00","0.35","2","12","37.43","-"
"6","Semyon Varlamov","NYI","1","60","33","32","1","0.970","1.00","1.41","2.61","5","5","0","1.000","0.00","0.86","12","12","0","1.000","0.00","0.77","15","14","1","0.933","1.00","-0.67","2","1","38.00","48.00"
"17","David Rittich","CGY","1","59.7","28","27","1","0.964","1.01","1.04","2.43","7","6","1","0.857","1.01","0.20","8","8","0","1.000","0.00","0.51","10","10","0","1.000","0.00","0.22","0","4","34.68","5.00"
"7","Anders Nilsson","OTT","1","64.933333333333","54","52","2","0.963","1.85","1.94","4.73","19","18","1","0.947","0.92","2.27","17","17","0","1.000","0.00","1.09","14","13","1","0.929","0.92","-0.69","1","4","35.31","31.00"
"1","Marc-Andre Fleury","VGK","1","65","39","37","2","0.949","1.85","0.85","4.06","12","11","1","0.917","0.92","1.06","11","10","1","0.909","0.92","-0.30","15","15","0","1.000","0.00","0.33","1","11","29.49","18.50"
"16","Mackenzie Blackwood","N.J","1","59.666666666667","31","29","2","0.935","2.01","0.26","2.37","5","3","2","0.600","2.01","-1.14","11","11","0","1.000","0.00","0.70","14","14","0","1.000","0.00","0.31","0","1","34.94","9.50"
"8","Darcy Kuemper","ARI","1","59.6","25","23","2","0.920","2.01","-0.18","1.99","5","5","0","1.000","0.00","0.86","8","6","2","0.750","2.01","-1.49","12","12","0","1.000","0.00","0.26","2","2","35.44","26.00"
"13","Connor Hellebuyck","WPG","1","58.416666666667","25","23","2","0.920","2.05","-0.18","1.61","5","5","0","1.000","0.00","0.86","8","8","0","1.000","0.00","0.51","10","8","2","0.800","2.05","-1.78","0","3","44.76","40.00"
"12","Andrei Vasilevskiy","T.B","1","64.95","37","34","3","0.919","2.77","-0.30","2.61","8","5","3","0.625","2.77","-1.62","10","10","0","1.000","0.00","0.64","17","17","0","1.000","0.00","0.37","1","3","37.30","15.00"
"15","Thatcher Demko","VAN","1","64.933333333333","37","34","3","0.919","2.77","-0.30","4","17","14","3","0.824","2.77","-0.08","10","10","0","1.000","0.00","0.64","8","8","0","1.000","0.00","0.18","4","7","32.38","16.67"
"4","Tuukka Rask","BOS","1","64.65","36","33","3","0.917","2.78","-0.37","2.71","11","9","2","0.818","1.86","-0.11","11","10","1","0.909","0.93","-0.30","12","12","0","1.000","0.00","0.26","1","3","38.64","17.00"
"11","Jordan Binnington","STL","1","65","32","29","3","0.906","2.77","-0.67","3.09","11","8","3","0.727","2.77","-1.11","10","10","0","1.000","0.00","0.64","9","9","0","1.000","0.00","0.20","0","7","34.19","7.67"
"18","Alexandar Georgiev","NYR","1","57.3","37","33","4","0.892","4.19","-1.30","2.45","5","3","2","0.600","2.09","-1.14","12","10","2","0.833","2.09","-1.23","17","17","0","1.000","0.00","0.37","2","0","44.89","23.75"
"5","Alex Stalock","MIN","1","60","33","29","4","0.879","4.00","-1.59","2.06","7","4","3","0.571","3.00","-1.80","10","9","1","0.900","1.00","-0.36","14","14","0","1.000","0.00","0.31","2","4","37.94","13.25"
"10","Jack Campbell","L.A","1","60","24","21","3","0.875","3.00","-1.25","1.91","6","4","2","0.667","2.00","-0.97","8","7","1","0.875","1.00","-0.49","10","10","0","1.000","0.00","0.22","3","4","35.79","23.00"
"14","Juuse Saros","NSH","1","59.583333333333","31","27","4","0.871","4.03","-1.74","2.99","10","10","0","1.000","0.00","1.72","9","6","3","0.667","3.02","-2.43","11","10","1","0.909","1.01","-0.76","4","6","31.52","32.75"
"2","Jimmy Howard","DET","1","60","37","32","5","0.865","5.00","-2.30","3.59","9","5","4","0.556","4.00","-2.45","11","10","1","0.909","1.00","-0.30","16","16","0","1.000","0.00","0.35","1","7","33.84","18.80"
