"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"1","Mike Smith","EDM","1","59.65","32","32","0","1.000","0.00","2.69","2.98","9","9","0","1.000","0.00","1.73","7","7","0","1.000","0.00","0.54","15","15","0","1.000","0.00","0.28","3","4","36.78","-"
"11","Malcolm Subban","CHI","1","59.966666666667","26","26","0","1.000","0.00","2.18","2.23","6","6","0","1.000","0.00","1.15","5","5","0","1.000","0.00","0.38","12","12","0","1.000","0.00","0.22","1","4","41.58","-"
"15","Linus Ullmark","BUF","1","19.566666666667","15","15","0","1.000","0.00","1.26","1.46","6","6","0","1.000","0.00","1.15","2","2","0","1.000","0.00","0.15","6","6","0","1.000","0.00","0.11","2","2","32.33","-"
"2","Curtis McElhinney","T.B","1","59.95","32","31","1","0.969","1.00","1.69","3.03","9","9","0","1.000","0.00","1.73","12","11","1","0.917","1.00","-0.08","10","10","0","1.000","0.00","0.19","2","3","30.84","17.00"
"12","Matt Murray","OTT","1","60","30","29","1","0.967","1.00","1.52","1.62","3","3","0","1.000","0.00","0.58","7","6","1","0.857","1.00","-0.46","20","20","0","1.000","0.00","0.37","3","1","42.67","22.00"
"13","Joonas Korpisalo","CBJ","1","60.15","26","25","1","0.962","1.00","1.18","1.55","3","3","0","1.000","0.00","0.58","8","7","1","0.875","1.00","-0.39","14","14","0","1.000","0.00","0.26","0","1","36.88","24.00"
"7","Jonathan Bernier","DET","1","60","39","37","2","0.949","2.00","1.28","2.97","9","7","2","0.778","2.00","-0.27","7","7","0","1.000","0.00","0.54","23","23","0","1.000","0.00","0.43","1","3","34.77","8.00"
"10","Sergei Bobrovsky","FLA","1","60","39","37","2","0.949","2.00","1.28","2.93","13","11","2","0.846","2.00","0.50","11","11","0","1.000","0.00","0.84","14","14","0","1.000","0.00","0.26","1","4","31.62","19.00"
"8","Semyon Varlamov","NYI","1","60","36","34","2","0.944","2.00","1.02","2.93","11","10","1","0.909","1.00","1.12","13","13","0","1.000","0.00","0.99","10","9","1","0.900","1.00","-0.81","0","2","30.97","27.00"
"17","Thatcher Demko","VAN","1","58.75","33","31","2","0.939","2.04","0.77","3.45","12","10","2","0.833","2.04","0.31","6","6","0","1.000","0.00","0.46","13","13","0","1.000","0.00","0.24","5","6","34.33","10.50"
"18","Vitek Vanecek","WSH","1","59.916666666667","28","26","2","0.929","2.00","0.35","3.06","11","10","1","0.909","1.00","1.12","6","5","1","0.833","1.00","-0.54","7","7","0","1.000","0.00","0.13","2","4","37.79","11.50"
"21","Jake Oettinger","DAL","1","59","35","32","3","0.914","3.05","-0.06","2.79","8","7","1","0.875","1.02","0.54","8","7","1","0.875","1.02","-0.39","18","17","1","0.944","1.02","-0.67","0","4","34.66","27.67"
"16","Tristan Jarry","PIT","1","59.066666666667","33","30","3","0.909","3.05","-0.23","2.8","10","7","3","0.700","3.05","-1.08","7","7","0","1.000","0.00","0.54","15","15","0","1.000","0.00","0.28","1","1","34.03","9.00"
"19","Mackenzie Blackwood","N.J","1","61.233333333333","32","29","3","0.906","2.94","-0.31","2.86","13","10","3","0.769","2.94","-0.50","3","3","0","1.000","0.00","0.23","16","16","0","1.000","0.00","0.30","2","2","31.03","12.33"
"6","James Reimer","CAR","1","58.566666666667","21","19","2","0.905","2.05","-0.24","1.23","3","2","1","0.667","1.02","-0.42","12","11","1","0.917","1.02","-0.08","6","6","0","1.000","0.00","0.11","0","0","32.05","16.50"
"4","Pekka Rinne","NSH","1","59.75","31","27","4","0.871","4.02","-1.40","3.25","11","9","2","0.818","2.01","0.12","7","7","0","1.000","0.00","0.54","12","10","2","0.833","2.01","-1.78","0","6","26.10","11.00"
"14","Connor Hellebuyck","WPG","1","60","21","18","3","0.857","3.00","-1.24","2.17","8","6","2","0.750","2.00","-0.46","3","2","1","0.667","1.00","-0.77","10","10","0","1.000","0.00","0.19","0","1","28.95","13.33"
"9","Carter Hutton","BUF","1","41.283333333333","25","21","4","0.840","5.81","-1.90","2.38","9","7","2","0.778","2.91","-0.27","7","5","2","0.714","2.91","-1.46","9","9","0","1.000","0.00","0.17","0","1","25.08","20.00"
"5","Carey Price","MTL","1","59.1","29","24","5","0.828","5.08","-2.56","2.86","6","3","3","0.500","3.05","-1.85","9","7","2","0.778","2.03","-1.31","14","14","0","1.000","0.00","0.26","0","3","33.55","15.00"
"22","Artyom Zagidulin","CGY","1","28.216666666667","11","9","2","0.818","4.25","-1.08","0.94","3","2","1","0.667","2.13","-0.42","4","3","1","0.750","2.13","-0.69","3","3","0","1.000","0.00","0.06","4","1","45.55","16.50"
"3","Jaroslav Halak","BOS","1","59.8","37","30","7","0.811","7.02","-3.89","3.35","15","8","7","0.533","7.02","-4.12","8","8","0","1.000","0.00","0.61","13","13","0","1.000","0.00","0.24","0","8","29.59","8.71"
"20","David Rittich","CGY","1","31.783333333333","20","16","4","0.800","7.55","-2.32","0.89","4","2","2","0.500","3.78","-1.23","5","5","0","1.000","0.00","0.38","9","8","1","0.889","1.89","-0.83","2","2","40.95","38.00"
