"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"11","Tuukka Rask","BOS","1","60","31","31","0","1.000","0.00","2.90","2.58","8","8","0","1.000","0.00","1.59","12","12","0","1.000","0.00","1.21","10","10","0","1.000","0.00","0.38","1","5","34.94","-"
"26","Ilya Samsonov","WSH","1","59.816666666667","25","24","1","0.960","1.00","1.34","2.09","7","6","1","0.857","1.00","0.39","6","6","0","1.000","0.00","0.61","10","10","0","1.000","0.00","0.38","0","2","34.60","5.00"
"3","Mike Smith","EDM","1","60","21","20","1","0.952","1.00","0.97","2.17","5","4","1","0.800","1.00","-0.01","4","4","0","1.000","0.00","0.40","12","12","0","1.000","0.00","0.46","0","1","28.67","6.00"
"14","Semyon Varlamov","NYI","1","64.65","37","35","2","0.946","1.86","1.46","2.47","9","9","0","1.000","0.00","1.78","10","8","2","0.800","1.86","-0.99","18","18","0","1.000","0.00","0.68","0","3","33.89","32.50"
"29","Pavel Francouz","COL","1","43.266666666667","36","34","2","0.944","2.77","1.37","2.18","6","5","1","0.833","1.39","0.19","7","7","0","1.000","0.00","0.71","21","20","1","0.952","1.39","-0.20","2","3","38.25","23.50"
"5","Marc-Andre Fleury","VGK","1","60","35","33","2","0.943","2.00","1.28","2.82","6","6","0","1.000","0.00","1.19","6","5","1","0.833","1.00","-0.39","21","20","1","0.952","1.00","-0.20","4","9","39.46","36.00"
"15","Jacob Markstrom","VAN","1","65","32","30","2","0.938","1.85","1.00","2.33","6","6","0","1.000","0.00","1.19","12","10","2","0.833","1.85","-0.79","10","10","0","1.000","0.00","0.38","2","4","42.50","25.50"
"21","Joonas Korpisalo","CBJ","1","60","32","30","2","0.938","2.00","1.00","1.83","7","7","0","1.000","0.00","1.39","9","8","1","0.889","1.00","-0.09","15","14","1","0.933","1.00","-0.43","2","1","42.53","37.50"
"22","Connor Hellebuyck","WPG","1","60.716666666667","29","27","2","0.931","1.98","0.72","2.31","8","6","2","0.750","1.98","-0.41","5","5","0","1.000","0.00","0.50","13","13","0","1.000","0.00","0.49","0","4","37.10","21.00"
"25","Sam Montembeault","FLA","1","65","28","26","2","0.929","1.85","0.62","1.94","9","9","0","1.000","0.00","1.78","9","7","2","0.778","1.85","-1.09","6","6","0","1.000","0.00","0.23","0","5","45.39","27.00"
"18","Frederik Andersen","TOR","1","60","27","25","2","0.926","2.00","0.53","2","9","7","2","0.778","2.00","-0.22","2","2","0","1.000","0.00","0.20","13","13","0","1.000","0.00","0.49","4","2","42.26","12.00"
"27","Carter Hart","PHI","1","65","24","22","2","0.917","1.85","0.25","2.15","6","4","2","0.667","1.85","-0.81","7","7","0","1.000","0.00","0.71","7","7","0","1.000","0.00","0.27","2","4","38.13","8.00"
"13","James Reimer","CAR","1","57.216666666667","35","32","3","0.914","3.15","0.28","3.11","7","5","2","0.714","2.10","-0.61","12","11","1","0.917","1.05","0.21","12","12","0","1.000","0.00","0.46","1","6","36.37","13.00"
"4","Curtis McElhinney","T.B","1","57.666666666667","33","30","3","0.909","3.12","0.09","2.97","9","8","1","0.889","1.04","0.78","8","7","1","0.875","1.04","-0.19","12","11","1","0.917","1.04","-0.54","1","3","38.88","14.67"
"12","Alex Stalock","MIN","1","24.816666666667","11","10","1","0.909","2.42","0.03","0.48","1","0","1","0.000","2.42","-0.80","1","1","0","1.000","0.00","0.10","7","7","0","1.000","0.00","0.27","0","0","55.36","10.00"
"16","Robin Lehner","CHI","1","60.783333333333","33","30","3","0.909","2.96","0.09","2.47","10","9","1","0.900","0.99","0.98","10","10","0","1.000","0.00","1.01","12","10","2","0.833","1.97","-1.54","2","5","33.30","29.33"
"8","Cory Schneider","N.J","1","59.766666666667","32","29","3","0.906","3.01","0.00","2.89","9","7","2","0.778","2.01","-0.22","5","5","0","1.000","0.00","0.50","17","16","1","0.941","1.00","-0.36","0","5","32.44","22.33"
"23","Antti Raanta","ARI","1","63.433333333333","32","29","3","0.906","2.84","0.00","2.46","10","8","2","0.800","1.89","-0.02","11","10","1","0.909","0.95","0.11","10","10","0","1.000","0.00","0.38","2","5","36.72","12.33"
