"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"7","Joonas Korpisalo","CBJ","1","64.4","35","34","1","0.971","0.93","1.22","2.34","6","5","1","0.833","0.93","-0.11","9","9","0","1.000","0.00","0.39","20","20","0","1.000","0.00","0.50","2","6","35.40","8.00"
"13","Jake Oettinger","DAL","1","65","30","29","1","0.967","0.92","0.90","2.03","7","7","0","1.000","0.00","1.04","8","8","0","1.000","0.00","0.34","12","11","1","0.917","0.92","-0.70","2","3","43.23","62.00"
"5","Philipp Grubauer","COL","1","60","28","27","1","0.964","1.00","0.77","1.87","4","4","0","1.000","0.00","0.59","12","12","0","1.000","0.00","0.52","12","11","1","0.917","1.00","-0.70","2","1","38.14","54.00"
"10","Alex Nedeljkovic","CAR","1","59.75","26","25","1","0.962","1.00","0.65","1.5","6","6","0","1.000","0.00","0.89","5","5","0","1.000","0.00","0.22","13","12","1","0.923","1.00","-0.68","0","1","44.81","50.00"
"3","Cam Talbot","MIN","1","60","22","21","1","0.955","1.00","0.39","1.24","3","3","0","1.000","0.00","0.44","6","5","1","0.833","1.00","-0.74","12","12","0","1.000","0.00","0.30","1","2","46.91","28.00"
"4","Scott Wedgewood","N.J","1","65","34","32","2","0.941","1.85","0.15","3.69","19","18","1","0.947","0.92","1.81","6","6","0","1.000","0.00","0.26","9","8","1","0.889","0.92","-0.78","2","3","28.29","29.00"
"1","Jonathan Bernier","DET","1","56.066666666667","32","30","2","0.938","2.14","0.03","2.05","11","10","1","0.909","1.07","0.63","11","10","1","0.909","1.07","-0.53","9","9","0","1.000","0.00","0.23","1","3","31.44","21.00"
"11","Ilya Sorokin","NYI","1","64.333333333333","31","29","2","0.935","1.87","-0.04","1.77","3","1","2","0.333","1.87","-1.56","8","8","0","1.000","0.00","0.34","20","20","0","1.000","0.00","0.50","1","2","41.45","23.00"
"6","Frederik Andersen","TOR","1","49.583333333333","28","26","2","0.929","2.42","-0.23","2.39","11","10","1","0.909","1.21","0.63","1","0","1","0.000","1.21","-0.96","12","12","0","1.000","0.00","0.30","0","2","41.14","16.00"
"9","Cal Petersen","L.A","1","59.35","40","37","3","0.925","3.03","-0.47","2.53","13","11","2","0.846","2.02","-0.07","5","4","1","0.800","1.01","-0.78","17","17","0","1.000","0.00","0.43","1","2","40.90","15.67"
"12","Joey Daccord","OTT","1","60","36","33","3","0.917","3.00","-0.72","3.59","12","9","3","0.750","3.00","-1.22","9","9","0","1.000","0.00","0.39","14","14","0","1.000","0.00","0.35","2","7","32.08","8.67"
"8","Antti Raanta","ARI","1","57.566666666667","34","31","3","0.912","3.13","-0.85","3.2","11","8","3","0.727","3.13","-1.37","13","13","0","1.000","0.00","0.56","10","10","0","1.000","0.00","0.25","4","6","29.59","14.67"
"2","Michael Hutchinson","TOR","1","6.2166666666667","3","1","2","0.333","19.30","-1.81","0.57","2","0","2","0.000","19.30","-1.70","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","1","0","51.00","21.50"
