"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"3","Brian Elliott","PHI","1","63.883333333333","28","27","1","0.964","0.94","1.49","2.24","5","5","0","1.000","0.00","0.82","7","7","0","1.000","0.00","0.48","14","13","1","0.929","0.94","-0.16","0","1","34.00","59.00"
"9","Semyon Varlamov","NYI","1","60","26","25","1","0.962","1.00","1.31","1.87","4","3","1","0.750","1.00","-0.34","7","7","0","1.000","0.00","0.48","14","14","0","1.000","0.00","0.84","1","3","39.35","5.00"
"13","Jordan Binnington","STL","1","60","26","25","1","0.962","1.00","1.31","2.55","6","6","0","1.000","0.00","0.99","13","12","1","0.923","1.00","-0.10","5","5","0","1.000","0.00","0.30","0","2","36.58","28.00"
"2","Curtis McElhinney","T.B","1","59.3","20","19","1","0.950","1.01","0.78","1.06","4","3","1","0.750","1.01","-0.34","6","6","0","1.000","0.00","0.42","8","8","0","1.000","0.00","0.48","0","1","39.15","9.00"
"11","Cam Talbot","CGY","1","48.95","20","19","1","0.950","1.23","0.78","1.58","2","2","0","1.000","0.00","0.33","7","6","1","0.857","1.23","-0.52","9","9","0","1.000","0.00","0.54","1","1","41.60","32.00"
"8","Jonathan Bernier","DET","1","58.633333333333","39","37","2","0.949","2.05","1.47","2.74","13","11","2","0.846","2.05","0.14","10","10","0","1.000","0.00","0.69","15","15","0","1.000","0.00","0.90","4","3","37.15","13.00"
"5","Anton Khudobin","DAL","1","60","35","33","2","0.943","2.00","1.11","2.04","5","4","1","0.800","1.00","-0.18","9","9","0","1.000","0.00","0.62","18","17","1","0.944","1.00","0.08","2","4","41.63","14.00"
"14","John Gibson","ANA","1","63.466666666667","35","33","2","0.943","1.89","1.11","2.93","11","9","2","0.818","1.89","-0.19","13","13","0","1.000","0.00","0.90","10","10","0","1.000","0.00","0.60","5","5","33.46","8.00"
"10","Robin Lehner","CHI","1","65","33","31","2","0.939","1.85","0.93","2.33","9","8","1","0.889","0.92","0.48","8","7","1","0.875","0.92","-0.45","13","13","0","1.000","0.00","0.78","3","3","36.09","28.00"
"15","Joonas Korpisalo","CBJ","1","65","30","28","2","0.933","1.85","0.67","1.94","7","7","0","1.000","0.00","1.15","8","7","1","0.875","0.92","-0.45","13","12","1","0.923","0.92","-0.22","2","0","41.30","39.50"
"7","Tuukka Rask","BOS","1","59.683333333333","26","24","2","0.923","2.01","0.31","2.09","9","8","1","0.889","1.01","0.48","6","5","1","0.833","1.01","-0.58","10","10","0","1.000","0.00","0.60","4","3","38.77","14.00"
"19","Thatcher Demko","VAN","1","59.65","25","23","2","0.920","2.01","0.22","2.99","7","5","2","0.714","2.01","-0.85","13","13","0","1.000","0.00","0.90","4","4","0","1.000","0.00","0.24","4","4","33.08","17.00"
"4","Devan Dubnyk","MIN","1","57.65","28","25","3","0.893","3.12","-0.51","1.34","6","5","1","0.833","1.04","-0.01","4","3","1","0.750","1.04","-0.72","17","16","1","0.941","1.04","0.02","0","3","42.61","30.33"
"16","Connor Hellebuyck","WPG","1","58.066666666667","27","24","3","0.889","3.10","-0.60","3.72","10","8","2","0.800","2.07","-0.35","10","10","0","1.000","0.00","0.69","5","5","0","1.000","0.00","0.30","0","7","31.93","29.33"
"12","Sergei Bobrovsky","FLA","1","60","43","38","5","0.884","5.00","-1.18","3.76","12","11","1","0.917","1.00","0.97","7","4","3","0.571","3.00","-2.52","22","21","1","0.955","1.00","0.32","2","9","38.00","37.80"
"1","Craig Anderson","OTT","1","60.9","34","30","4","0.882","3.94","-0.98","3.74","14","11","3","0.786","2.96","-0.70","6","6","0","1.000","0.00","0.42","12","11","1","0.917","0.99","-0.28","0","7","32.91","13.25"
"18","Antti Raanta","ARI","1","58.266666666667","24","21","3","0.875","3.09","-0.87","2.75","9","7","2","0.778","2.06","-0.52","6","5","1","0.833","1.03","-0.58","9","9","0","1.000","0.00","0.54","0","6","26.50","17.00"
"20","Mackenzie Blackwood","N.J","1","60.9","23","20","3","0.870","2.96","-0.96","2.9","8","6","2","0.750","1.97","-0.68","5","5","0","1.000","0.00","0.35","8","7","1","0.875","0.99","-0.52","1","4","36.43","26.67"
"17","Linus Ullmark","BUF","1","57.333333333333","22","19","3","0.864","3.14","-1.04","1.78","5","4","1","0.800","1.05","-0.18","8","7","1","0.875","1.05","-0.45","7","6","1","0.857","1.05","-0.58","0","0","38.55","18.33"
"6","Carey Price","MTL","1","57.45","34","28","6","0.824","6.27","-2.98","2.68","11","8","3","0.727","3.13","-1.19","6","6","0","1.000","0.00","0.42","16","13","3","0.813","3.13","-2.04","6","5","39.44","27.00"
"21","David Rittich","CGY","1","10.866666666667","7","4","3","0.571","16.56","-2.38","0.54","1","1","0","1.000","0.00","0.16","0","0","0","-","0.00","0.00","5","2","3","0.400","16.56","-2.70","0","0","43.14","49.00"
