"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"10","David Rittich","CGY","1","12.216666666667","4","4","0","1.000","0.00","0.28","0.26","1","1","0","1.000","0.00","0.17","1","1","0","1.000","0.00","0.06","2","2","0","1.000","0.00","0.05","0","0","20.00","-"
"11","Kevin Lankinen","CHI","1","60","29","29","0","1.000","0.00","2.02","2.61","4","4","0","1.000","0.00","0.68","10","10","0","1.000","0.00","0.57","14","14","0","1.000","0.00","0.35","1","4","35.00","-"
"4","Braden Holtby","VAN","1","60","36","35","1","0.972","1.00","1.51","2.8","10","9","1","0.900","1.00","0.71","9","9","0","1.000","0.00","0.51","16","16","0","1.000","0.00","0.40","0","2","35.81","8.00"
"5","Frederik Andersen","TOR","1","60","28","27","1","0.964","1.00","0.95","2.09","10","9","1","0.900","1.00","0.71","7","7","0","1.000","0.00","0.40","10","10","0","1.000","0.00","0.25","3","1","29.93","13.00"
"2","Jonathan Bernier","DET","1","58.75","25","24","1","0.960","1.02","0.74","1.93","5","4","1","0.800","1.02","-0.14","12","12","0","1.000","0.00","0.68","7","7","0","1.000","0.00","0.18","0","4","30.64","11.00"
"1","Mike Smith","EDM","1","60","35","33","2","0.943","2.00","0.44","2.63","3","3","0","1.000","0.00","0.51","17","16","1","0.941","1.00","-0.04","14","13","1","0.929","1.00","-0.65","1","3","38.46","37.00"
"6","Matt Murray","OTT","1","58.3","28","26","2","0.929","2.06","-0.05","2.32","10","9","1","0.900","1.03","0.71","10","9","1","0.900","1.03","-0.43","8","8","0","1.000","0.00","0.20","1","1","26.07","18.50"
"7","Chris Driedger","FLA","1","62.483333333333","35","32","3","0.914","2.88","-0.56","3.71","9","6","3","0.667","2.88","-1.46","11","11","0","1.000","0.00","0.62","13","13","0","1.000","0.00","0.33","2","4","34.60","12.67"
"8","Connor Hellebuyck","WPG","1","58.95","30","27","3","0.900","3.05","-0.91","3.16","7","5","2","0.714","2.04","-0.80","13","12","1","0.923","1.02","-0.26","10","10","0","1.000","0.00","0.25","1","3","30.17","22.00"
"9","Alex Nedeljkovic","CAR","1","62.45","37","33","4","0.892","3.84","-1.42","2.27","5","3","2","0.600","1.92","-1.14","10","9","1","0.900","0.96","-0.43","19","18","1","0.947","0.96","-0.53","2","2","41.92","14.75"
"3","Jacob Markstrom","CGY","1","47.783333333333","29","24","5","0.828","6.28","-2.98","2.25","12","10","2","0.833","2.51","0.05","6","4","2","0.667","2.51","-1.66","7","6","1","0.857","1.26","-0.83","1","4","35.83","29.00"
