"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"2","Thomas Greiss","NYI","1","9.75","1","1","0","1.000","0.00","0.09","0.12","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","69.00","-"
"3","Carey Price","MTL","1","58.916666666667","31","31","0","1.000","0.00","2.66","2.19","4","4","0","1.000","0.00","0.87","10","10","0","1.000","0.00","0.34","15","15","0","1.000","0.00","0.74","2","2","45.84","-"
"8","Ilya Samsonov","WSH","1","59.783333333333","23","23","0","1.000","0.00","1.97","1.97","4","4","0","1.000","0.00","0.87","6","6","0","1.000","0.00","0.20","9","9","0","1.000","0.00","0.44","0","1","47.83","-"
"5","Jake Allen","STL","1","60","21","20","1","0.952","1.00","0.80","1.46","7","7","0","1.000","0.00","1.52","8","8","0","1.000","0.00","0.27","6","5","1","0.833","1.00","-0.70","1","0","28.57","51.00"
"10","David Rittich","CGY","1","56.1","37","35","2","0.946","2.14","1.17","3.43","10","8","2","0.800","2.14","0.17","11","11","0","1.000","0.00","0.38","12","12","0","1.000","0.00","0.59","2","7","43.89","9.50"
"11","Alexandar Georgiev","NYR","1","59.683333333333","33","31","2","0.939","2.01","0.83","2.72","11","9","2","0.818","2.01","0.39","8","8","0","1.000","0.00","0.27","13","13","0","1.000","0.00","0.64","2","5","33.82","5.00"
"6","Petr Mrazek","CAR","1","57.283333333333","30","28","2","0.933","2.09","0.57","2.25","7","6","1","0.857","1.05","0.52","9","9","0","1.000","0.00","0.31","12","11","1","0.917","1.05","-0.41","2","3","35.63","29.00"
"7","John Gibson","ANA","1","60","34","30","4","0.882","4.00","-1.09","2.38","9","7","2","0.778","2.00","-0.05","14","12","2","0.857","2.00","-1.52","11","11","0","1.000","0.00","0.54","1","6","31.50","17.50"
"1","Jaroslav Halak","BOS","1","65","39","34","5","0.872","4.62","-1.66","3.09","10","7","3","0.700","2.77","-0.83","6","6","0","1.000","0.00","0.20","18","16","2","0.889","1.85","-1.11","1","5","43.18","21.60"
"9","Carter Hart","PHI","1","65","31","26","5","0.839","4.62","-2.34","2.63","10","6","4","0.600","3.69","-1.83","5","4","1","0.800","0.92","-0.83","13","13","0","1.000","0.00","0.64","0","3","41.32","11.80"
"4","Semyon Varlamov","NYI","1","49.866666666667","35","29","6","0.829","7.22","-3.00","3.87","11","7","4","0.636","4.81","-1.61","11","11","0","1.000","0.00","0.38","13","11","2","0.846","2.41","-1.36","1","5","31.71","23.00"
