"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"22","Alexandar Georgiev","NYR","1","5.8666666666667","3","3","0","1.000","0.00","0.32","0.23","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.13","2","2","0","1.000","0.00","0.06","0","0","35.67","-"
"18","Igor Shesterkin","NYR","1","54.133333333333","33","32","1","0.970","1.11","2.55","3.31","11","11","0","1.000","0.00","2.31","9","8","1","0.889","1.11","0.15","13","13","0","1.000","0.00","0.42","0","4","28.67","28.00"
"14","Thatcher Demko","VAN","1","59.8","32","31","1","0.969","1.00","2.45","2.83","11","10","1","0.909","1.00","1.31","9","9","0","1.000","0.00","1.15","10","10","0","1.000","0.00","0.32","0","4","33.50","20.00"
"8","Andrei Vasilevskiy","T.B","1","64.983333333333","37","35","2","0.946","1.85","1.99","2.8","13","12","1","0.923","0.92","1.73","10","9","1","0.900","0.92","0.27","14","14","0","1.000","0.00","0.45","1","5","27.51","16.00"
"15","Alex Nedeljkovic","CAR","1","59.583333333333","35","33","2","0.943","2.01","1.77","3.12","9","9","0","1.000","0.00","1.89","9","7","2","0.778","2.01","-0.85","15","15","0","1.000","0.00","0.48","2","5","34.89","21.00"
"10","Joonas Korpisalo","CBJ","1","60","24","22","2","0.917","2.00","0.59","2.03","7","6","1","0.857","1.00","0.47","7","6","1","0.857","1.00","-0.11","9","9","0","1.000","0.00","0.29","2","1","37.50","34.50"
"11","Connor Hellebuyck","WPG","1","64.483333333333","36","33","3","0.917","2.79","0.88","2.1","7","5","2","0.714","1.86","-0.53","4","4","0","1.000","0.00","0.51","19","19","0","1.000","0.00","0.61","0","5","53.67","65.00"
"23","Kevin Lankinen","CHI","1","64.983333333333","34","31","3","0.912","2.77","0.66","2.1","5","5","0","1.000","0.00","1.05","14","11","3","0.786","2.77","-1.22","13","13","0","1.000","0.00","0.42","0","3","34.09","25.00"
"21","David Rittich","CGY","1","60","32","29","3","0.906","3.00","0.45","2.41","6","5","1","0.833","1.00","0.26","13","11","2","0.846","2.00","-0.35","10","10","0","1.000","0.00","0.32","0","1","36.47","16.33"
"1","Brian Elliott","PHI","1","60","29","26","3","0.897","3.00","0.12","2.41","13","11","2","0.846","2.00","0.73","5","5","0","1.000","0.00","0.64","9","8","1","0.889","1.00","-0.71","2","4","32.41","25.67"
"6","Michael Hutchinson","TOR","1","57.5","28","25","3","0.893","3.13","0.02","1.53","5","4","1","0.800","1.04","0.05","4","3","1","0.750","1.04","-0.49","19","18","1","0.947","1.04","-0.39","0","0","38.86","17.67"
"16","Jonas Johansson","BUF","1","59.55","45","40","5","0.889","5.04","-0.15","4.12","15","11","4","0.733","4.03","-0.85","15","15","0","1.000","0.00","1.91","11","10","1","0.909","1.01","-0.65","2","4","36.91","13.60"
"17","Ilya Sorokin","NYI","1","59.966666666667","18","16","2","0.889","2.00","-0.06","1.51","4","2","2","0.500","2.00","-1.16","7","7","0","1.000","0.00","0.89","6","6","0","1.000","0.00","0.19","0","3","35.11","13.50"
"7","Sergei Bobrovsky","FLA","1","60","35","31","4","0.886","4.00","-0.23","2.96","10","7","3","0.700","3.00","-0.90","10","10","0","1.000","0.00","1.27","15","14","1","0.933","1.00","-0.52","0","5","30.09","21.50"
"13","Tristan Jarry","PIT","1","58.7","35","31","4","0.886","4.09","-0.23","2.85","16","12","4","0.750","4.09","-0.64","4","4","0","1.000","0.00","0.51","14","14","0","1.000","0.00","0.45","0","1","31.77","11.75"
"4","Jonathan Bernier","DET","1","59.683333333333","31","27","4","0.871","4.02","-0.66","2.41","6","4","2","0.667","2.01","-0.74","7","6","1","0.857","1.01","-0.11","14","13","1","0.929","1.01","-0.55","1","1","45.61","27.25"
"3","Pekka Rinne","NSH","1","57.516666666667","38","33","5","0.868","5.22","-0.91","3.35","11","8","3","0.727","3.13","-0.69","10","9","1","0.900","1.04","0.27","15","14","1","0.933","1.04","-0.52","3","5","35.68","23.00"
"2","Anton Khudobin","DAL","1","60.933333333333","22","19","3","0.864","2.95","-0.63","1.84","6","3","3","0.500","2.95","-1.74","6","6","0","1.000","0.00","0.76","10","10","0","1.000","0.00","0.32","0","3","31.36","13.33"
"5","Jake Allen","MTL","1","64.033333333333","27","23","4","0.852","3.75","-1.09","2.57","11","8","3","0.727","2.81","-0.69","5","4","1","0.800","0.94","-0.36","10","10","0","1.000","0.00","0.32","2","3","35.07","14.50"
"20","Joey Daccord","OTT","1","40","18","15","3","0.833","4.50","-1.06","0.93","5","3","2","0.600","3.00","-0.95","5","4","1","0.800","1.50","-0.36","7","7","0","1.000","0.00","0.22","2","0","38.67","19.00"
"19","Mackenzie Blackwood","N.J","1","43.95","15","11","4","0.733","5.46","-2.38","1.18","1","0","1","0.000","1.37","-0.79","7","4","3","0.571","4.10","-2.11","7","7","0","1.000","0.00","0.22","0","2","38.33","19.50"
"9","Matt Murray","OTT","1","20","11","7","4","0.636","12.00","-2.82","0.69","3","2","1","0.667","3.00","-0.37","4","1","3","0.250","9.00","-2.49","4","4","0","1.000","0.00","0.13","2","0","35.09","25.50"
"12","Aaron Dell","N.J","1","15.933333333333","4","2","2","0.500","7.53","-1.57","0.21","1","1","0","1.000","0.00","0.21","0","0","0","-","0.00","0.00","3","1","2","0.333","7.53","-1.90","0","0","32.50","28.50"
