"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"6","Ben Bishop","DAL","1","59.6","27","27","0","1.000","0.00","2.26","2.01","4","4","0","1.000","0.00","0.69","6","6","0","1.000","0.00","0.63","16","16","0","1.000","0.00","0.43","0","1","38.41","-"
"16","Andrei Vasilevskiy","T.B","1","60","25","25","0","1.000","0.00","2.09","1.06","2","2","0","1.000","0.00","0.34","9","9","0","1.000","0.00","0.95","12","12","0","1.000","0.00","0.32","0","1","44.40","-"
"8","Cam Talbot","CGY","1","60","43","42","1","0.977","1.00","2.59","3.5","12","12","0","1.000","0.00","2.06","9","8","1","0.889","1.00","-0.06","18","18","0","1.000","0.00","0.48","4","7","35.79","21.00"
"18","Aaron Dell","S.J","1","60","30","29","1","0.967","1.00","1.51","1.74","6","5","1","0.833","1.00","0.03","11","11","0","1.000","0.00","1.16","12","12","0","1.000","0.00","0.32","4","4","36.60","9.00"
"10","Jack Campbell","L.A","1","60","46","44","2","0.957","2.00","1.84","3.28","12","11","1","0.917","1.00","1.06","9","8","1","0.889","1.00","-0.06","24","24","0","1.000","0.00","0.64","3","5","36.04","10.00"
"13","Jordan Binnington","STL","1","59.233333333333","19","18","1","0.947","1.01","0.59","1.57","5","5","0","1.000","0.00","0.86","9","8","1","0.889","1.01","-0.06","5","5","0","1.000","0.00","0.13","2","1","30.32","30.00"
"1","Mike Smith","EDM","1","60","37","35","2","0.946","2.00","1.09","2.2","8","7","1","0.875","1.00","0.37","5","4","1","0.800","1.00","-0.48","23","23","0","1.000","0.00","0.62","2","2","39.11","26.00"
"7","Alex Stalock","MIN","1","57.833333333333","37","35","2","0.946","2.07","1.09","2.93","4","3","1","0.750","1.04","-0.31","17","16","1","0.941","1.04","0.79","13","13","0","1.000","0.00","0.35","1","3","36.73","27.00"
"21","Igor Shesterkin","NYR","1","60","49","46","3","0.939","3.00","1.09","2.96","8","6","2","0.750","2.00","-0.63","15","14","1","0.933","1.00","0.58","22","22","0","1.000","0.00","0.59","1","5","42.57","20.00"
"9","Sergei Bobrovsky","FLA","1","59.416666666667","32","30","2","0.938","2.02","0.67","3.38","14","13","1","0.929","1.01","1.40","5","4","1","0.800","1.01","-0.48","12","12","0","1.000","0.00","0.32","1","4","29.94","16.50"
"4","Pekka Rinne","NSH","1","60","31","29","2","0.935","2.00","0.59","2.39","14","12","2","0.857","2.00","0.40","6","6","0","1.000","0.00","0.63","9","9","0","1.000","0.00","0.24","3","2","27.71","18.00"
"14","John Gibson","ANA","1","59.566666666667","26","24","2","0.923","2.01","0.17","2.6","10","9","1","0.900","1.01","0.71","9","8","1","0.889","1.01","-0.06","6","6","0","1.000","0.00","0.16","2","4","29.38","24.00"
"11","Louis Domingue","N.J","1","24.966666666667","12","11","1","0.917","2.40","0.00","0.77","3","3","0","1.000","0.00","0.51","3","2","1","0.667","2.40","-0.69","4","4","0","1.000","0.00","0.11","1","3","39.50","25.00"
"20","Elvis Merzlikins","CBJ","1","56.5","33","30","3","0.909","3.19","-0.24","3.51","6","4","2","0.667","2.12","-0.97","11","10","1","0.909","1.06","0.16","13","13","0","1.000","0.00","0.35","4","11","39.06","22.67"
"19","Thatcher Demko","VAN","1","60","49","44","5","0.898","5.00","-0.91","4.56","17","14","3","0.824","3.00","-0.09","20","18","2","0.900","2.00","0.10","12","12","0","1.000","0.00","0.32","8","7","26.73","16.20"
"2","Corey Crawford","CHI","1","59.033333333333","28","25","3","0.893","3.05","-0.66","2.11","9","6","3","0.667","3.05","-1.46","7","7","0","1.000","0.00","0.74","11","11","0","1.000","0.00","0.29","0","1","34.04","7.67"
"23","Adin Hill","ARI","1","59.833333333333","34","30","4","0.882","4.01","-1.16","2.03","4","2","2","0.500","2.01","-1.31","13","11","2","0.846","2.01","-0.64","14","14","0","1.000","0.00","0.37","2","2","44.12","21.00"
"5","Carey Price","MTL","1","58.633333333333","25","22","3","0.880","3.07","-0.91","1.97","7","6","1","0.857","1.02","0.20","9","7","2","0.778","2.05","-1.06","8","8","0","1.000","0.00","0.21","1","0","34.68","19.67"
