"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"2","Anders Nilsson","OTT","1","59.816666666667","36","34","2","0.944","2.01","0.59","2.85","5","4","1","0.800","1.00","-0.17","13","12","1","0.923","1.00","0.04","15","15","0","1.000","0.00","0.27","2","8","41.61","21.00"
"3","Andrei Vasilevskiy","T.B","1","59.5","35","33","2","0.943","2.02","0.52","2.34","10","8","2","0.800","2.02","-0.33","12","12","0","1.000","0.00","0.96","12","12","0","1.000","0.00","0.21","1","5","35.60","19.00"
"4","Tristan Jarry","PIT","1","59.2","45","42","3","0.933","3.04","0.24","2.78","8","6","2","0.750","2.03","-0.67","15","15","0","1.000","0.00","1.20","16","15","1","0.938","1.01","-0.71","2","7","48.96","28.33"
"1","Jonathan Bernier","DET","1","59.133333333333","37","33","4","0.892","4.06","-1.34","3.3","13","12","1","0.923","1.01","1.17","10","7","3","0.700","3.04","-2.20","13","13","0","1.000","0.00","0.23","2","5","29.46","18.50"
