"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"2","Thomas Greiss","NYI","1","60","36","35","1","0.972","1.00","2.78","1.97","9","8","1","0.889","1.00","0.80","9","9","0","1.000","0.00","0.79","17","17","0","1.000","0.00","0.97","2","3","39.17","30.00"
"1","Curtis McElhinney","T.B","1","61.883333333333","44","40","4","0.909","3.88","0.62","3.55","13","11","2","0.846","1.94","0.60","12","12","0","1.000","0.00","1.06","17","15","2","0.882","1.94","-1.03","3","5","33.20","36.00"
"3","Anton Khudobin","DAL","1","59.1","33","29","4","0.879","4.06","-0.54","2.4","8","6","2","0.750","2.03","-0.40","3","2","1","0.667","1.02","-0.74","21","20","1","0.952","1.02","0.19","0","2","36.09","20.75"
"6","Laurent Brossoit","WPG","1","60","33","29","4","0.879","4.00","-0.54","3.18","15","11","4","0.733","4.00","-1.00","2","2","0","1.000","0.00","0.18","16","16","0","1.000","0.00","0.91","1","6","29.45","13.75"
"4","Jonathan Bernier","DET","1","60","22","19","3","0.864","3.00","-0.69","2.13","7","5","2","0.714","2.00","-0.60","4","4","0","1.000","0.00","0.35","11","10","1","0.909","1.00","-0.38","0","3","31.14","21.67"
"5","Petr Mrazek","CAR","1","61.8","13","10","3","0.769","2.91","-1.64","1.01","3","3","0","1.000","0.00","0.60","4","2","2","0.500","1.94","-1.65","6","5","1","0.833","0.97","-0.66","0","1","38.77","47.67"
