"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"10","Carter Hart","PHI","1","63.883333333333","36","35","1","0.972","0.94","2.18","3.04","10","9","1","0.900","0.94","0.82","12","12","0","1.000","0.00","1.12","13","13","0","1.000","0.00","0.12","0","5","34.08","7.00"
"6","Braden Holtby","WSH","1","65","31","30","1","0.968","0.92","1.74","1.87","6","5","1","0.833","0.92","0.09","7","7","0","1.000","0.00","0.65","17","17","0","1.000","0.00","0.16","0","1","37.16","10.00"
"4","Ben Bishop","DAL","1","60","25","24","1","0.960","1.00","1.21","3.09","7","6","1","0.857","1.00","0.27","8","8","0","1.000","0.00","0.75","10","10","0","1.000","0.00","0.09","0","3","28.12","7.00"
"7","Cam Talbot","CGY","1","58.766666666667","31","29","2","0.935","2.04","0.74","2.73","8","6","2","0.750","2.04","-0.55","9","9","0","1.000","0.00","0.84","12","12","0","1.000","0.00","0.11","1","5","35.26","6.00"
"3","Corey Crawford","CHI","1","60","42","39","3","0.929","3.00","0.71","3.12","14","12","2","0.857","2.00","0.55","9","8","1","0.889","1.00","-0.16","17","17","0","1.000","0.00","0.16","2","4","35.00","19.00"
"1","Craig Anderson","OTT","1","60","23","21","2","0.913","2.00","0.03","2.21","7","6","1","0.857","1.00","0.27","7","6","1","0.857","1.00","-0.35","8","8","0","1.000","0.00","0.07","2","2","34.39","21.00"
"9","Mackenzie Blackwood","N.J","1","58.85","24","21","3","0.875","3.06","-0.88","2.24","10","9","1","0.900","1.02","0.82","6","5","1","0.833","1.02","-0.44","7","6","1","0.857","1.02","-0.93","3","4","34.75","20.67"
"8","Frederik Andersen","TOR","1","58.116666666667","29","25","4","0.862","4.13","-1.44","2.8","14","11","3","0.786","3.10","-0.45","9","8","1","0.889","1.03","-0.16","6","6","0","1.000","0.00","0.06","3","3","24.28","16.75"
"5","Semyon Varlamov","NYI","1","59.95","27","23","4","0.852","4.00","-1.61","2.36","11","7","4","0.636","4.00","-2.00","3","3","0","1.000","0.00","0.28","11","11","0","1.000","0.00","0.10","1","3","31.81","8.25"
"2","Marc-Andre Fleury","VGK","1","59.116666666667","26","21","5","0.808","5.07","-2.70","2.34","12","10","2","0.833","2.03","0.18","5","2","3","0.400","3.04","-2.53","6","6","0","1.000","0.00","0.06","1","2","32.27","22.00"
