"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"12","Robin Lehner","VGK","1","60","27","27","0","1.000","0.00","2.24","2.82","6","6","0","1.000","0.00","1.10","8","8","0","1.000","0.00","0.65","10","10","0","1.000","0.00","0.24","0","3","46.41","-"
"11","Mikko Koskinen","EDM","1","61.133333333333","43","42","1","0.977","0.98","2.56","3.57","13","13","0","1.000","0.00","2.38","13","12","1","0.923","0.98","0.06","14","14","0","1.000","0.00","0.34","1","7","36.74","29.00"
"8","Alex Stalock","MIN","1","59.766666666667","38","37","1","0.974","1.00","2.15","3.64","9","8","1","0.889","1.00","0.65","8","8","0","1.000","0.00","0.65","21","21","0","1.000","0.00","0.51","0","6","35.13","15.00"
"15","Jordan Binnington","STL","1","60","26","25","1","0.962","1.00","1.15","2.72","7","7","0","1.000","0.00","1.28","5","4","1","0.800","1.00","-0.59","13","13","0","1.000","0.00","0.31","1","6","38.08","12.00"
"20","Connor Hellebuyck","WPG","1","60","26","25","1","0.962","1.00","1.15","2.11","3","3","0","1.000","0.00","0.55","9","9","0","1.000","0.00","0.74","13","12","1","0.923","1.00","-0.69","0","3","39.50","24.00"
"7","Tuukka Rask","BOS","1","60","21","20","1","0.952","1.00","0.74","1.63","5","4","1","0.800","1.00","-0.09","8","8","0","1.000","0.00","0.65","8","8","0","1.000","0.00","0.19","2","4","36.43","11.00"
"3","Corey Crawford","CHI","1","58.833333333333","39","37","2","0.949","2.04","1.23","3.34","14","12","2","0.857","2.04","0.56","8","8","0","1.000","0.00","0.65","17","17","0","1.000","0.00","0.41","1","2","29.97","12.00"
"18","Andrei Vasilevskiy","T.B","1","61.65","35","33","2","0.943","1.95","0.90","3.09","13","11","2","0.846","1.95","0.38","11","11","0","1.000","0.00","0.90","11","11","0","1.000","0.00","0.27","0","8","29.94","6.50"
"2","Ryan Miller","ANA","1","20","16","15","1","0.938","3.00","0.32","1.75","9","8","1","0.889","3.00","0.65","2","2","0","1.000","0.00","0.16","5","5","0","1.000","0.00","0.12","1","2","24.94","10.00"
"5","Anton Khudobin","DAL","1","61.133333333333","27","25","2","0.926","1.96","0.24","1.95","4","4","0","1.000","0.00","0.73","9","7","2","0.778","1.96","-1.26","12","12","0","1.000","0.00","0.29","2","0","38.33","25.00"
"10","Martin Jones","S.J","1","60","27","25","2","0.926","2.00","0.24","2.58","9","8","1","0.889","1.00","0.65","11","10","1","0.909","1.00","-0.10","4","4","0","1.000","0.00","0.10","1","2","32.22","11.50"
"13","Carter Hutton","BUF","1","57.816666666667","35","32","3","0.914","3.11","-0.10","2.48","8","5","3","0.625","3.11","-1.54","7","7","0","1.000","0.00","0.57","16","16","0","1.000","0.00","0.39","1","4","47.51","8.67"
"6","Carey Price","MTL","1","60","22","20","2","0.909","2.00","-0.18","2.5","8","7","1","0.875","1.00","0.46","2","2","0","1.000","0.00","0.16","9","8","1","0.889","1.00","-0.78","1","1","34.86","25.00"
"21","Juuse Saros","NSH","1","57.7","33","30","3","0.909","3.12","-0.27","3.32","10","7","3","0.700","3.12","-1.17","8","8","0","1.000","0.00","0.65","15","15","0","1.000","0.00","0.36","1","4","31.79","10.67"
"22","Mackenzie Blackwood","N.J","1","59.783333333333","32","29","3","0.906","3.01","-0.35","2.98","7","6","1","0.857","1.00","0.28","7","6","1","0.857","1.00","-0.43","18","17","1","0.944","1.00","-0.57","1","5","35.88","21.67"
"23","Alexandar Georgiev","NYR","1","58.7","21","19","2","0.905","2.04","-0.26","1.2","4","3","1","0.750","1.02","-0.27","5","4","1","0.800","1.02","-0.59","10","10","0","1.000","0.00","0.24","3","0","47.33","14.00"
"14","Jack Campbell","TOR","1","57.733333333333","37","33","4","0.892","4.16","-0.94","3.26","11","8","3","0.727","3.12","-0.99","9","8","1","0.889","1.04","-0.26","14","14","0","1.000","0.00","0.34","2","5","37.27","13.50"
"19","Matt Murray","PIT","1","59.733333333333","26","23","3","0.885","3.01","-0.85","1.96","8","6","2","0.750","2.01","-0.54","7","6","1","0.857","1.00","-0.43","9","9","0","1.000","0.00","0.22","2","3","38.81","19.67"
"9","Semyon Varlamov","NYI","1","39.2","14","12","2","0.857","3.06","-0.84","1.04","1","0","1","0.000","1.53","-0.82","3","2","1","0.667","1.53","-0.75","8","8","0","1.000","0.00","0.19","1","1","38.64","23.50"
"1","Craig Anderson","OTT","1","59.8","35","28","7","0.800","7.02","-4.10","3.13","10","7","3","0.700","3.01","-1.17","11","9","2","0.818","2.01","-1.10","12","10","2","0.833","2.01","-1.71","0","6","33.23","22.57"
"16","John Gibson","ANA","1","40","24","19","5","0.792","7.50","-3.01","2.27","11","6","5","0.545","7.50","-2.99","6","6","0","1.000","0.00","0.49","7","7","0","1.000","0.00","0.17","0","1","23.25","9.40"
"4","Thomas Greiss","NYI","1","20","12","9","3","0.750","9.00","-2.01","0.82","5","4","1","0.800","3.00","-0.09","2","1","1","0.500","3.00","-0.84","3","2","1","0.667","3.00","-0.93","1","1","36.50","25.67"
"17","Malcolm Subban","CHI","1","1.1666666666667","0","0","0","-","0.00","0.00","0.18","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","1","-","-"
