"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"2","Jonathan Quick","L.A","1","60","28","28","0","1.000","0.00","1.89","2.43","10","10","0","1.000","0.00","0.98","4","4","0","1.000","0.00","0.40","14","14","0","1.000","0.00","0.36","1","4","32.43","-"
"7","Ilya Sorokin","NYI","1","60","20","20","0","1.000","0.00","1.35","2.29","9","9","0","1.000","0.00","0.88","2","2","0","1.000","0.00","0.20","8","8","0","1.000","0.00","0.21","0","2","31.30","-"
"6","Vitek Vanecek","WSH","1","60","27","26","1","0.963","1.00","0.82","1.72","5","5","0","1.000","0.00","0.49","6","5","1","0.833","1.00","-0.40","16","16","0","1.000","0.00","0.41","0","1","37.44","29.00"
"10","Mackenzie Blackwood","N.J","1","60","39","37","2","0.949","2.00","0.63","2.99","10","9","1","0.900","1.00","-0.02","13","12","1","0.923","1.00","0.30","15","15","0","1.000","0.00","0.38","4","3","28.82","30.00"
"4","Philipp Grubauer","COL","1","60","29","27","2","0.931","2.00","-0.05","2.99","9","8","1","0.889","1.00","-0.12","10","10","0","1.000","0.00","1.00","10","9","1","0.900","1.00","-0.74","3","6","30.14","21.50"
"5","Tristan Jarry","PIT","1","57.866666666667","42","39","3","0.929","3.11","-0.17","3.4","11","10","1","0.909","1.04","0.07","7","5","2","0.714","2.07","-1.30","22","22","0","1.000","0.00","0.56","2","4","38.21","24.00"
"3","Carter Hutton","BUF","1","57.116666666667","23","21","2","0.913","2.10","-0.45","1.67","5","5","0","1.000","0.00","0.49","7","5","2","0.714","2.10","-1.30","11","11","0","1.000","0.00","0.28","0","1","30.65","16.50"
"8","Kaapo Kahkonen","MIN","1","58.333333333333","28","25","3","0.893","3.09","-1.11","2.57","10","8","2","0.800","2.06","-1.02","9","9","0","1.000","0.00","0.90","8","7","1","0.875","1.03","-0.79","0","5","26.86","14.33"
"9","Igor Shesterkin","NYR","1","57.366666666667","36","32","4","0.889","4.18","-1.58","3.07","9","8","1","0.889","1.05","-0.12","18","16","2","0.889","2.09","-0.20","7","6","1","0.857","1.05","-0.82","4","5","37.50","32.75"
"1","Marc-Andre Fleury","VGK","1","59.583333333333","25","22","3","0.880","3.02","-1.32","2.11","4","2","2","0.500","2.01","-1.61","14","13","1","0.929","1.01","0.40","6","6","0","1.000","0.00","0.15","3","2","33.04","15.67"
