"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"1","Jaroslav Halak","BOS","1","59.816666666667","24","24","0","1.000","0.00","2.13","1.56","4","4","0","1.000","0.00","0.81","5","5","0","1.000","0.00","0.35","14","14","0","1.000","0.00","0.55","3","0","45.08","-"
"18","Aaron Dell","S.J","1","20","5","5","0","1.000","0.00","0.44","0.73","1","1","0","1.000","0.00","0.20","0","0","0","-","0.00","0.00","4","4","0","1.000","0.00","0.16","0","2","36.40","-"
"17","Connor Hellebuyck","WPG","1","60","28","27","1","0.964","1.00","1.49","3.2","11","10","1","0.909","1.00","1.23","3","3","0","1.000","0.00","0.21","14","14","0","1.000","0.00","0.55","1","8","32.25","12.00"
"23","Carter Hart","PHI","1","60","28","27","1","0.964","1.00","1.49","2.86","11","11","0","1.000","0.00","2.23","5","5","0","1.000","0.00","0.35","12","11","1","0.917","1.00","-0.53","1","5","29.32","64.00"
"21","Kaapo Kahkonen","MIN","1","60","46","44","2","0.957","2.00","2.09","3.04","7","7","0","1.000","0.00","1.42","15","14","1","0.933","1.00","0.04","23","22","1","0.957","1.00","-0.09","0","4","36.26","37.00"
"20","Thatcher Demko","VAN","1","60","42","40","2","0.952","2.00","1.73","3.97","13","12","1","0.923","1.00","1.63","13","12","1","0.923","1.00","-0.10","13","13","0","1.000","0.00","0.51","2","4","32.64","21.50"
"11","Darcy Kuemper","ARI","1","60","35","33","2","0.943","2.00","1.11","2.36","4","3","1","0.750","1.00","-0.19","15","14","1","0.933","1.00","0.04","13","13","0","1.000","0.00","0.51","1","1","37.29","19.50"
"6","James Reimer","CAR","1","59.266666666667","34","32","2","0.941","2.02","1.02","1.83","5","3","2","0.600","2.02","-0.99","14","14","0","1.000","0.00","0.97","15","15","0","1.000","0.00","0.59","1","1","35.74","13.50"
"14","Andrei Vasilevskiy","T.B","1","62.583333333333","32","30","2","0.938","1.92","0.84","1.8","7","7","0","1.000","0.00","1.42","7","7","0","1.000","0.00","0.49","16","14","2","0.875","1.92","-1.37","3","1","42.25","40.50"
"19","Marcus Hogberg","OTT","1","40","14","13","1","0.929","1.50","0.24","1.16","3","3","0","1.000","0.00","0.61","4","4","0","1.000","0.00","0.28","7","6","1","0.857","1.50","-0.72","2","1","34.43","67.00"
"2","Thomas Greiss","NYI","1","58.25","39","36","3","0.923","3.09","0.47","2.71","12","10","2","0.833","2.06","0.43","9","9","0","1.000","0.00","0.62","17","16","1","0.941","1.03","-0.33","6","6","39.26","27.00"
"8","Braden Holtby","WSH","1","60","25","23","2","0.920","2.00","0.22","1.66","8","7","1","0.875","1.00","0.62","3","3","0","1.000","0.00","0.21","10","9","1","0.900","1.00","-0.61","2","3","51.96","29.50"
"13","Malcolm Subban","VGK","1","60","35","32","3","0.914","3.00","0.11","2.78","4","4","0","1.000","0.00","0.81","17","15","2","0.882","2.00","-0.82","13","12","1","0.923","1.00","-0.49","1","0","36.40","31.67"
"5","Carey Price","MTL","1","60","23","21","2","0.913","2.00","0.04","2.02","8","7","1","0.875","1.00","0.62","4","3","1","0.750","1.00","-0.72","7","7","0","1.000","0.00","0.28","0","3","45.96","31.00"
"4","Pekka Rinne","NSH","1","62.166666666667","31","28","3","0.903","2.90","-0.25","2.78","8","6","2","0.750","1.93","-0.38","12","12","0","1.000","0.00","0.83","10","9","1","0.900","0.97","-0.61","0","3","33.94","25.67"
"16","Joonas Korpisalo","CBJ","1","59.183333333333","27","24","3","0.889","3.04","-0.60","1.75","6","5","1","0.833","1.01","0.21","11","9","2","0.818","2.03","-1.24","8","8","0","1.000","0.00","0.31","0","3","35.11","15.00"
"15","Chris Driedger","FLA","1","58.016666666667","25","22","3","0.880","3.10","-0.78","1.63","5","4","1","0.800","1.03","0.01","5","3","2","0.600","2.07","-1.65","15","15","0","1.000","0.00","0.59","0","1","36.96","24.33"
"22","Mackenzie Blackwood","N.J","1","58.266666666667","30","26","4","0.867","4.12","-1.33","2.53","11","7","4","0.636","4.12","-1.77","8","8","0","1.000","0.00","0.55","9","9","0","1.000","0.00","0.35","0","2","32.50","10.50"
"3","Anton Khudobin","DAL","1","60","30","25","5","0.833","5.00","-2.33","2.69","11","6","5","0.545","5.00","-2.77","4","4","0","1.000","0.00","0.28","12","12","0","1.000","0.00","0.47","0","3","39.90","12.20"
"12","Frederik Andersen","TOR","1","59.5","28","23","5","0.821","5.04","-2.51","2.98","10","7","3","0.700","3.03","-0.98","12","10","2","0.833","2.02","-1.17","6","6","0","1.000","0.00","0.24","3","2","29.57","19.80"
"9","Martin Jones","S.J","1","40","23","18","5","0.783","7.50","-2.96","2.35","7","3","4","0.429","6.00","-2.58","4","4","0","1.000","0.00","0.28","11","10","1","0.909","1.50","-0.57","1","5","42.04","18.20"
"10","Anders Nilsson","OTT","1","20","15","11","4","0.733","12.00","-2.67","1.26","7","3","4","0.429","12.00","-2.58","3","3","0","1.000","0.00","0.21","5","5","0","1.000","0.00","0.20","1","1","25.40","10.50"
"7","Semyon Varlamov","NYI","1","0.65","0","0","0","-","0.00","0.00","0","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","-"
