"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"15","Elvis Merzlikins","CBJ","1","60","32","32","0","1.000","0.00","2.62","1.59","2","2","0","1.000","0.00","0.42","7","7","0","1.000","0.00","0.43","21","21","0","1.000","0.00","0.68","0","1","44.00","-"
"13","Tristan Jarry","PIT","1","60","32","31","1","0.969","1.00","1.62","2.35","8","7","1","0.875","1.00","0.69","9","9","0","1.000","0.00","0.55","15","15","0","1.000","0.00","0.48","1","1","32.41","7.00"
"14","Vitek Vanecek","WSH","1","59.466666666667","23","22","1","0.957","1.01","0.88","2.08","5","5","0","1.000","0.00","1.06","4","4","0","1.000","0.00","0.24","14","13","1","0.929","1.01","-0.55","0","5","36.00","33.00"
"16","Kaapo Kahkonen","MIN","1","58.916666666667","17","16","1","0.941","1.02","0.39","1.97","6","5","1","0.833","1.02","0.27","5","5","0","1.000","0.00","0.30","6","6","0","1.000","0.00","0.19","2","3","31.71","13.00"
"18","Carter Hart","PHI","1","63.95","33","31","2","0.939","1.88","0.70","2.81","8","7","1","0.875","0.94","0.69","6","5","1","0.833","0.94","-0.64","14","14","0","1.000","0.00","0.45","2","2","45.97","13.00"
"7","Jordan Binnington","STL","1","62.566666666667","32","30","2","0.938","1.92","0.62","2.2","11","9","2","0.818","1.92","0.33","5","5","0","1.000","0.00","0.30","14","14","0","1.000","0.00","0.45","1","4","35.53","15.00"
"5","Martin Jones","S.J","1","64","45","42","3","0.933","2.81","0.68","3.23","10","7","3","0.700","2.81","-0.89","12","12","0","1.000","0.00","0.73","19","19","0","1.000","0.00","0.61","3","5","35.27","12.33"
"6","Darcy Kuemper","ARI","1","65","29","27","2","0.931","1.85","0.37","2.34","11","9","2","0.818","1.85","0.33","4","4","0","1.000","0.00","0.24","14","14","0","1.000","0.00","0.45","1","4","31.52","10.00"
"17","Mackenzie Blackwood","N.J","1","60","27","25","2","0.926","2.00","0.21","1.85","8","7","1","0.875","1.00","0.69","13","13","0","1.000","0.00","0.79","6","5","1","0.833","1.00","-0.81","2","1","30.11","45.50"
"4","Michael Hutchinson","TOR","1","60","37","34","3","0.919","3.00","0.03","2.86","5","5","0","1.000","0.00","1.06","14","13","1","0.929","1.00","-0.15","16","14","2","0.875","2.00","-1.48","5","2","37.92","23.67"
"3","Semyon Varlamov","NYI","1","59.85","36","33","3","0.917","3.01","-0.05","3.77","10","7","3","0.700","3.01","-0.89","11","11","0","1.000","0.00","0.67","14","14","0","1.000","0.00","0.45","2","6","31.17","12.67"
"2","Jonathan Quick","L.A","1","64.916666666667","22","20","2","0.909","1.85","-0.20","1.45","4","3","1","0.750","0.92","-0.15","7","6","1","0.857","0.92","-0.57","8","8","0","1.000","0.00","0.26","1","2","40.95","21.50"
"19","Alexandar Georgiev","NYR","1","64.983333333333","22","20","2","0.909","1.85","-0.20","2.06","6","4","2","0.667","1.85","-0.73","7","7","0","1.000","0.00","0.43","6","6","0","1.000","0.00","0.19","3","4","39.77","5.00"
"12","Juuse Saros","NSH","1","59.65","21","19","2","0.905","2.01","-0.28","1.32","2","2","0","1.000","0.00","0.42","5","5","0","1.000","0.00","0.30","13","11","2","0.846","2.01","-1.58","2","1","44.43","46.00"
"8","John Gibson","ANA","1","59.05","27","24","3","0.889","3.05","-0.79","2.96","7","5","2","0.714","2.03","-0.52","12","11","1","0.917","1.02","-0.27","6","6","0","1.000","0.00","0.19","0","6","33.89","13.00"
"1","Jaroslav Halak","BOS","1","57.916666666667","26","23","3","0.885","3.11","-0.87","1.72","6","5","1","0.833","1.04","0.27","7","5","2","0.714","2.07","-1.57","13","13","0","1.000","0.00","0.42","1","1","31.38","29.33"
"10","Linus Ullmark","BUF","1","57.866666666667","21","18","3","0.857","3.11","-1.28","2.23","6","3","3","0.500","3.11","-1.73","7","7","0","1.000","0.00","0.43","8","8","0","1.000","0.00","0.26","2","4","30.90","6.67"
"11","Marcus Hogberg","OTT","1","12","5","4","1","0.800","5.00","-0.59","0.52","0","0","0","-","0.00","0.00","4","3","1","0.750","5.00","-0.76","1","1","0","1.000","0.00","0.03","0","0","28.60","25.00"
"9","Matt Murray","OTT","1","48","26","20","6","0.769","7.50","-3.87","2.51","8","5","3","0.625","3.75","-1.31","9","7","2","0.778","2.50","-1.45","9","8","1","0.889","1.25","-0.71","0","3","27.88","21.33"
