"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"12","Mackenzie Blackwood","N.J","1","60","31","30","1","0.968","1.00","2.14","2.17","5","5","0","1.000","0.00","1.00","3","2","1","0.667","1.00","-0.62","21","21","0","1.000","0.00","0.87","0","2","39.19","27.00"
"7","Mikko Koskinen","EDM","1","60","33","31","2","0.939","2.00","1.35","3.16","10","8","2","0.800","2.00","0.00","7","7","0","1.000","0.00","0.90","14","14","0","1.000","0.00","0.58","1","4","38.15","9.50"
"2","Jaroslav Halak","BOS","1","65","29","27","2","0.931","1.85","0.94","1.95","7","6","1","0.857","0.92","0.40","11","11","0","1.000","0.00","1.41","10","9","1","0.900","0.92","-0.59","3","3","39.00","16.50"
"8","Robin Lehner","CHI","1","60","57","53","4","0.930","4.00","1.78","3.47","11","8","3","0.727","3.00","-0.80","18","17","1","0.944","1.00","1.31","28","28","0","1.000","0.00","1.15","1","4","35.93","12.25"
"11","Connor Hellebuyck","WPG","1","60.35","28","26","2","0.929","1.99","0.84","1.38","7","6","1","0.857","0.99","0.40","7","6","1","0.857","0.99","-0.10","12","12","0","1.000","0.00","0.49","1","2","41.86","17.00"
"14","Carter Hart","PHI","1","65","28","26","2","0.929","1.85","0.84","2","5","4","1","0.800","0.92","0.00","11","11","0","1.000","0.00","1.41","11","10","1","0.909","0.92","-0.55","2","2","39.43","22.00"
"5","Jacob Markstrom","VAN","1","57.733333333333","27","25","2","0.926","2.08","0.74","2.22","7","6","1","0.857","1.04","0.40","3","2","1","0.667","1.04","-0.62","15","15","0","1.000","0.00","0.62","0","2","37.56","20.50"
"3","Anton Khudobin","DAL","1","60.35","29","26","3","0.897","2.98","-0.06","1.76","4","3","1","0.750","0.99","-0.20","10","9","1","0.900","0.99","0.28","13","12","1","0.923","0.99","-0.46","2","3","40.45","30.00"
"4","Jonathan Bernier","DET","1","59.9","19","17","2","0.895","2.00","-0.07","2","3","3","0","1.000","0.00","0.60","4","4","0","1.000","0.00","0.51","12","10","2","0.833","2.00","-1.51","1","1","32.89","34.50"
"1","Henrik Lundqvist","NYR","1","65","35","30","5","0.857","4.62","-1.45","2.65","9","6","3","0.667","2.77","-1.20","9","7","2","0.778","1.85","-0.85","14","14","0","1.000","0.00","0.58","1","4","44.06","19.40"
"6","Michael Hutchinson","TOR","1","57.333333333333","34","29","5","0.853","5.23","-1.55","3.16","12","9","3","0.750","3.14","-0.60","11","10","1","0.909","1.05","0.41","11","10","1","0.909","1.05","-0.55","0","4","26.44","14.40"
"13","Sam Montembeault","FLA","1","65","34","29","5","0.853","4.62","-1.55","2.83","10","8","2","0.800","1.85","0.00","8","6","2","0.750","1.85","-0.97","13","12","1","0.923","0.92","-0.46","0","3","35.44","17.20"
"10","Malcolm Subban","VGK","1","59.566666666667","19","16","3","0.842","3.02","-1.07","1.46","5","5","0","1.000","0.00","1.00","5","3","2","0.600","2.01","-1.36","9","8","1","0.889","1.01","-0.63","0","2","26.79","28.00"
"9","John Gibson","ANA","1","60","31","25","6","0.806","6.00","-2.86","3.09","10","7","3","0.700","3.00","-1.00","10","7","3","0.700","3.00","-1.72","11","11","0","1.000","0.00","0.45","3","4","27.87","16.50"
