"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"4","Jaroslav Halak","BOS","1","60","35","35","0","1.000","0.00","3.34","2.32","10","10","0","1.000","0.00","1.91","7","7","0","1.000","0.00","1.07","15","15","0","1.000","0.00","0.32","1","3","36.23","-"
"25","David Rittich","CGY","1","60","34","34","0","1.000","0.00","3.24","2.34","2","2","0","1.000","0.00","0.38","13","13","0","1.000","0.00","2.00","19","19","0","1.000","0.00","0.40","0","2","39.71","-"
"18","John Gibson","ANA","1","60","36","35","1","0.972","1.00","2.43","2.8","6","6","0","1.000","0.00","1.14","9","8","1","0.889","1.00","0.38","20","20","0","1.000","0.00","0.42","0","7","38.19","27.00"
"26","Alexandar Georgiev","NYR","1","60","32","31","1","0.969","1.00","2.05","2.74","9","8","1","0.889","1.00","0.72","6","6","0","1.000","0.00","0.92","15","15","0","1.000","0.00","0.32","2","7","39.97","10.00"
"13","Darcy Kuemper","ARI","1","59.2","26","25","1","0.962","1.01","1.48","1.69","6","6","0","1.000","0.00","1.14","6","5","1","0.833","1.01","-0.08","12","12","0","1.000","0.00","0.25","1","3","43.12","31.00"
"9","James Reimer","CAR","1","64.016666666667","34","32","2","0.941","1.87","1.24","3.18","9","7","2","0.778","1.87","-0.28","11","11","0","1.000","0.00","1.69","13","13","0","1.000","0.00","0.27","1","5","35.35","7.50"
"16","Philipp Grubauer","COL","1","60","31","29","2","0.935","2.00","0.96","1.96","7","6","1","0.857","1.00","0.34","8","7","1","0.875","1.00","0.23","15","15","0","1.000","0.00","0.32","2","4","39.68","38.50"
"17","Jordan Binnington","STL","1","60","30","28","2","0.933","2.00","0.86","2.53","9","9","0","1.000","0.00","1.72","8","7","1","0.875","1.00","0.23","12","11","1","0.917","1.00","-0.75","0","3","31.27","28.50"
"20","Matt Murray","PIT","1","59.916666666667","30","28","2","0.933","2.00","0.86","2.08","6","5","1","0.833","1.00","0.14","6","5","1","0.833","1.00","-0.08","16","16","0","1.000","0.00","0.34","0","5","36.40","12.50"
"10","Jacob Markstrom","VAN","1","58.633333333333","29","27","2","0.931","2.05","0.77","2.22","8","7","1","0.875","1.02","0.53","6","5","1","0.833","1.02","-0.08","12","12","0","1.000","0.00","0.25","1","3","37.90","18.00"
"3","Jimmy Howard","DET","1","59.716666666667","42","39","3","0.929","3.01","1.00","2.15","5","3","2","0.600","2.01","-1.05","9","8","1","0.889","1.00","0.38","27","27","0","1.000","0.00","0.57","1","2","42.19","13.33"
"15","Sergei Bobrovsky","FLA","1","60","35","32","3","0.914","3.00","0.34","3.96","15","13","2","0.867","2.00","0.86","6","6","0","1.000","0.00","0.92","14","13","1","0.929","1.00","-0.71","0","13","27.83","14.67"
"21","Aaron Dell","S.J","1","56.85","33","30","3","0.909","3.17","0.15","2.73","9","7","2","0.778","2.11","-0.28","13","12","1","0.923","1.06","1.00","10","10","0","1.000","0.00","0.21","1","1","33.06","13.00"
"5","Devan Dubnyk","MIN","1","58.05","31","28","3","0.903","3.10","-0.04","2.09","8","6","2","0.750","2.07","-0.47","10","9","1","0.900","1.03","0.54","13","13","0","1.000","0.00","0.27","3","3","33.74","15.67"
"8","Ben Bishop","DAL","1","57.75","30","27","3","0.900","3.12","-0.14","1.29","3","3","0","1.000","0.00","0.57","7","5","2","0.714","2.08","-0.93","18","17","1","0.944","1.04","-0.62","3","2","50.60","31.33"
"14","Carter Hutton","BUF","1","60","20","18","2","0.900","2.00","-0.09","1.97","7","7","0","1.000","0.00","1.34","4","2","2","0.500","2.00","-1.39","7","7","0","1.000","0.00","0.15","0","3","34.35","24.50"
"12","Braden Holtby","WSH","1","63.933333333333","28","25","3","0.893","2.82","-0.33","2.5","8","6","2","0.750","1.88","-0.47","8","7","1","0.875","0.94","0.23","11","11","0","1.000","0.00","0.23","2","4","34.71","14.00"
"11","Michael Hutchinson","TOR","1","64.866666666667","42","37","5","0.881","4.62","-1.00","3.83","12","8","4","0.667","3.70","-1.71","12","11","1","0.917","0.92","0.84","17","17","0","1.000","0.00","0.36","2","5","38.62","16.00"
"1","Craig Anderson","OTT","1","60","30","26","4","0.867","4.00","-1.14","1.76","4","2","2","0.500","2.00","-1.24","6","4","2","0.667","2.00","-1.08","15","15","0","1.000","0.00","0.32","1","2","53.10","17.00"
"6","Carey Price","MTL","1","65","37","32","5","0.865","4.62","-1.47","3.4","6","5","1","0.833","0.92","0.14","10","8","2","0.800","1.85","-0.46","21","19","2","0.905","1.85","-1.56","3","3","32.22","26.40"
"19","Andrei Vasilevskiy","T.B","1","58.5","28","24","4","0.857","4.10","-1.33","2.02","6","4","2","0.667","2.05","-0.86","12","10","2","0.833","2.05","-0.16","9","9","0","1.000","0.00","0.19","1","2","36.57","18.75"
"22","Juuse Saros","NSH","1","57.883333333333","27","23","4","0.852","4.15","-1.43","1.47","3","2","1","0.667","1.04","-0.43","5","3","2","0.600","2.07","-1.23","17","16","1","0.941","1.04","-0.64","0","0","42.63","27.50"
"2","Mike Smith","EDM","1","59.9","32","27","5","0.844","5.01","-1.95","2.74","11","9","2","0.818","2.00","0.10","7","6","1","0.857","1.00","0.07","12","10","2","0.833","2.00","-1.75","1","3","31.38","21.40"
"23","Elvis Merzlikins","CBJ","1","60","40","33","7","0.825","7.00","-3.19","2.79","7","6","1","0.857","1.00","0.34","18","12","6","0.667","6.00","-3.24","13","13","0","1.000","0.00","0.27","1","3","32.30","28.86"
"7","Jonathan Quick","L.A","1","58.15","31","25","6","0.806","6.19","-3.04","2.94","9","4","5","0.444","5.16","-3.28","6","5","1","0.833","1.03","-0.08","15","15","0","1.000","0.00","0.32","2","3","34.03","9.00"
"24","Mackenzie Blackwood","N.J","1","59.766666666667","36","29","7","0.806","7.03","-3.57","2.95","9","6","3","0.667","3.01","-1.28","15","11","4","0.733","4.02","-1.70","12","12","0","1.000","0.00","0.25","3","3","31.39","19.43"
