"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"6","Semyon Varlamov","NYI","1","65","33","32","1","0.970","0.92","2.37","2.14","7","7","0","1.000","0.00","1.06","16","16","0","1.000","0.00","1.92","9","8","1","0.889","0.92","-0.45","2","2","31.27","57.00"
"1","Jaroslav Halak","BOS","1","65","27","26","1","0.963","0.92","1.76","2.3","10","10","0","1.000","0.00","1.52","9","8","1","0.889","0.92","0.08","7","7","0","1.000","0.00","0.43","1","3","34.81","21.00"
"4","Anton Khudobin","DAL","1","60","22","21","1","0.955","1.00","1.25","1.17","3","3","0","1.000","0.00","0.46","6","6","0","1.000","0.00","0.72","8","7","1","0.875","1.00","-0.51","2","0","47.05","21.00"
"7","Sergei Bobrovsky","FLA","1","59.9","40","38","2","0.950","2.00","2.09","2.78","9","7","2","0.778","2.00","-0.63","11","11","0","1.000","0.00","1.32","18","18","0","1.000","0.00","1.11","0","4","41.68","16.00"
"15","Tristan Jarry","PIT","1","60","35","33","2","0.943","2.00","1.58","2.8","12","11","1","0.917","1.00","0.82","10","10","0","1.000","0.00","1.20","11","10","1","0.909","1.00","-0.32","0","5","32.51","40.00"
"14","Connor Hellebuyck","WPG","1","59.966666666667","39","36","3","0.923","3.00","0.99","3.67","20","17","3","0.850","3.00","0.04","9","9","0","1.000","0.00","1.08","9","9","0","1.000","0.00","0.55","1","3","24.13","8.33"
"2","Brian Elliott","PHI","1","44.783333333333","12","11","1","0.917","1.34","0.23","1.32","7","7","0","1.000","0.00","1.06","2","2","0","1.000","0.00","0.24","3","2","1","0.667","1.34","-0.82","1","2","23.08","33.00"
"5","Pekka Rinne","NSH","1","64.416666666667","35","32","3","0.914","2.79","0.58","2.91","8","7","1","0.875","0.93","0.22","9","7","2","0.778","1.86","-0.92","16","16","0","1.000","0.00","0.98","2","3","39.14","20.33"
"16","Alex Nedeljkovic","CAR","1","64.25","23","21","2","0.913","1.87","0.35","3.09","5","4","1","0.800","0.93","-0.24","7","7","0","1.000","0.00","0.84","10","9","1","0.900","0.93","-0.38","0","3","32.43","36.00"
"13","Joonas Korpisalo","CBJ","1","57.983333333333","32","29","3","0.906","3.10","0.27","2.53","11","10","1","0.909","1.03","0.67","8","7","1","0.875","1.03","-0.04","13","12","1","0.923","1.03","-0.20","4","3","28.94","26.67"
"10","Keith Kinkaid","NYR","1","58.416666666667","26","23","3","0.885","3.08","-0.34","1.59","6","4","2","0.667","2.05","-1.09","5","5","0","1.000","0.00","0.60","15","14","1","0.933","1.03","-0.08","1","0","36.81","24.67"
"18","Jonas Johansson","BUF","1","65","33","29","4","0.879","3.69","-0.63","3.2","12","10","2","0.833","1.85","-0.18","9","8","1","0.889","0.92","0.08","11","10","1","0.909","0.92","-0.32","0","8","31.12","25.00"
"17","Vitek Vanecek","WSH","1","61.066666666667","31","27","4","0.871","3.93","-0.83","1.81","10","9","1","0.900","0.98","0.52","6","4","2","0.667","1.97","-1.28","12","11","1","0.917","0.98","-0.26","4","1","38.81","30.25"
"12","Andrei Vasilevskiy","T.B","1","62.283333333333","23","20","3","0.870","2.89","-0.65","1.57","7","6","1","0.857","0.96","0.06","5","4","1","0.800","0.96","-0.40","11","10","1","0.909","0.96","-0.32","1","0","30.09","31.33"
"3","Thomas Greiss","DET","1","62.283333333333","29","25","4","0.862","3.85","-1.04","2.6","9","8","1","0.889","0.96","0.37","12","9","3","0.750","2.89","-1.56","8","8","0","1.000","0.00","0.49","0","2","30.31","19.75"
"11","Malcolm Subban","CHI","1","60","37","31","6","0.838","6.00","-2.22","3.48","11","8","3","0.727","3.00","-1.33","8","6","2","0.750","2.00","-1.04","14","13","1","0.929","1.00","-0.14","2","5","39.84","23.50"
"8","Scott Wedgewood","N.J","1","60.766666666667","30","25","5","0.833","4.94","-1.93","2","3","2","1","0.667","0.99","-0.54","17","13","4","0.765","3.95","-1.96","8","8","0","1.000","0.00","0.49","2","0","37.80","26.60"
"9","Frederik Andersen","TOR","1","56.55","23","19","4","0.826","4.24","-1.65","2.14","4","2","2","0.500","2.12","-1.39","8","7","1","0.875","1.06","-0.04","9","8","1","0.889","1.06","-0.45","3","3","39.57","27.00"
"19","Carter Hart","PHI","1","20","8","5","3","0.625","9.00","-2.18","0.74","4","2","2","0.500","6.00","-1.39","1","0","1","0.000","3.00","-0.88","3","3","0","1.000","0.00","0.18","0","2","25.63","15.33"
