"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"1","Philipp Grubauer","COL","1","58.983333333333","21","21","0","1.000","0.00","2.37","1.12","5","5","0","1.000","0.00","0.88","6","6","0","1.000","0.00","0.96","9","9","0","1.000","0.00","0.39","1","1","38.29","-"
"8","Vitek Vanecek","WSH","1","60","31","30","1","0.968","1.00","2.49","2.86","7","7","0","1.000","0.00","1.24","5","5","0","1.000","0.00","0.80","18","17","1","0.944","1.00","-0.22","0","4","38.16","60.00"
"4","Andrei Vasilevskiy","T.B","1","60","37","35","2","0.946","2.00","2.17","3.12","12","10","2","0.833","2.00","0.12","13","13","0","1.000","0.00","2.08","12","12","0","1.000","0.00","0.52","1","2","28.57","15.50"
"11","Carter Hart","PHI","1","59.833333333333","33","31","2","0.939","2.01","1.72","2.74","12","11","1","0.917","1.00","1.12","8","7","1","0.875","1.00","0.28","10","10","0","1.000","0.00","0.43","3","1","40.67","13.50"
"10","Casey DeSmith","PIT","1","47.75","13","12","1","0.923","1.26","0.46","1.1","7","6","1","0.857","1.26","0.24","0","0","0","-","0.00","0.00","5","5","0","1.000","0.00","0.22","0","1","34.62","9.00"
"6","Linus Ullmark","BUF","1","58.616666666667","21","19","2","0.905","2.05","0.37","0.87","3","3","0","1.000","0.00","0.53","5","3","2","0.600","2.05","-1.20","12","12","0","1.000","0.00","0.52","0","1","41.62","27.00"
"5","Matt Murray","OTT","1","59.7","23","20","3","0.870","3.02","-0.41","2.21","5","4","1","0.800","1.01","-0.12","7","6","1","0.857","1.01","0.12","11","10","1","0.909","1.01","-0.52","1","0","29.39","27.33"
"12","Collin Delia","CHI","1","60","37","32","5","0.865","5.00","-0.83","2.95","10","8","2","0.800","2.00","-0.24","17","16","1","0.941","1.00","1.72","10","8","2","0.800","2.00","-1.57","1","3","32.19","30.00"
"3","Jordan Binnington","STL","1","40","24","20","4","0.833","6.00","-1.30","1.75","7","6","1","0.857","1.50","0.24","7","4","3","0.571","4.50","-1.88","9","9","0","1.000","0.00","0.39","0","2","34.88","20.75"
"2","Frederik Andersen","TOR","1","57.333333333333","24","19","5","0.792","5.23","-2.30","2.54","11","8","3","0.727","3.14","-1.06","4","2","2","0.500","2.09","-1.36","9","9","0","1.000","0.00","0.39","0","4","29.75","19.80"
"9","Ville Husso","STL","1","19.75","14","10","4","0.714","12.15","-2.42","1.01","2","1","1","0.500","3.04","-0.65","2","0","2","0.000","6.08","-1.68","9","8","1","0.889","3.04","-0.61","1","1","48.64","31.25"
"7","Tristan Jarry","PIT","1","11.5","6","3","3","0.500","15.65","-2.32","0.83","4","1","3","0.250","15.65","-2.29","1","1","0","1.000","0.00","0.16","1","1","0","1.000","0.00","0.04","0","2","26.33","15.67"
