"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"4","Pekka Rinne","NSH","1","59.916666666667","20","20","0","1.000","0.00","1.82","1.12","3","3","0","1.000","0.00","0.44","6","6","0","1.000","0.00","0.68","10","10","0","1.000","0.00","0.50","2","2","37.70","-"
"1","Jimmy Howard","DET","1","60","32","31","1","0.969","1.00","1.91","2.72","9","9","0","1.000","0.00","1.33","9","8","1","0.889","1.00","0.02","14","14","0","1.000","0.00","0.70","0","2","27.88","27.00"
"17","Matt Murray","PIT","1","59.95","30","29","1","0.967","1.00","1.73","2.14","9","9","0","1.000","0.00","1.33","9","8","1","0.889","1.00","0.02","11","11","0","1.000","0.00","0.55","2","2","32.37","26.00"
"21","Alexandar Georgiev","NYR","1","60","30","29","1","0.967","1.00","1.73","2.3","6","5","1","0.833","1.00","-0.11","11","11","0","1.000","0.00","1.24","12","12","0","1.000","0.00","0.60","4","0","36.40","11.00"
"12","Petr Mrazek","CAR","1","59.7","29","28","1","0.966","1.01","1.64","2.82","10","10","0","1.000","0.00","1.48","8","7","1","0.875","1.01","-0.10","6","6","0","1.000","0.00","0.30","0","4","34.93","32.00"
"5","Tuukka Rask","BOS","1","59.983333333333","17","16","1","0.941","1.00","0.55","1.58","3","3","0","1.000","0.00","0.44","9","9","0","1.000","0.00","1.02","4","3","1","0.750","1.00","-0.80","1","2","37.76","45.00"
"11","Robin Lehner","CHI","1","59.883333333333","51","48","3","0.941","3.01","1.64","4.3","13","10","3","0.769","3.01","-1.07","16","16","0","1.000","0.00","1.81","22","22","0","1.000","0.00","1.10","5","7","29.67","11.67"
"20","David Rittich","CGY","1","58.633333333333","28","26","2","0.929","2.05","0.55","2.49","4","4","0","1.000","0.00","0.59","8","7","1","0.875","1.02","-0.10","16","15","1","0.938","1.02","-0.20","0","3","36.57","19.50"
"10","Mikko Koskinen","EDM","1","58.6","27","25","2","0.926","2.05","0.46","2.22","9","8","1","0.889","1.02","0.33","6","6","0","1.000","0.00","0.68","7","6","1","0.857","1.02","-0.65","5","2","50.07","29.50"
"16","Andrei Vasilevskiy","T.B","1","58.916666666667","40","37","3","0.925","3.06","0.64","3.42","9","7","2","0.778","2.04","-0.67","11","10","1","0.909","1.02","0.24","19","19","0","1.000","0.00","0.95","2","4","36.33","18.67"
"3","Anton Khudobin","DAL","1","40","12","11","1","0.917","1.50","0.09","0.88","1","1","0","1.000","0.00","0.15","5","5","0","1.000","0.00","0.56","5","4","1","0.800","1.50","-0.75","1","3","37.42","51.00"
"8","Braden Holtby","WSH","1","63.983333333333","31","28","3","0.903","2.81","-0.18","3.21","6","6","0","1.000","0.00","0.89","14","11","3","0.786","2.81","-1.42","9","9","0","1.000","0.00","0.45","0","6","42.00","22.00"
"15","John Gibson","ANA","1","60","40","36","4","0.900","4.00","-0.36","3.1","8","6","2","0.750","2.00","-0.81","13","11","2","0.846","2.00","-0.53","17","17","0","1.000","0.00","0.85","5","3","37.10","21.00"
"19","Carter Hart","PHI","1","18.7","9","8","1","0.889","3.21","-0.18","0.41","2","2","0","1.000","0.00","0.30","2","1","1","0.500","3.21","-0.77","4","4","0","1.000","0.00","0.20","0","0","38.22","24.00"
"13","Frederik Andersen","TOR","1","64","33","29","4","0.879","3.75","-0.99","3.17","5","3","2","0.600","1.88","-1.26","12","12","0","1.000","0.00","1.35","15","13","2","0.867","1.88","-1.25","1","5","40.82","33.50"
"9","Martin Jones","S.J","1","59.983333333333","41","36","5","0.878","5.00","-1.27","3.73","13","11","2","0.846","2.00","-0.07","17","15","2","0.882","2.00","-0.08","10","9","1","0.900","1.00","-0.50","2","5","29.83","25.80"
"14","Laurent Brossoit","WPG","1","28.35","8","7","1","0.875","2.12","-0.27","0.86","4","3","1","0.750","2.12","-0.41","0","0","0","-","0.00","0.00","3","3","0","1.000","0.00","0.15","1","0","33.75","16.00"
"7","Alex Stalock","MIN","1","59.233333333333","36","31","5","0.861","5.06","-1.72","3.03","6","4","2","0.667","2.03","-1.11","11","10","1","0.909","1.01","0.24","16","14","2","0.875","2.03","-1.20","0","8","36.28","14.80"
"6","Ben Bishop","DAL","1","19.483333333333","10","8","2","0.800","6.16","-1.09","1.08","3","2","1","0.667","3.08","-0.56","3","2","1","0.667","3.08","-0.66","4","4","0","1.000","0.00","0.20","0","1","27.70","14.50"
"2","Brian Elliott","PHI","1","40","28","22","6","0.786","9.00","-3.45","2.26","9","7","2","0.778","3.00","-0.67","9","7","2","0.778","3.00","-0.98","8","6","2","0.750","3.00","-1.60","1","1","35.29","25.33"
"18","Connor Hellebuyck","WPG","1","29.166666666667","19","14","5","0.737","10.29","-3.27","1.8","3","2","1","0.667","2.06","-0.56","7","3","4","0.429","8.23","-3.21","9","9","0","1.000","0.00","0.45","0","4","34.84","26.80"
