"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"21","Evgeni Malkin","PIT","C","1","3.55","0","2","0","2","2","100.00","2","0.00","0.12","4","2","3","0","0","1","0","0","0","0","0","0","0","0","0","1","0","3","1","75.00"
"186","Jake Guentzel","PIT","C","1","3.55","1","1","1","0","2","100.00","1","100.00","0.1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"288","Cody Glass","VGK","C","1","0.71666666666667","1","1","1","0","2","100.00","1","100.00","0.36","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"5","Jason Spezza","TOR","C","1","0.85","0","1","1","0","1","100.00","0","-","0.02","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"11","Ryan Suter","MIN","D","1","6.75","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"13","Zach Parise","MIN","L","1","6.5166666666667","1","0","0","0","1","100.00","2","50.00","0.42","3","3","3","3","0","0","2","1","1","0","0","0","0","0","0","0","0","1","0","100.00"
"16","Corey Perry","DAL","R","1","2.2833333333333","0","1","1","0","1","100.00","1","0.00","0.12","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"30","James Neal","EDM","L","1","2.9833333333333","1","0","0","0","1","100.00","1","100.00","0.18","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"32","Brad Marchand","BOS","C","1","1.1833333333333","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"42","Jamie Benn","DAL","L","1","2.2","1","0","0","0","1","100.00","1","100.00","0.24","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","50.00"
"53","Max Pacioretty","VGK","L","1","0.85","0","1","1","0","1","50.00","1","0.00","0.09","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"87","Tyson Barrie","TOR","D","1","1.4833333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"100","Charlie Coyle","BOS","C","1","1.0833333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","100.00"
"106","Zach Hyman","TOR","C","1","0.85","1","0","0","0","1","100.00","1","100.00","0.34","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"114","Bryan Rust","PIT","R","1","3.4833333333333","1","0","0","0","1","50.00","2","50.00","0.17","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"117","Mark Stone","VGK","R","1","0.85","1","0","0","0","1","50.00","1","100.00","0.05","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"130","Boone Jenner","CBJ","C","1","0.93333333333333","1","0","0","0","1","100.00","1","100.00","0.11","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"146","Oscar Klefbom","EDM","D","1","2.9833333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"153","Alex Galchenyuk","PIT","C","1","3.4833333333333","0","1","1","0","1","50.00","0","-","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"180","Nate Schmidt","VGK","D","1","0.26666666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"188","Oliver Bjorkstrand","CBJ","R","1","0.93333333333333","0","1","1","0","1","100.00","1","0.00","0.05","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"192","Shea Theodore","VGK","D","1","1.6","0","1","0","1","1","100.00","1","0.00","0.04","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"221","Kevin Fiala","MIN","L","1","4.9666666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"228","David Pastrnak","BOS","R","1","1.1833333333333","1","0","0","0","1","100.00","1","100.00","0.07","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"247","Connor McDavid","EDM","C","1","2.9833333333333","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"259","Zach Werenski","CBJ","D","1","1.0333333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"297","Miro Heiskanen","DAL","D","1","2.4","0","1","0","1","1","100.00","0","-","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"1","Zdeno Chara","BOS","D","1","0.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"2","Joe Thornton","S.J","C","1","0.73333333333333","0","0","0","0","0","-","1","0.00","0.08","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
