"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"120","Carter Verhaeghe","FLA","C","1","1.5833333333333","1.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"121","Oliver Bjorkstrand","CBJ","R","1","1.4333333333333","1.4333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"122","Miles Wood","N.J","L","1","3.45","3.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"123","Andrew Copp","WPG","C","1","2.0666666666667","2.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.06","29.03","1935.48"
"124","Adam Erne","DET","L","1","3.8166666666667","3.8166666666667","0","15.72","15.72","0","15.72","100.00","15.72","0.00","1.87","15.72","15.72","15.72","0","0","15.72","0","0","0","0","0","0","0","0","0","0","0","15.72","31.44","524.02"
"125","Aleksander Barkov","FLA","C","1","4.35","4.35","0","27.59","27.59","0","27.59","100.00","13.79","0.00","0.81","13.79","13.79","13.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.59","41.38","551.72"
"126","Jonathan Drouin","MTL","L","1","1.2666666666667","1.2666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"127","Seth Jones","CBJ","D","1","1.9666666666667","1.9666666666667","0","0","0","0","0","-","30.51","0.00","1.55","30.51","30.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"128","Elias Lindholm","CGY","C","1","1.3666666666667","1.3666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"129","Sean Monahan","CGY","C","1","1.35","1.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.44","0.00"
"130","Bo Horvat","VAN","C","1","1.0333333333333","1.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.06","58.06","2903.23"
"131","Max Domi","CBJ","C","1","1.4333333333333","1.4333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"132","Josh Morrissey","WPG","D","1","1.5666666666667","1.5666666666667","0","0","0","0","0","-","0","-","0","38.3","0","38.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"133","Alex Wennberg","FLA","C","1","1.5833333333333","1.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.89","0","3789.47"
"134","Ryan Pulock","NYI","D","1","1.7166666666667","1.7166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"135","Anthony Mantha","DET","R","1","3.9833333333333","3.9833333333333","0","0","0","0","0","-","45.19","0.00","2.24","45.19","45.19","15.06","0","0","15.06","0","0","0","0","0","0","15.06","0","0","0","0","0","0","-"
"136","Ryan Carpenter","CHI","C","1","1.8666666666667","1.8666666666667","0","0","0","0","0","-","32.14","0.00","1.95","32.14","32.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.14","32.14","1607.14"
"137","Aaron Ekblad","FLA","D","1","5.0333333333333","5.0333333333333","23.84","0","0","0","23.84","100.00","35.76","66.67","3.72","59.6","47.68","35.76","11.92","0","11.92","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"138","Jake Virtanen","VAN","R","1","0.2","0.2","300","0","0","0","300","100.00","300","100.00","32.5","300","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
