"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"16","T.J. Oshie","WSH","R","1","3.4833333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"37","Tyler Ennis","OTT","R","1","1.1","1","0","0","0","1","100.00","1","100.00","0.28","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"82","Hampus Lindholm","ANA","D","1","1.4","0","1","0","1","1","100.00","1","0.00","0.02","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"84","Tom Wilson","WSH","R","1","3.4833333333333","1","0","0","0","1","100.00","2","50.00","0.35","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"92","Damon Severson","N.J","D","1","3.3","1","0","0","0","1","100.00","3","33.33","0.14","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"95","Nikita Gusev","N.J","L","1","3.1666666666667","0","1","0","1","1","100.00","0","-","0.31","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"109","Nick Ritchie","ANA","L","1","1.4","1","0","0","0","1","100.00","1","100.00","0.1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"110","Jakub Vrana","WSH","L","1","3.4833333333333","0","1","1","0","1","100.00","1","0.00","0.14","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"126","Sam Steel","ANA","C","1","1.4","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"128","Jesper Bratt","N.J","L","1","2.6666666666667","0","1","1","0","1","100.00","2","0.00","0.05","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"140","Drake Batherson","OTT","R","1","1.3666666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"142","Brady Tkachuk","OTT","L","1","1.3666666666667","0","1","1","0","1","100.00","0","-","0.13","1","1","1","1","0","1","5","1","0","1","0","0","0","0","0","0","0","0","0","-"
"1","Joe Thornton","S.J","C","1","1.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"2","Patrick Marleau","S.J","L","1","0.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"3","Ilya Kovalchuk","MTL","L","1","2.95","0","0","0","0","0","-","1","0.00","0.1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"4","Jason Spezza","TOR","C","1","0.78333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"5","Jay Bouwmeester","STL","D","1","1.2833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"6","Alexander Steen","STL","L","1","2.0666666666667","0","0","0","0","0","-","2","0.00","0.47","2","2","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"7","Ryan Getzlaf","ANA","C","1","0.93333333333333","0","0","0","0","0","-","1","0.00","0.03","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"8","Brent Burns","S.J","D","1","0.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
