"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"88","Mark Stone","VGK","R","1","4.2","0","3","2","1","3","100.00","1","0.00","0.09","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"40","Max Pacioretty","VGK","L","1","4.2","1","1","1","0","2","66.67","3","33.33","0.2","5","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"50","John Carlson","WSH","D","1","7.4833333333333","0","2","1","1","2","100.00","1","0.00","0.03","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"109","Jonathan Marchessault","VGK","C","1","4.2","2","0","0","0","2","66.67","4","50.00","0.55","5","4","3","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0.00"
"136","Shea Theodore","VGK","D","1","3.4666666666667","0","2","0","2","2","100.00","1","0.00","0.05","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"29","Nicklas Backstrom","WSH","C","1","7.0833333333333","1","0","0","0","1","100.00","2","50.00","0.42","2","2","2","2","0","1","0","0","0","0","0","0","0","0","1","0","0","5","2","71.43"
"33","Justin Braun","PHI","D","1","0.46666666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"43","Lars Eller","WSH","C","1","2.55","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100.00"
"44","Wayne Simmonds","N.J","R","1","5.5166666666667","1","0","0","0","1","100.00","3","33.33","0.64","3","3","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
"61","Kyle Palmieri","N.J","R","1","4.9833333333333","0","1","1","0","1","100.00","1","0.00","0.04","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"67","Oliver Ekman-Larsson","ARI","D","1","1.1333333333333","1","0","0","0","1","100.00","1","100.00","0.09","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"71","Tyson Barrie","TOR","D","1","1.45","0","1","0","1","1","100.00","1","0.00","0.06","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"82","Taylor Hall","ARI","L","1","1.1333333333333","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"84","Tyler Seguin","DAL","C","1","2.0166666666667","1","0","0","0","1","100.00","1","100.00","0.11","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"97","William Karlsson","VGK","C","1","1.4666666666667","0","1","1","0","1","100.00","1","0.00","0.28","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"114","Tom Wilson","WSH","R","1","1.5833333333333","1","0","0","0","1","100.00","1","100.00","0.15","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"121","Damon Severson","N.J","D","1","6.0166666666667","0","1","0","1","1","100.00","1","0.00","0.03","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"123","Andreas Athanasiou","DET","L","1","3.5666666666667","1","0","0","0","1","100.00","1","100.00","0.09","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"126","Nate Schmidt","VGK","D","1","1.1333333333333","1","0","0","0","1","100.00","1","100.00","0.1","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"128","Michael Raffl","PHI","L","1","0.46666666666667","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"130","Mattias Janmark","DAL","C","1","2.3","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"135","Andre Burakovsky","COL","L","1","4.1333333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"140","Robert Hagg","PHI","D","1","0.46666666666667","1","0","0","0","1","100.00","1","100.00","0.17","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"143","Nathan MacKinnon","COL","C","1","5.0166666666667","0","1","1","0","1","100.00","3","0.00","0.16","4","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0.00"
"151","Anthony Mantha","DET","R","1","3.5666666666667","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"155","William Nylander","TOR","R","1","1.4166666666667","0","1","1","0","1","100.00","1","0.00","0.22","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"158","Jakub Vrana","WSH","L","1","6.1166666666667","0","1","1","0","1","100.00","3","0.00","0.39","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"162","Alex Tuch","VGK","R","1","1.4666666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"164","Nick Schmaltz","ARI","C","1","1.1333333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"170","Victor Olofsson","BUF","L","1","1.1666666666667","1","0","0","0","1","100.00","1","100.00","0.07","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"177","Jack Eichel","BUF","C","1","1.1666666666667","0","1","1","0","1","100.00","2","0.00","0.16","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","100.00"
"179","Mikko Rantanen","COL","R","1","5.0166666666667","1","0","0","0","1","100.00","1","100.00","0.05","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"203","Auston Matthews","TOR","C","1","1.4333333333333","1","0","0","0","1","100.00","1","100.00","0.21","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"215","Filip Hronek","DET","D","1","4.2","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"219","Jason Robertson","DAL","L","1","2.2","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"227","Rasmus Dahlin","BUF","D","1","1.1666666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"1","Ron Hainsey","OTT","D","1","1.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"2","Jason Spezza","TOR","C","1","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"3","Valtteri Filppula","DET","C","1","3.5166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"4","Trevor Daley","DET","D","1","2.8833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"5","Alexander Steen","STL","L","1","0.96666666666667","0","0","0","0","0","-","0","-","0.13","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"6","Eric Staal","MIN","C","1","2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.00"
"7","Ryan Suter","MIN","D","1","2.1166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"8","Braydon Coburn","T.B","D","1","0.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"9","Zach Parise","MIN","L","1","2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"10","Ryan Getzlaf","ANA","C","1","2.9","0","0","0","0","0","-","1","0.00","0.08","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","100.00"
"11","Corey Perry","DAL","R","1","2.3333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"12","Alex Ovechkin","WSH","L","1","8.6666666666667","0","0","0","0","0","0.00","2","0.00","0.08","3","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"13","Mike Green","DET","D","1","3.5166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","-"
"14","Blake Comeau","DAL","L","1","0.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"15","Carl Soderberg","ARI","C","1","0.73333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"16","Alex Goligoski","ARI","D","1","1.0166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"17","Roman Polak","DAL","D","1","0.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"18","Paul Stastny","VGK","C","1","4.2","0","0","0","0","0","0.00","2","0.00","0.29","3","2","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","5","1","83.33"
"19","T.J. Oshie","WSH","R","1","7.0833333333333","0","0","0","0","0","0.00","1","0.00","0.21","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.00"
"20","Andrew Cogliano","DAL","C","1","0.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"21","Matt Niskanen","PHI","D","1","1.6333333333333","0","0","0","0","0","-","1","0.00","0.15","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"22","Keith Yandle","FLA","D","1","1.4","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"23","Nick Foligno","CBJ","L","1","0.98333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","100.00"
"24","Erik Johnson","COL","D","1","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"25","Milan Lucic","CGY","L","1","2.6333333333333","0","0","0","0","0","-","1","0.00","0.23","2","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"26","Claude Giroux","PHI","C","1","2.25","0","0","0","0","0","-","0","-","0.08","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","100.00"
"27","Derick Brassard","NYI","C","1","1.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"28","Phil Kessel","ARI","R","1","0.73333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"30","Artem Anisimov","OTT","C","1","1.6666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"31","Alex Killorn","T.B","L","1","0.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"32","Jamie Benn","DAL","L","1","2.1666666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","33.33"
"34","James van Riemsdyk","PHI","L","1","1.75","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"35","Sam Gagner","EDM","C","1","2.5333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"36","P.K. Subban","N.J","D","1","2.75","0","0","0","0","0","-","1","0.00","0.13","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"37","David Perron","STL","L","1","2.2333333333333","0","0","0","0","0","-","1","0.00","0.05","1","1","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","-"
"38","Evgenii Dadonov","FLA","R","1","1.2166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"39","Mikael Backlund","CGY","C","1","1.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","100.00"
"41","Jakub Voracek","PHI","R","1","2.3166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"42","Jake Muzzin","TOR","D","1","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"45","Alex Pietrangelo","STL","D","1","2.4","0","0","0","0","0","-","0","-","0.03","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"46","Luke Schenn","T.B","D","1","0.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"47","Josh Bailey","NYI","R","1","1.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"48","Jordan Eberle","NYI","R","1","2.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"49","Tyler Ennis","OTT","R","1","2.15","0","0","0","0","0","-","1","0.00","0.1","2","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"51","Derek Stepan","ARI","C","1","0.28333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"52","Michael Stone","CGY","D","1","0.13333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"53","Adam Henrique","ANA","C","1","4.7166666666667","0","0","0","0","0","-","1","0.00","0.18","2","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","33.33"
"54","TJ Brodie","CGY","D","1","0.13333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"55","Gustav Nyquist","CBJ","C","1","1.0166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"56","Derek Grant","ANA","C","1","2.9833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"57","Jared Spurgeon","MIN","D","1","2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"58","Tyler Johnson","T.B","C","1","0.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"59","Mike Hoffman","FLA","L","1","1.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"60","Tyler Bozak","STL","C","1","1.9166666666667","0","0","0","0","0","-","1","0.00","0.12","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"62","Ryan O'Reilly","STL","C","1","2.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","25.00"
"63","Alex Chiasson","EDM","R","1","2.4666666666667","0","0","0","0","0","-","0","-","0.12","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"64","Jakob Silfverberg","ANA","R","1","4.6666666666667","0","0","0","0","0","-","1","0.00","0.31","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"65","John Tavares","TOR","C","1","1.4333333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","50.00"
"66","Brayden Schenn","STL","C","1","1.85","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"68","Zack Kassian","EDM","R","1","1.2666666666667","0","0","0","0","0","-","1","0.00","0.1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"69","Chris Kreider","NYR","L","1","1.3","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"70","Reilly Smith","VGK","R","1","1.4666666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"72","Dmitry Orlov","WSH","D","1","1.1833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
