"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"44","Steven Kampfer","BOS","D","1","1.8833333333333","0","2","1","1","2","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"62","Tyler Myers","VAN","D","1","2.7","1","1","1","0","2","100.00","1","100.00","0.08","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"86","Sami Vatanen","N.J","D","1","3.2333333333333","0","2","2","0","2","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","-"
"169","Jake Virtanen","VAN","R","1","3.0166666666667","1","1","1","0","2","100.00","2","50.00","0.19","4","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"211","Jake DeBrusk","BOS","L","1","2.6833333333333","2","0","0","0","2","100.00","2","100.00","0.2","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"6","Duncan Keith","CHI","D","1","3.4833333333333","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"26","David Krejci","BOS","C","1","1.8666666666667","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"36","Jeff Petry","MTL","D","1","2","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"59","Steven Stamkos","T.B","C","1","5.7333333333333","0","1","0","1","1","100.00","3","0.00","0.25","5","4","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","4","1","80.00"
"80","Victor Hedman","T.B","D","1","5.7333333333333","0","1","1","0","1","100.00","2","0.00","0.09","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"85","Tomas Tatar","MTL","L","1","1.8666666666667","1","0","0","0","1","100.00","2","50.00","0.12","2","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"89","Jordan Weal","MTL","C","1","1.0833333333333","0","1","1","0","1","100.00","0","-","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"129","Tanner Pearson","VAN","L","1","2.95","0","1","0","1","1","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"139","Damon Severson","N.J","D","1","2.5333333333333","0","1","0","1","1","100.00","2","0.00","0.36","3","2","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"143","Erik Gustafsson","CHI","D","1","4.45","1","0","0","0","1","100.00","3","33.33","0.17","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"145","Nikita Gusev","N.J","L","1","3.5666666666667","1","0","0","0","1","100.00","2","50.00","0.24","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"147","Dominik Kubalik","CHI","L","1","2.9166666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"161","Max Domi","MTL","C","1","1.2166666666667","0","1","0","1","1","100.00","1","0.00","0.04","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"177","David Pastrnak","BOS","R","1","7.7166666666667","0","1","0","1","1","100.00","2","0.00","0.27","3","3","2","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","-"
"180","Brayden Point","T.B","C","1","5.45","1","0","0","0","1","100.00","4","25.00","0.45","4","4","4","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"194","Vince Dunn","STL","D","1","0.88333333333333","0","1","1","0","1","100.00","0","-","0.01","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"220","Adam Gaudette","VAN","C","1","2.95","0","1","0","1","1","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","50.00"
