"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"19","John Carlson","WSH","D","1","16.55","0","2","1","1","2","100.00","0","-","0.04","2","1","1","0","0","0","0","0","0","0","0","0","0","1","2","0","2","0","0","-"
"3","Ryan Getzlaf","ANA","C","1","12.416666666667","0","1","0","1","1","100.00","3","0.00","0.16","5","3","3","2","0","0","0","0","0","0","0","0","1","0","1","0","0","9","4","69.23"
"13","Nicklas Backstrom","WSH","C","1","12.683333333333","0","1","0","1","1","100.00","2","0.00","0.38","3","3","3","2","0","1","0","0","0","0","0","0","0","1","1","2","1","8","6","57.14"
"15","Lars Eller","WSH","C","1","11.483333333333","0","1","0","1","1","100.00","4","0.00","0.28","6","6","4","2","1","0","0","0","0","0","0","0","2","0","0","0","0","6","3","66.67"
"28","Richard Panik","WSH","R","1","9.7833333333333","1","0","0","0","1","100.00","1","100.00","0.12","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"29","Nicolas Deslauriers","ANA","L","1","11.65","1","0","0","0","1","100.00","2","50.00","0.1","3","2","2","1","0","0","0","0","0","0","0","0","0","0","4","2","1","0","0","-"
"36","Travis Boyd","WSH","C","1","14.116666666667","0","1","1","0","1","100.00","1","0.00","0.06","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","100.00"
"37","Rickard Rakell","ANA","R","1","12.316666666667","0","1","1","0","1","100.00","3","0.00","0.05","4","3","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","-"
"38","Tom Wilson","WSH","R","1","11.783333333333","1","0","0","0","1","100.00","4","25.00","0.69","4","4","2","2","0","1","0","0","0","0","0","0","1","0","5","0","1","0","0","-"
"40","Chandler Stephenson","WSH","C","1","10.7","1","0","0","0","1","100.00","1","100.00","0.11","2","2","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","5","37.50"
"48","Garnet Hathaway","WSH","R","1","9.15","0","1","1","0","1","100.00","0","-","0.11","2","2","2","0","0","0","10","1","0","0","1","0","0","1","3","0","0","0","0","-"
"50","Jakub Vrana","WSH","L","1","11.833333333333","1","0","0","0","1","100.00","3","33.33","0.67","4","4","4","4","1","1","0","0","0","0","0","1","0","0","1","4","0","0","0","-"
"51","Nick Schmaltz","ARI","C","1","12.9","0","1","0","1","1","100.00","0","-","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","2","1","1","50.00"
