"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"43","Pavel Buchnevich","NYR","L","1","14.35","1","1","1","0","2","100.00","1","100.00","0.19","4","2","3","2","0","1","0","0","0","0","0","0","2","1","1","1","2","0","0","-"
"9","Tyler Ennis","OTT","C","1","12.316666666667","0","1","1","0","1","100.00","3","0.00","0.23","4","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"12","Mark Borowiecki","OTT","D","1","18.45","0","1","0","1","1","100.00","0","-","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","3","0","0","-"
"13","Chris Kreider","NYR","C","1","14.8","0","1","0","1","1","100.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","1","0","2","1","1","1","1","50.00"
"29","Jean-Gabriel Pageau","OTT","C","1","17.95","1","0","0","0","1","100.00","3","33.33","0.14","4","4","1","1","0","0","0","0","0","0","0","0","0","0","5","5","0","7","4","63.64"
"39","Chris Tierney","OTT","C","1","16.283333333333","0","1","1","0","1","100.00","1","0.00","0.1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","9","4","69.23"
"50","Brendan Lemieux","NYR","L","1","12.2","0","1","0","1","1","100.00","3","0.00","0.24","3","3","2","2","0","0","7","2","1","1","0","0","0","0","3","1","1","2","1","66.67"
"59","Brett Howden","NYR","C","1","13.583333333333","1","0","0","0","1","100.00","2","50.00","0.32","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","4","1","5","6","45.45"
"64","Nikita Zaitsev","OTT","D","1","19.55","0","1","0","1","1","50.00","0","-","0","3","0","0","0","0","0","2","1","1","0","0","0","0","1","0","2","2","0","0","-"
"68","Filip Chytil","NYR","C","1","14.85","0","1","1","0","1","100.00","5","0.00","0.4","6","6","4","3","1","0","0","0","0","0","0","0","0","1","0","1","0","5","3","62.50"
"70","Brady Tkachuk","OTT","L","1","15.8","1","0","0","0","1","100.00","2","50.00","0.14","3","3","2","1","0","0","0","0","0","0","0","0","1","1","5","3","1","1","1","50.00"
"1","Ron Hainsey","OTT","D","1","14.133333333333","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"2","Shea Weber","MTL","D","1","22.283333333333","0","0","0","0","0","-","3","0.00","0.07","7","6","1","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","-"
"3","Nate Thompson","MTL","C","1","8.55","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","8","2","80.00"
"4","Alex Ovechkin","WSH","L","1","15.816666666667","0","0","0","0","0","-","1","0.00","0.21","6","4","2","1","0","0","2","1","1","0","0","0","0","0","5","2","0","0","0","-"
"5","T.J. Oshie","WSH","R","1","13.716666666667","0","0","0","0","0","-","1","0.00","0.1","4","4","2","0","1","0","0","0","0","0","0","1","0","2","0","5","1","1","0","100.00"
"6","Jeff Petry","MTL","D","1","20.216666666667","0","0","0","0","0","-","2","0.00","0.13","8","5","1","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","-"
"7","Brendan Smith","NYR","D","1","9.3333333333333","0","0","0","0","0","-","0","-","0.06","1","1","1","1","0","0","2","1","1","0","0","0","0","1","2","0","0","0","0","-"
"8","Lars Eller","WSH","C","1","13.216666666667","0","0","0","0","0","-","1","0.00","0.02","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","2","6","25.00"
"10","John Carlson","WSH","D","1","20.1","0","0","0","0","0","-","3","0.00","0.08","5","4","1","0","1","0","0","0","0","0","0","0","0","1","1","2","2","0","0","-"
"11","Cody Goloubef","OTT","D","1","14.2","0","0","0","0","0","-","0","-","0.02","2","2","0","0","0","0","0","0","0","0","0","0","3","1","3","0","1","0","0","-"
"14","Tomas Tatar","MTL","L","1","14.716666666667","0","0","0","0","0","-","3","0.00","0.38","6","4","3","2","0","2","0","0","0","0","0","0","1","2","1","1","1","1","1","50.00"
"15","Dmitry Orlov","WSH","D","1","20.116666666667","0","0","0","0","0","-","4","0.00","0.17","5","4","3","1","1","0","2","1","1","0","0","0","1","1","1","0","1","0","0","-"
"16","Richard Panik","WSH","R","1","10.866666666667","0","0","0","0","0","-","1","0.00","0.02","1","1","1","0","1","0","0","0","0","0","0","1","1","0","1","1","0","0","0","-"
"17","Ben Chiarot","MTL","D","1","22.666666666667","0","0","0","0","0","-","3","0.00","0.09","4","4","0","0","0","0","0","0","0","0","0","0","2","1","3","4","4","0","0","-"
"18","Nick Jensen","WSH","D","1","15.3","0","0","0","0","0","-","1","0.00","0.01","2","1","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","-"
"19","Radko Gudas","WSH","D","1","13.983333333333","0","0","0","0","0","-","1","0.00","0.02","2","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","-"
"20","Greg McKegg","NYR","C","1","7.2666666666667","0","0","0","0","0","-","2","0.00","0.32","2","2","1","1","0","1","2","1","1","0","0","0","0","0","1","0","0","1","3","25.00"
"21","Jordan Weal","MTL","C","1","13.433333333333","0","0","0","0","0","-","1","0.00","0.15","3","2","3","1","0","0","0","0","0","0","0","0","0","3","0","0","0","1","1","50.00"
"22","Evgeny Kuznetsov","WSH","C","1","15.333333333333","0","0","0","0","0","-","1","0.00","0.03","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","6","57.14"
"23","Brendan Gallagher","MTL","R","1","15.666666666667","0","0","0","0","0","-","2","0.00","0.18","5","4","2","2","1","0","0","0","0","0","0","0","0","2","1","0","1","0","1","0.00"
"24","Jesper Fast","NYR","R","1","14.416666666667","0","0","0","0","0","-","1","0.00","0.11","2","2","1","1","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","-"
"25","Michael Sgarbossa","WSH","C","1","8.2","0","0","0","0","0","-","0","-","0.08","1","1","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","2","3","40.00"
"26","Travis Boyd","WSH","C","1","11.116666666667","0","0","0","0","0","-","2","0.00","0.12","2","2","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","2","50.00"
"27","Dylan DeMelo","OTT","D","1","18.616666666667","0","0","0","0","0","-","2","0.00","0.05","3","2","1","0","0","0","0","0","0","0","0","0","1","0","1","6","1","0","0","-"
"28","Nick Cousins","MTL","C","1","8.2166666666667","0","0","0","0","0","-","2","0.00","0.38","3","3","3","2","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","-"
"30","Ryan Strome","NYR","C","1","14.266666666667","0","0","0","0","0","-","1","0.00","0.05","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","4","6","40.00"
"31","Joel Armia","MTL","R","1","15.166666666667","0","0","0","0","0","-","2","0.00","0.21","5","3","3","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-"
"32","Phillip Danault","MTL","L","1","14.1","0","0","0","0","0","-","0","-","0.03","1","1","0","0","0","0","0","0","0","0","0","0","3","0","2","2","0","3","6","33.33"
"33","Vladislav Namestnikov","OTT","C","1","1.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","-"
"34","Brady Skjei","NYR","D","1","18.666666666667","0","0","0","0","0","0.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","1","0","3","2","0","0","0","-"
"35","Tom Wilson","WSH","R","1","15.266666666667","0","0","0","0","0","-","1","0.00","0.1","2","2","1","1","0","0","2","1","1","0","0","2","1","1","8","1","0","0","0","-"
"36","Jacob Trouba","NYR","D","1","17.85","0","0","0","0","0","0.00","2","0.00","0.06","2","2","0","0","0","0","0","0","0","0","0","0","2","0","4","4","1","0","0","-"
"37","Brendan Leipsic","WSH","L","1","10.733333333333","0","0","0","0","0","-","0","-","0.35","4","3","3","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","0","100.00"
"38","Chandler Stephenson","WSH","C","1","11.25","0","0","0","0","0","-","0","-","0.03","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","2","0","5","1","83.33"
"40","Charles Hudon","MTL","L","1","9.15","0","0","0","0","0","-","3","0.00","0.14","4","4","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0.00"
"41","Brett Kulak","MTL","D","1","11.233333333333","0","0","0","0","0","-","0","-","0","2","0","0","0","0","0","2","1","1","0","0","0","0","0","1","2","0","0","0","-"
"42","Connor Brown","OTT","R","1","17.2","0","0","0","0","0","-","2","0.00","0.05","3","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","-"
"44","Anthony Duclair","OTT","L","1","15.1","0","0","0","0","0","-","4","0.00","0.3","6","4","5","3","1","0","0","0","0","0","0","0","0","1","1","1","2","0","0","-"
"45","Nick Paul","OTT","L","1","17.75","0","0","0","0","0","-","1","0.00","0.21","3","3","2","2","0","0","0","0","0","0","0","0","1","2","2","1","1","3","5","37.50"
"46","Artturi Lehkonen","MTL","L","1","12.783333333333","0","0","0","0","0","-","2","0.00","0.26","5","4","4","3","0","1","0","0","0","0","0","0","0","0","5","4","0","0","0","-"
"47","Max Domi","MTL","C","1","15.7","0","0","0","0","0","-","4","0.00","0.24","5","5","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","3","3","50.00"
"48","Jakub Vrana","WSH","L","1","15.883333333333","0","0","0","0","0","-","1","0.00","0.13","4","2","3","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"49","Tony DeAngelo","NYR","D","1","18.566666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","-"
"51","Jonas Siegenthaler","WSH","D","1","12.616666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","-"
"52","Colin White","OTT","C","1","13.766666666667","0","0","0","0","0","0.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","1","4","20.00"
"53","Thomas Chabot","OTT","D","1","20.516666666667","0","0","0","0","0","-","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","2","0","1","2","0","0","0","-"
"54","Filip Chlapik","OTT","C","1","12.283333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","1","0","100.00"
"55","Artemi Panarin","NYR","C","1","14.833333333333","0","0","0","0","0","-","0","-","0.05","2","1","1","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","-"
"56","Adam Fox","NYR","D","1","14.45","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","-"
"57","Ryan Lindgren","NYR","D","1","12.966666666667","0","0","0","0","0","-","1","0.00","0.02","2","2","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","0","0","-"
"58","Libor Hajek","NYR","D","1","16.366666666667","0","0","0","0","0","0.00","0","-","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","5","0","0","0","-"
"60","Beck Malenstyn","WSH","L","1","7.9833333333333","0","0","0","0","0","-","3","0.00","0.28","5","5","3","3","0","1","0","0","0","0","0","0","0","1","1","2","0","0","0","-"
"61","Tim Gettinger","NYR","L","1","6.9166666666667","0","0","0","0","0","-","2","0.00","0.43","3","3","3","2","0","1","0","0","0","0","0","0","0","0","4","1","1","0","1","0.00"
"62","Logan Brown","OTT","C","1","10.1","0","0","0","0","0","-","0","-","0.04","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","8","27.27"
"63","Victor Mete","MTL","D","1","19.1","0","0","0","0","0","-","3","0.00","0.11","5","3","1","1","0","0","4","1","1","0","0","0","0","1","1","2","1","0","0","-"
"65","Michal Kempny","WSH","D","1","15.9","0","0","0","0","0","-","1","0.00","0.04","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","-"
"66","Cale Fleury","MTL","D","1","10.6","0","0","0","0","0","-","0","-","0.1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"67","Nick Suzuki","MTL","C","1","16.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","2","7","6","53.85"
"69","Max Veronneau","OTT","R","1","8.8166666666667","0","0","0","0","0","-","2","0.00","0.06","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"71","Jesperi Kotkaniemi","MTL","C","1","14.05","0","0","0","0","0","-","2","0.00","0.3","3","2","1","1","0","2","0","0","0","0","0","1","0","1","3","0","0","3","4","42.86"
"72","Kaapo Kakko","NYR","R","1","11.583333333333","0","0","0","0","0","-","1","0.00","0.06","3","2","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","-"
