"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"45","Oliver Ekman-Larsson","ARI","D","1","16.6","0","3","1","2","3","75.00","2","0.00","0.07","3","2","1","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","-"
"130","Clayton Keller","ARI","R","1","16.2","2","1","1","0","3","100.00","6","33.33","0.48","7","7","6","3","1","1","2","1","1","0","0","0","1","2","0","2","1","0","0","-"
"46","Chris Kreider","NYR","L","1","10.333333333333","2","0","0","0","2","100.00","4","50.00","0.41","5","5","5","3","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0","100.00"
"68","William Karlsson","VGK","C","1","12.966666666667","0","2","1","1","2","100.00","1","0.00","0.05","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","9","10","47.37"
"107","Nick Schmaltz","ARI","C","1","14.683333333333","0","2","2","0","2","66.67","1","0.00","0.12","3","3","3","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","3","25.00"
"4","Valtteri Filppula","DET","C","1","14.683333333333","0","1","1","0","1","100.00","2","0.00","0.08","2","2","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4","7","36.36"
"6","Frans Nielsen","DET","C","1","11.733333333333","0","1","0","1","1","50.00","1","0.00","0.02","2","2","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","7","5","58.33"
"7","Brent Burns","S.J","D","1","19.383333333333","0","1","1","0","1","100.00","4","0.00","0.07","6","5","0","0","0","1","2","1","1","0","0","0","2","2","2","0","1","0","0","-"
"14","Carl Soderberg","ARI","C","1","14","1","0","0","0","1","50.00","2","50.00","0.32","2","2","1","1","0","0","0","0","0","0","0","0","0","2","1","1","0","6","5","54.55"
"17","Roman Polak","DAL","D","1","13.3","0","1","0","1","1","inf","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"18","Paul Stastny","VGK","C","1","9.55","1","0","0","0","1","100.00","1","100.00","0.08","2","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","5","2","71.43"
"25","Alex Biega","DET","D","1","15.066666666667","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","-"
"28","Phil Kessel","ARI","R","1","13.05","0","1","0","1","1","50.00","1","0.00","0.03","1","1","0","0","0","0","2","1","1","0","0","0","1","0","0","1","0","0","0","-"
"31","Logan Couture","S.J","C","1","16.216666666667","1","0","0","0","1","100.00","2","50.00","0.17","4","2","2","2","0","0","0","0","0","0","0","0","0","0","2","0","0","3","3","50.00"
"48","Reilly Smith","VGK","R","1","12.166666666667","0","1","1","0","1","50.00","0","-","0.05","2","2","0","0","0","1","0","0","0","0","0","0","1","1","0","1","3","0","0","-"
"50","Justin Dowling","DAL","C","1","7.65","0","1","1","0","1","inf","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","100.00"
"57","Taylor Hall","ARI","L","1","14.266666666667","1","0","0","0","1","50.00","4","25.00","0.25","6","6","4","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","2","0.00"
"70","Mika Zibanejad","NYR","C","1","10.316666666667","0","1","1","0","1","50.00","3","0.00","0.13","3","3","2","1","0","0","0","0","0","0","0","0","1","0","0","3","1","5","5","50.00"
"73","Jonathan Marchessault","VGK","C","1","12.183333333333","1","0","0","0","1","50.00","4","25.00","0.25","5","4","3","2","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","-"
"77","Brady Skjei","NYR","D","1","16.233333333333","0","1","0","1","1","50.00","2","0.00","0.05","3","3","0","0","0","0","0","0","0","0","0","0","1","0","1","2","2","0","0","-"
"79","Tomas Hertl","S.J","C","1","16.816666666667","0","1","0","1","1","100.00","2","0.00","0.17","4","2","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","10","6","62.50"
"91","Shea Theodore","VGK","D","1","15.016666666667","1","0","0","0","1","100.00","4","25.00","0.44","8","6","4","3","0","2","0","0","0","0","0","0","0","0","1","1","2","0","0","-"
