"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"117","Gabriel Landeskog","COL","L","1","15.75","1","1","0","1","2","100.00","3","33.33","0.25","4","3","4","3","0","1","0","0","0","0","0","0","0","0","3","1","0","8","6","57.14"
"134","Phillip Di Giuseppe","NYR","L","1","13.983333333333","0","2","2","0","2","100.00","5","0.00","0.18","7","5","2","1","0","1","0","0","0","0","0","0","1","0","8","0","1","0","0","-"
"186","Jakub Vrana","WSH","L","1","18.4","1","1","1","0","2","66.67","3","33.33","0.31","5","3","1","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","-"
"190","Nick Schmaltz","ARI","C","1","10.466666666667","1","1","0","1","2","100.00","3","33.33","0.32","3","3","2","2","0","0","0","0","0","0","0","1","0","2","0","0","0","2","4","33.33"
"208","Jordan Greenway","MIN","L","1","12.566666666667","1","1","1","0","2","100.00","4","25.00","0.24","4","4","0","0","0","0","2","1","1","0","0","1","0","1","0","0","1","1","1","50.00"
"221","Joel Eriksson Ek","MIN","C","1","12.55","1","1","1","0","2","100.00","4","25.00","0.18","4","4","2","2","0","0","0","0","0","0","0","0","0","0","1","1","0","3","10","23.08"
"227","Conor Garland","ARI","R","1","9.4333333333333","1","1","1","0","2","100.00","3","33.33","0.21","4","4","3","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","-"
"250","Drake Caggiula","ARI","C","1","8.4666666666667","0","2","1","1","2","100.00","0","-","0","2","0","1","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0.00"
"1","Zdeno Chara","WSH","D","1","17.166666666667","0","1","1","0","1","100.00","1","0.00","0.04","2","2","1","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","-"
"2","Patrick Marleau","S.J","C","1","7.3666666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","4","33.33"
"5","Frans Nielsen","DET","C","1","9.3333333333333","0","1","0","1","1","100.00","3","0.00","0.21","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"7","Eric Staal","BUF","C","1","11.25","1","0","0","0","1","100.00","2","50.00","0.1","2","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","6","4","60.00"
"9","Zach Parise","MIN","L","1","11.083333333333","1","0","0","0","1","100.00","3","33.33","0.22","3","3","3","1","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","66.67"
"10","Ryan Getzlaf","ANA","C","1","14.616666666667","0","1","0","1","1","100.00","0","-","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","3","6","33.33"
