"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"260","Evgeny Svechnikov","DET","R","1","8.0166666666667","8.0166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","14.97","7.48","7.48","0","0","0","7.48","0","0","0","0","0","0","-"
"262","Brock Boeser","VAN","R","1","18.116666666667","18.116666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","6.62","0","0","0","6.62","0","3.31","0.00"
"264","Jack Roslovic","CBJ","C","1","15.233333333333","15.233333333333","0","0","0","0","0","-","7.88","0.00","1.04","7.88","7.88","3.94","3.94","0","0","0","0","0","0","0","0","3.94","0","0","7.88","11.82","11.82","43.33","84.40"
"265","Zach Werenski","CBJ","D","1","21.133333333333","21.133333333333","0","0","0","0","0","-","5.68","0.00","0.19","8.52","5.68","2.84","0","0","0","0","0","0","0","0","0","2.84","0","2.84","2.84","5.68","0","0","-"
"266","Anthony Beauvillier","NYI","L","1","13.55","13.55","4.43","0","0","0","4.43","100.00","13.28","33.33","1.46","13.28","13.28","13.28","8.86","4.43","0","0","0","0","0","0","0","0","4.43","0","13.28","4.43","0","0","-"
"267","Thomas Chabot","OTT","D","1","22.766666666667","22.766666666667","0","2.64","2.64","0","2.64","50.00","7.91","0.00","0.28","10.54","7.91","2.64","2.64","0","0","0","0","0","0","0","0","5.27","0","7.91","2.64","2.64","0","0","-"
"268","Mathieu Joseph","T.B","R","1","8.25","8.25","0","0","0","0","0","-","14.55","0.00","0.17","14.55","14.55","0","0","0","0","0","0","0","0","0","0","0","0","29.09","14.55","0","21.82","21.82","363.64"
"269","Mitchell Marner","TOR","R","1","20.383333333333","20.383333333333","0","0","0","0","0","-","2.94","0.00","0.95","5.89","5.89","2.94","2.94","0","2.94","0","0","0","0","0","0","2.94","2.94","2.94","8.83","0","0","0","-"
"270","Denis Gurianov","DAL","R","1","19.733333333333","19.733333333333","0","0","0","0","0","-","9.12","0.00","0.41","12.16","12.16","6.08","3.04","3.04","0","6.08","3.04","3.04","0","0","0","12.16","0","3.04","3.04","0","0","0","-"
"271","Ivan Provorov","PHI","D","1","22.883333333333","22.883333333333","0","0","0","0","0","0.00","2.62","0.00","0.09","2.62","2.62","0","0","0","0","0","0","0","0","0","0","0","0","7.87","10.49","5.24","0","0","-"
"273","John Marino","PIT","D","1","19.3","19.3","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.22","9.33","9.33","0","0","0","-"
"274","Anthony Cirelli","T.B","C","1","18.583333333333","18.583333333333","0","0","0","0","0","-","3.23","0.00","0.27","6.46","6.46","6.46","0","0","3.23","0","0","0","0","0","0","0","0","16.14","3.23","6.46","16.14","12.91","179.37"
"275","Tanner Kero","DAL","C","1","5.2166666666667","5.2166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"276","Noel Acciari","FLA","C","1","13.8","13.8","0","0","0","0","0","0.00","4.35","0.00","0.11","4.35","4.35","0","0","0","0","0","0","0","0","0","0","0","0","0","8.7","0","17.39","17.39","217.39"
"277","Derek Ryan","CGY","C","1","9.4333333333333","9.4333333333333","6.36","6.36","6.36","0","12.72","100.00","6.36","100.00","0.76","6.36","6.36","6.36","6.36","0","0","0","0","0","0","0","0","0","0","6.36","0","6.36","12.72","38.16","159.01"
"278","Kevin Stenlund","CBJ","C","1","10.266666666667","10.266666666667","0","0","0","0","0","-","5.84","0.00","0.48","11.69","5.84","5.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.84","11.69","194.81"
"279","Adam Gaudette","VAN","C","1","12.7","12.7","0","0","0","0","0","-","0","-","0","9.45","0","0","0","0","0","0","0","0","0","0","0","0","4.72","0","4.72","0","0","0","-"
"280","Vladislav Gavrikov","CBJ","D","1","13.666666666667","13.666666666667","0","0","0","0","0","0.00","0","-","0.16","4.39","4.39","4.39","0","0","0","0","0","0","0","0","0","0","0","0","0","8.78","0","0","-"
"281","Mason Appleton","WPG","C","1","13.766666666667","13.766666666667","0","0","0","0","0","-","0","-","0.42","4.36","4.36","4.36","4.36","0","0","0","0","0","0","0","0","0","0","4.36","13.08","0","0","0","-"
"282","Mason Marchment","FLA","L","1","12.483333333333","12.483333333333","4.81","0","0","0","4.81","100.00","9.61","50.00","0.52","14.42","14.42","4.81","0","0","0","0","0","0","0","0","4.81","0","4.81","0","4.81","4.81","0","0","-"
"283","Philippe Myers","PHI","D","1","12.75","12.75","0","0","0","0","0","-","14.12","0.00","0.29","18.82","14.12","4.71","0","0","0","0","0","0","0","0","0","0","0","14.12","14.12","4.71","0","0","-"
"284","Ryan Lomberg","FLA","L","1","8.1","8.1","0","0","0","0","0","-","0","-","0.89","7.41","7.41","7.41","7.41","0","0","0","0","0","0","0","0","0","0","7.41","0","0","0","0","-"
"286","Brandon Tanev","PIT","L","1","13.033333333333","13.033333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.62","13.81","4.6","0","4.6","0.00"
"287","Matthew Tkachuk","CGY","L","1","12.35","12.35","0","14.57","14.57","0","14.57","100.00","9.72","0.00","0.72","9.72","9.72","9.72","0","4.86","0","9.72","4.86","4.86","0","0","0","4.86","0","14.57","14.57","0","0","0","-"
"288","Auston Matthews","TOR","C","1","20.75","20.75","0","0","0","0","0","-","14.46","0.00","1.28","20.24","20.24","17.35","5.78","0","0","0","0","0","0","0","2.89","0","2.89","0","0","5.78","20.24","23.13","134.94"
"289","Adam Fox","NYR","D","1","17.866666666667","17.866666666667","0","0","0","0","0","0.00","6.72","0.00","0.28","10.07","10.07","3.36","0","0","3.36","0","0","0","0","0","0","6.72","0","3.36","3.36","0","0","0","-"
"290","Ryan Lindgren","NYR","D","1","15.116666666667","15.116666666667","0","3.97","3.97","0","3.97","50.00","0","-","0","0","0","0","0","0","0","7.94","3.97","3.97","0","0","0","3.97","0","3.97","0","3.97","0","0","-"
"291","Julien Gauthier","NYR","R","1","12.966666666667","12.966666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.63","4.63","0","0","-"
"292","Libor Hajek","NYR","D","1","15.45","15.45","0","0","0","0","0","-","0","-","0.1","3.88","3.88","0","0","0","0","7.77","3.88","3.88","0","0","0","0","0","3.88","3.88","0","0","0","-"
"293","Alex DeBrincat","CHI","L","1","20.366666666667","20.366666666667","2.95","0","0","0","2.95","100.00","8.84","33.33","0.86","17.68","11.78","11.78","5.89","0","0","0","0","0","0","0","0","2.95","2.95","8.84","2.95","0","2.95","0","294.60"
"294","Patrik Laine","CBJ","R","1","14.25","14.25","0","0","0","0","0","-","0","-","0.09","8.42","4.21","0","0","0","0","0","0","0","0","0","0","4.21","0","0","0","0","0","0","-"
