"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"10","Dustin Brown","L.A","R","1","13.75","3","1","1","0","4","100.00","4","75.00","0.94","6","4","3","2","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","-"
"28","Anze Kopitar","L.A","C","1","15.866666666667","1","2","1","1","3","60.00","2","50.00","0.33","3","3","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","2","10","16.67"
"30","T.J. Oshie","WSH","R","1","14.383333333333","1","1","0","1","2","100.00","2","50.00","0.21","2","2","2","2","0","0","0","0","0","0","0","0","0","0","2","1","1","1","0","100.00"
"47","Claude Giroux","PHI","C","1","15.016666666667","2","0","0","0","2","100.00","2","100.00","0.35","3","3","3","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","50.00"
"51","Nicklas Backstrom","WSH","C","1","14.15","1","1","1","0","2","100.00","3","33.33","0.21","3","3","3","1","0","0","0","0","0","0","0","0","1","0","1","0","0","6","5","54.55"
"67","Jakub Voracek","PHI","R","1","14.166666666667","0","2","2","0","2","100.00","3","0.00","0.12","3","3","1","1","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","-"
"88","Mike Hoffman","FLA","L","1","13.5","1","1","0","1","2","100.00","2","50.00","0.27","2","2","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","-"
"90","Kyle Palmieri","N.J","R","1","14.6","2","0","0","0","2","100.00","3","66.67","0.84","5","4","2","1","0","0","0","0","0","0","0","0","2","0","1","1","0","0","1","0.00"
"91","Alex Chiasson","EDM","R","1","9.5666666666667","1","1","0","1","2","100.00","2","50.00","0.1","3","2","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","-"
"101","Richard Panik","WSH","R","1","9.3","1","1","0","1","2","100.00","2","50.00","0.11","2","2","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0.00"
"103","Marcus Foligno","MIN","L","1","12.333333333333","1","1","0","1","2","66.67","2","50.00","0.38","3","3","3","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"110","Nic Dowd","WSH","C","1","10.266666666667","1","1","0","1","2","100.00","3","33.33","0.32","3","3","2","1","0","1","0","0","0","0","0","0","0","0","3","1","0","5","3","62.50"
"113","Mats Zuccarello","MIN","R","1","14.466666666667","0","2","2","0","2","100.00","2","0.00","0.12","2","2","2","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","-"
"118","Greg McKegg","NYR","C","1","8.2166666666667","1","1","1","0","2","100.00","1","100.00","0.14","1","1","1","1","0","0","0","0","0","0","0","0","0","0","2","1","0","2","2","50.00"
"197","Damon Severson","N.J","D","1","18.833333333333","0","2","1","1","2","50.00","0","-","0","2","0","0","0","0","0","2","1","1","0","0","0","4","2","1","1","2","0","0","-"
"219","Pavel Buchnevich","NYR","R","1","15.316666666667","0","2","0","2","2","100.00","2","0.00","0.01","3","2","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","-"
"221","Anthony Duclair","OTT","L","1","14.466666666667","0","2","2","0","2","100.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","0.00"
"236","Dakota Mermis","N.J","D","1","16.583333333333","0","2","1","1","2","50.00","0","-","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","2","2","0","0","-"
"242","Aaron Ekblad","FLA","D","1","18.983333333333","0","2","1","1","2","66.67","0","-","0","2","0","1","0","1","0","0","0","0","0","0","0","2","1","0","2","2","0","0","-"
"250","Travis Sanheim","PHI","D","1","15.083333333333","0","2","0","2","2","100.00","1","0.00","0.1","1","1","1","1","0","1","2","1","1","0","0","1","0","1","0","0","1","0","0","-"
"315","Adam Fox","NYR","D","1","20.333333333333","0","2","1","1","2","100.00","1","0.00","0.02","3","1","0","0","0","1","2","1","1","0","0","0","3","0","1","3","3","0","0","-"
"317","Charlie McAvoy","BOS","D","1","19.083333333333","1","1","1","0","2","100.00","2","50.00","0.18","4","3","2","1","1","0","0","0","0","0","0","0","1","0","3","1","1","0","0","-"
"341","Alex Iafallo","L.A","L","1","14.016666666667","0","2","1","1","2","66.67","0","-","0","1","0","1","0","0","0","2","1","1","0","0","0","0","1","0","1","2","0","0","-"
