"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"112","John Tavares","TOR","C","1","18.633333333333","2","1","1","0","3","100.00","5","40.00","0.33","9","6","6","1","1","0","0","0","0","0","0","1","0","0","0","1","1","12","7","63.16"
"20","Shea Weber","MTL","D","1","19.983333333333","1","1","0","1","2","100.00","2","50.00","0.17","3","2","2","2","1","0","0","0","0","0","0","1","0","0","4","1","0","0","0","-"
"59","Michael Frolik","CGY","R","1","13.15","1","1","1","0","2","100.00","2","50.00","0.09","2","2","1","1","0","0","2","1","1","0","0","0","1","1","0","2","0","0","0","-"
"62","Alex Killorn","T.B","L","1","14.366666666667","1","1","1","0","2","100.00","2","50.00","0.23","3","3","2","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"102","Zac Rinaldo","CGY","C","1","13.033333333333","1","1","1","0","2","100.00","1","100.00","0.14","3","2","1","1","0","0","0","0","0","0","0","2","0","1","4","2","0","0","0","-"
"120","Zack Kassian","EDM","R","1","14.833333333333","2","0","0","0","2","100.00","5","40.00","0.61","7","6","5","4","0","1","4","2","2","0","0","0","2","1","4","0","0","0","0","-"
"138","Justin Holl","TOR","D","1","17.5","0","2","1","1","2","100.00","0","-","0.04","2","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","-"
"140","Tyler Toffoli","L.A","R","1","12.7","1","1","1","0","2","66.67","1","100.00","0.39","4","3","3","2","0","2","0","0","0","0","0","0","0","0","1","0","1","0","0","-"
"141","Johan Larsson","BUF","C","1","13.7","1","1","1","0","2","66.67","3","33.33","0.41","4","4","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","4","6","40.00"
"197","Dougie Hamilton","CAR","D","1","17.716666666667","1","1","0","1","2","100.00","5","20.00","0.16","9","7","2","0","1","1","2","1","1","0","0","0","1","0","2","0","0","0","0","-"
"201","Joel Armia","MTL","R","1","15.3","1","1","0","1","2","100.00","2","50.00","0.12","3","2","2","1","0","0","0","0","0","0","0","0","1","1","2","3","2","0","0","-"
"223","Zemgus Girgensons","BUF","C","1","13.35","1","1","1","0","2","100.00","2","50.00","0.98","2","2","2","1","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","0.00"
"298","Sam Reinhart","BUF","C","1","14.683333333333","1","1","1","0","2","100.00","2","50.00","0.21","4","4","3","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","-"
"328","Victor Olofsson","BUF","L","1","14.766666666667","0","2","1","1","2","100.00","2","0.00","0.06","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"337","Connor McDavid","EDM","C","1","17.683333333333","0","2","1","1","2","100.00","1","0.00","0.2","3","3","3","1","0","0","0","0","0","0","0","0","3","1","4","1","0","7","10","41.18"
"338","Jack Eichel","BUF","C","1","16.6","2","0","0","0","2","50.00","2","100.00","0.32","3","2","2","1","0","0","2","1","1","0","0","0","1","1","0","1","1","6","11","35.29"
"356","Mitchell Marner","TOR","R","1","19.983333333333","0","2","0","2","2","100.00","1","0.00","0.24","3","2","3","2","0","0","2","1","1","0","0","1","0","0","0","1","1","0","0","-"
"371","Matt Roy","L.A","D","1","19.9","0","2","1","1","2","100.00","2","0.00","0.04","6","3","2","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"3","Deryk Engelland","VGK","D","1","16.3","1","0","0","0","1","50.00","4","25.00","0.14","5","4","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"13","Dustin Brown","L.A","R","1","16.7","1","0","0","0","1","100.00","2","50.00","0.13","4","2","2","1","1","1","2","1","1","0","0","0","1","1","1","1","0","0","0","-"
"15","Zach Parise","MIN","L","1","14.266666666667","0","1","1","0","1","100.00","1","0.00","0.02","1","1","1","0","1","0","0","0","0","0","0","0","0","1","2","0","1","0","2","0.00"
"23","Joe Pavelski","DAL","C","1","11.533333333333","1","0","0","0","1","100.00","3","33.33","0.56","4","4","4","3","0","0","0","0","0","0","0","0","1","1","0","2","0","7","1","87.50"
"25","Evgeni Malkin","PIT","C","1","20.083333333333","0","1","0","1","1","100.00","2","0.00","0.16","4","4","1","0","0","0","2","1","1","0","0","0","2","2","1","5","0","11","6","64.71"
"26","Blake Wheeler","WPG","R","1","12.35","1","0","0","0","1","100.00","2","50.00","0.11","3","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","4","60.00"
"27","Alexander Radulov","DAL","R","1","10.916666666667","0","1","0","1","1","100.00","1","0.00","0.13","2","2","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"30","Blake Comeau","DAL","L","1","11.366666666667","0","1","0","1","1","100.00","3","0.00","0.17","4","3","2","0","0","1","2","1","1","0","0","1","0","0","2","0","0","1","2","33.33"
"35","Troy Brouwer","STL","R","1","13.533333333333","1","0","0","0","1","100.00","4","25.00","0.43","6","6","6","3","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","-"
"36","Paul Stastny","VGK","C","1","14.316666666667","0","1","1","0","1","50.00","2","0.00","0.38","3","2","3","2","0","0","0","0","0","0","0","1","1","1","1","1","2","9","5","64.29"
"40","Andrew Cogliano","DAL","C","1","11.066666666667","0","1","1","0","1","100.00","2","0.00","0.19","2","2","2","2","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","-"
"48","Ryan Reaves","VGK","R","1","9.45","1","0","0","0","1","100.00","1","100.00","0.11","2","2","2","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","-"
"54","Jeff Petry","MTL","D","1","21.066666666667","0","1","1","0","1","100.00","2","0.00","0.04","2","2","0","0","0","1","0","0","0","0","0","0","0","0","8","3","0","0","0","-"
"55","Jordan Staal","CAR","C","1","13.683333333333","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","10","7","58.82"
"61","Mathieu Perreault","WPG","L","1","13.716666666667","0","1","0","1","1","100.00","1","0.00","0.15","3","2","3","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","50.00"
"64","Nick Bonino","NSH","C","1","11.5","1","0","0","0","1","100.00","3","33.33","0.19","3","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","72.73"
"72","David Perron","STL","L","1","17.55","0","1","1","0","1","100.00","1","0.00","0.08","3","3","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"75","Evgenii Dadonov","FLA","R","1","15.55","1","0","0","0","1","100.00","1","100.00","0.12","4","2","3","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","-"
"76","Mikael Backlund","CGY","C","1","12.183333333333","0","1","1","0","1","100.00","2","0.00","0.12","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"78","Max Pacioretty","VGK","L","1","13.966666666667","1","0","0","0","1","100.00","4","25.00","0.25","7","7","2","1","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","0.00"
"85","Steven Stamkos","T.B","C","1","12.816666666667","1","0","0","0","1","50.00","1","100.00","0.13","2","1","2","1","0","0","0","0","0","0","0","0","2","0","1","2","2","6","6","50.00"
"86","Alex Pietrangelo","STL","D","1","16.283333333333","1","0","0","0","1","100.00","5","20.00","0.19","6","5","2","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","-"
"87","Zach Bogosian","BUF","D","1","16.416666666667","0","1","1","0","1","100.00","0","-","0.03","3","1","1","0","0","1","0","0","0","0","0","0","0","0","2","0","1","0","0","-"
"90","Luca Sbisa","WPG","D","1","16.483333333333","0","1","0","1","1","100.00","2","0.00","0.08","2","2","1","0","0","1","2","1","1","0","0","0","2","0","1","1","1","0","0","-"
"93","Roman Josi","NSH","D","1","14.066666666667","0","1","0","1","1","50.00","0","-","0","1","0","0","0","0","0","4","2","2","0","0","0","1","0","0","1","4","0","0","-"
"96","Travis Hamonic","CGY","D","1","19.666666666667","0","1","0","1","1","100.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","-"
"105","Mike Hoffman","FLA","L","1","16.95","0","1","0","1","1","100.00","0","-","0.1","3","2","1","0","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","-"
"106","Tyler Bozak","STL","C","1","17.416666666667","0","1","0","1","1","100.00","2","0.00","0.03","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","5","0","100.00"
"111","Jakob Silfverberg","ANA","R","1","13.016666666667","0","1","1","0","1","100.00","1","0.00","0.17","3","3","2","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","-"
"124","Tomas Tatar","MTL","L","1","15.833333333333","0","1","1","0","1","100.00","1","0.00","0.08","1","1","1","0","1","0","0","0","0","0","0","0","0","1","4","2","0","1","1","50.00"
"127","Marcus Foligno","MIN","L","1","13.85","0","1","0","1","1","100.00","1","0.00","0.22","3","3","2","1","0","0","0","0","0","0","0","0","1","0","5","0","0","0","1","0.00"
"129","Craig Smith","NSH","R","1","8.15","0","1","0","1","1","100.00","1","0.00","0.13","2","2","2","1","0","0","0","0","0","0","0","1","2","1","3","2","0","0","0","-"
"137","Calle Jarnkrok","NSH","C","1","10.7","1","0","0","0","1","100.00","1","100.00","0.4","3","1","1","0","0","0","4","2","2","0","0","0","0","0","0","2","0","0","1","0.00"
"151","Zach Hyman","TOR","L","1","16.95","1","0","0","0","1","33.33","2","50.00","0.94","3","2","3","1","0","0","0","0","0","0","0","0","0","1","1","3","0","0","1","0.00"
"158","Mikael Granlund","NSH","C","1","12.933333333333","0","1","1","0","1","100.00","1","0.00","0.06","3","2","2","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0.00"
"160","Bryan Rust","PIT","R","1","20.25","0","1","1","0","1","100.00","5","0.00","0.28","5","5","4","1","1","0","0","0","0","0","0","0","1","1","3","6","0","1","0","100.00"
"163","Sam Carrick","ANA","C","1","12.2","0","1","0","1","1","100.00","3","0.00","0.14","3","3","1","1","1","0","0","0","0","0","0","0","1","1","1","2","0","10","7","58.82"
"164","Brendan Gallagher","MTL","R","1","14.866666666667","1","0","0","0","1","100.00","4","25.00","1.09","7","5","3","3","2","0","0","0","0","0","0","0","0","2","3","4","1","0","1","0.00"
"169","Mark Stone","VGK","R","1","14.066666666667","0","1","1","0","1","100.00","3","0.00","0.15","3","3","1","1","0","0","2","1","1","0","0","0","0","1","1","0","0","0","0","-"
"175","Johnny Gaudreau","CGY","L","1","16.916666666667","1","0","0","0","1","100.00","3","33.33","0.2","4","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"183","Josh Leivo","VAN","L","1","18.2","1","0","0","0","1","100.00","2","50.00","0.34","2","2","2","1","0","0","0","0","0","0","0","1","0","1","0","3","2","0","0","-"
"185","Victor Rask","MIN","C","1","9.35","0","1","1","0","1","100.00","1","0.00","0.18","3","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","33.33"
"192","Jonathan Huberdeau","FLA","L","1","15.266666666667","0","1","1","0","1","100.00","1","0.00","0.07","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0.00"
"207","Rickard Rakell","ANA","L","1","15.55","1","0","0","0","1","100.00","3","33.33","0.17","3","3","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0.00"
"220","Tanner Pearson","VAN","L","1","16.05","0","1","1","0","1","100.00","5","0.00","0.77","7","7","4","3","0","1","2","1","1","0","0","0","1","0","2","0","0","0","0","-"
"224","Cody Ceci","TOR","D","1","15.166666666667","0","1","1","0","1","50.00","1","0.00","0.06","3","2","1","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","0","-"
"225","Tomas Hertl","S.J","C","1","13.85","0","1","1","0","1","100.00","2","0.00","0.27","2","2","2","1","1","1","0","0","0","0","0","0","0","0","1","0","0","6","9","40.00"
"226","Teuvo Teravainen","CAR","L","1","14.883333333333","0","1","1","0","1","100.00","2","0.00","0.13","4","4","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0.00"
"228","Filip Forsberg","NSH","L","1","9.7166666666667","0","1","1","0","1","100.00","1","0.00","0.08","4","2","2","1","0","0","2","1","1","0","0","0","0","2","1","3","0","0","0","-"
"229","Radek Faksa","DAL","C","1","12.566666666667","1","0","0","0","1","100.00","1","100.00","0.1","3","2","1","0","1","0","0","0","0","0","0","0","0","1","2","2","0","8","4","66.67"
"236","Jimmy Vesey","BUF","L","1","14.05","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","-"
"237","Jordan Martinook","CAR","L","1","9.55","1","0","0","0","1","100.00","2","50.00","0.13","2","2","2","0","0","0","0","0","0","0","0","0","1","0","2","0","1","6","2","75.00"
"262","Tucker Poolman","WPG","D","1","18.366666666667","0","1","0","1","1","100.00","1","0.00","0.05","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","-"
"266","Jake Guentzel","PIT","L","1","19.45","1","0","0","0","1","100.00","1","100.00","0.1","2","1","1","1","0","0","0","0","0","0","0","0","0","0","2","4","0","1","1","50.00"
"270","Andrew Copp","WPG","C","1","14.55","1","0","0","0","1","100.00","1","100.00","0.11","3","3","2","1","0","0","0","0","0","0","0","0","0","0","0","1","1","7","4","63.64"
