"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"14","Blake Wheeler","WPG","R","1","15.416666666667","2","1","0","1","3","100.00","4","50.00","0.26","4","4","4","2","0","0","0","0","0","0","0","2","1","1","1","2","0","1","1","50.00"
"166","Nikolaj Ehlers","WPG","L","1","15.833333333333","1","2","0","2","3","100.00","5","20.00","0.27","7","6","4","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","-"
"179","Brandon Montour","BUF","D","1","19.616666666667","2","1","0","1","3","100.00","2","100.00","0.22","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","-"
"11","Dustin Brown","L.A","R","1","15.4","2","0","0","0","2","100.00","2","100.00","0.4","4","4","3","2","0","2","2","1","1","0","0","0","0","0","3","0","0","0","0","-"
"19","Anze Kopitar","L.A","C","1","16.15","0","2","0","2","2","100.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","5","5","50.00"
"103","Mark Scheifele","WPG","C","1","17.6","0","2","2","0","2","66.67","2","0.00","0.17","3","3","2","1","0","1","0","0","0","0","0","0","1","2","0","5","0","3","2","60.00"
"128","Andreas Athanasiou","DET","L","1","13.216666666667","2","0","0","0","2","100.00","4","50.00","0.37","6","5","6","2","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","50.00"
"159","Anthony Mantha","DET","R","1","17.516666666667","0","2","2","0","2","100.00","4","0.00","0.3","4","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"168","Dylan Larkin","DET","C","1","18","0","2","0","2","2","100.00","1","0.00","0.14","2","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","11","9","55.00"
"175","Ivan Barbashev","STL","C","1","13.233333333333","2","0","0","0","2","100.00","4","50.00","0.31","4","4","3","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1","3","25.00"
