"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"133","Mattias Ekholm","NSH","D","1","17.283333333333","0","0","0","0","0","-","2","0.00","0.08","4","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"134","Craig Smith","NSH","C","1","9.1166666666667","0","0","0","0","0","-","4","0.00","0.26","4","4","2","1","0","1","2","1","1","0","0","0","1","0","0","0","0","0","1","0.00"
"135","Casey Cizikas","NYI","C","1","12.116666666667","0","0","0","0","0","-","0","-","0.05","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","3","1","10","8","55.56"
"136","David Savard","CBJ","D","1","20.4","0","0","0","0","0","0.00","1","0.00","0.02","2","1","0","0","0","0","2","1","1","0","0","0","1","0","2","1","2","0","0","-"
"137","Nicolas Deslauriers","ANA","L","1","12.466666666667","0","0","0","0","0","-","0","-","0","1","0","1","0","0","0","0","0","0","0","0","0","0","3","6","1","0","0","0","-"
"138","Cody Eakin","VGK","C","1","14.35","0","0","0","0","0","-","2","0.00","0.21","4","2","3","2","1","1","2","1","1","0","0","1","0","1","1","2","1","5","6","45.45"
"139","Anders Lee","NYI","C","1","13.883333333333","0","0","0","0","0","0.00","4","0.00","0.26","4","4","3","2","0","0","4","2","2","0","0","0","2","1","8","1","0","0","1","0.00"
"140","Justin Dowling","DAL","C","1","12.1","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","-"
"141","Brenden Dillon","S.J","D","1","15.816666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","1","1","1","0","0","-"
"142","Christopher Tanev","VAN","D","1","13.416666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","-"
