"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"187","J.T. Miller","VAN","C","1","17.35","1","2","1","1","3","100.00","2","50.00","0.16","3","3","3","1","0","0","0","0","0","0","0","0","1","0","2","0","0","6","9","40.00"
"201","Tanner Pearson","VAN","L","1","13.8","1","2","1","1","3","100.00","2","50.00","0.29","5","4","3","3","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0.00"
"238","Dominik Kubalik","CHI","L","1","10.716666666667","0","3","3","0","3","100.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","-"
"265","Bo Horvat","VAN","C","1","16.416666666667","2","1","1","0","3","75.00","9","22.22","1.89","12","11","8","1","1","1","2","1","1","0","0","0","0","1","0","0","3","9","7","56.25"
"286","William Nylander","TOR","R","1","16.633333333333","2","1","0","1","3","100.00","3","66.67","0.39","5","5","4","4","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
"388","Samuel Girard","COL","D","1","17.1","0","3","2","1","3","100.00","3","0.00","0.06","4","4","0","0","0","1","2","1","1","0","0","0","0","0","1","2","2","0","0","-"
"26","Alexander Edler","VAN","D","1","20.466666666667","0","2","2","0","2","50.00","3","0.00","0.07","5","4","1","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","-"
"38","Anton Stralman","FLA","D","1","17.816666666667","0","2","1","1","2","66.67","4","0.00","0.17","7","5","2","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"39","Patric Hornqvist","PIT","R","1","13.933333333333","2","0","0","0","2","100.00","7","28.57","0.4","7","7","5","3","0","0","0","0","0","0","0","0","0","0","1","3","2","0","0","-"
"53","Jonathan Toews","CHI","C","1","13.016666666667","1","1","0","1","2","66.67","1","100.00","0.03","1","1","0","0","0","0","0","0","0","0","0","0","2","0","2","1","1","10","3","76.92"
"73","Jakub Voracek","PHI","R","1","17.166666666667","0","2","2","0","2","100.00","1","0.00","0.03","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","-"
"88","Tyler Ennis","OTT","R","1","12.166666666667","1","1","1","0","2","66.67","3","33.33","0.4","3","3","3","2","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","-"
"113","Nazem Kadri","COL","C","1","13.616666666667","2","0","0","0","2","100.00","3","66.67","0.12","4","3","3","0","1","0","0","0","0","0","0","0","0","2","2","0","0","10","4","71.43"
"163","Johnny Gaudreau","CGY","L","1","13.75","1","1","0","1","2","100.00","1","100.00","0.1","2","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"186","Sean Couturier","PHI","C","1","17.466666666667","1","1","0","1","2","100.00","1","100.00","0.25","1","1","1","1","0","0","2","1","1","0","0","0","0","1","2","1","1","7","3","70.00"
"230","Alexander Kerfoot","TOR","C","1","14.183333333333","0","2","2","0","2","66.67","1","0.00","0.24","3","3","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"258","Nathan MacKinnon","COL","C","1","13.35","1","1","1","0","2","100.00","2","50.00","0.26","3","3","2","1","1","0","0","0","0","0","0","0","1","3","0","0","0","7","5","58.33"
"293","Kasperi Kapanen","TOR","R","1","12.533333333333","1","1","1","0","2","100.00","1","100.00","0.1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","-"
"401","Elias Pettersson","VAN","C","1","15.583333333333","1","1","0","1","2","100.00","1","100.00","0.07","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0.00"
"403","Robert Thomas","STL","C","1","13.3","2","0","0","0","2","100.00","4","50.00","0.25","4","4","3","3","0","0","0","0","0","0","0","0","0","1","2","0","0","4","2","66.67"
"3","Patrick Marleau","S.J","L","1","17.616666666667","0","1","1","0","1","50.00","2","0.00","0.07","3","2","2","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","-"
"5","Jason Spezza","TOR","C","1","13.433333333333","0","1","0","1","1","50.00","2","0.00","0.08","2","2","2","0","0","0","2","1","1","0","0","0","1","0","0","1","1","9","4","69.23"
"9","Duncan Keith","CHI","D","1","21.45","0","1","0","1","1","100.00","1","0.00","0.02","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"12","Brent Burns","S.J","D","1","22.116666666667","0","1","1","0","1","50.00","2","0.00","0.05","8","4","1","0","0","0","0","0","0","0","0","0","0","1","2","0","1","0","0","-"
