first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Carter,Hart,G,,2,,YES,2021-02-28,All Day,PHI,BUF,-1.5,5.5,3.1,7900,23,-10.4,12.5,24.8,18.9,2.39
Joonas,Korpisalo,G,,1,,,2021-02-28,All Day,CBJ,NSH,+1.5,5.5,2.6,7200,29,-4.0,7.4,16.8,18.6,2.58
Patrick,Kane,W,,1,1,,2021-02-28,All Day,CHI,DET,-1.5,5.5,3.2,8700,20,9.6,22.9,41.8,18.2,2.09
Ilya,Sorokin,G,,1,,,2021-02-28,All Day,NYI,PIT,-1.5,5.5,2.8,8500,3,1.6,12.8,36.0,18.1,2.13
Alex,Ovechkin,W,,1,1,,2021-02-28,All Day,WSH,NJD,-1.5,6,3.2,8300,29,4.8,9.6,15.7,17.9,2.16
Carter,Hutton,G,,1,,,2021-02-28,All Day,BUF,PHI,+1.5,5.5,2.4,7100,2,0.8,9.4,16.8,16.5,2.33
Casey,DeSmith,G,,2,,,2021-02-28,All Day,PIT,NYI,+1.5,5.5,2.8,7500,16,8.8,15.8,20.8,16.3,2.17
Thomas,Greiss,G,,1,,,2021-02-28,All Day,DET,CHI,+1.5,5.5,2.3,6700,15,-8.8,9.0,36.8,16.0,2.38
Alex,DeBrincat,W,,1,1,,2021-02-28,All Day,CHI,DET,-1.5,5.5,3.2,7000,20,9.6,15.1,21.6,15.6,2.23
Kevin,Lankinen,G,,2,,,2021-02-28,All Day,CHI,DET,-1.5,5.5,3.2,7400,17,5.6,19.7,43.2,15.3,2.07
Pekka,Rinne,G,,2,,,2021-02-28,All Day,NSH,CBJ,-1.5,5.5,2.9,6900,21,4.8,18.7,39.2,15.2,2.20
John,Carlson,D,,1,1,,2021-02-28,All Day,WSH,NJD,-1.5,6,3.2,7100,31,6.4,17.3,26.9,14.8,2.08
