first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Evgenii,Dadonov,W,,2,1,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,5500,3,1.6,10.7,30.4,10.4,1.89
Nate,Schmidt,D,,1,2,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,4600,17,0.0,7.2,16.8,10.3,2.23
Jonathan,Drouin,W,,2,1,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,4500,14,1.6,6.4,11.2,10.1,2.25
Nils,Hoglander,W,,1,2,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,4100,8,4.8,9.0,20.8,10.0,2.43
Paul,Stastny,C,,2,1,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,5500,16,0.0,8.9,23.7,9.8,1.78
Josh,Morrissey,D,,1,1,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,4500,8,1.6,12.4,22.9,9.6,2.12
Jesperi,Kotkaniemi,C,,3,2,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,4100,31,3.2,6.2,13.6,9.6,2.34
Phillip,Danault,C,,1,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3800,31,1.6,4.2,8.0,9.4,2.47
Tyler,Myers,D,,3,2,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,4400,17,4.8,12.5,23.3,9.4,2.15
Ben,Chiarot,D,,1,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3800,26,1.6,8.3,12.8,9.3,2.45
Joel,Edmundson,D,,2,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3600,26,0.0,5.1,11.2,9.2,2.54
Shayne,Gostisbehere,D,,2,2,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3800,6,1.6,3.8,4.8,9.1,2.39
Nick,Ritchie,W,,2,1,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,4000,31,0.0,7.6,21.6,9.0,2.25
Nikita,Zaitsev,D,,1,,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3600,23,3.2,4.5,8.0,9.0,2.51
Josh,Norris,C,,1,1,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,4300,27,1.6,10.1,16.8,8.9,2.08
Nick,Paul,W,,2,,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3800,3,0.0,10.5,25.2,8.8,2.32
Drake,Batherson,W,,3,1,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3900,3,1.6,9.0,16.8,8.8,2.25
Joel,Farabee,W,,1,1,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,5100,21,6.4,22.2,42.4,8.8,1.73
Craig,Smith,W,,2,2,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3900,31,3.2,4.2,6.4,8.7,2.23
Colin,White,C,,2,2,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,4200,27,1.6,5.4,11.2,8.5,2.02
Connor,Brown,W,,1,,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,4300,3,6.4,12.5,23.2,8.4,1.94
