first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Ville,Husso,G,,1,,,2021-03-26,Main,STL,ANA,-1.5,5.5,3.2,7300,20,0.8,15.0,27.2,21.1,2.89
Ilya,Samsonov,G,,1,,,2021-03-26,Main,WSH,NJD,-1.5,6,3.6,8200,11,9.6,22.7,36.8,19.3,2.35
Antti,Raanta,G,IR,,,,2021-03-26,Main,ARI,SJS,-1.5,5.5,2.8,6800,13,8.0,20.5,29.6,18.5,2.72
Connor,Hellebuyck,G,,1,,,2021-03-26,Main,WPG,CGY,+1.5,6,2.9,8400,29,9.6,25.3,38.4,17.9,2.13
Jacob,Markstrom,G,,1,,,2021-03-26,Main,CGY,WPG,-1.5,6,3.1,7200,8,-9.6,11.0,22.4,17.2,2.39
Alex,Ovechkin,W,,1,1,,2021-03-26,Main,WSH,NJD,-1.5,6,3.6,8400,22,9.6,22.0,28.0,16.8,1.99
Scott,Wedgewood,G,,1,,,2021-03-26,Main,NJD,WSH,+1.5,6,2.5,7000,2,0.0,22.9,52.0,15.9,2.27
Martin,Jones,G,,1,,,2021-03-26,Main,SJS,ARI,+1.5,5.5,2.7,7600,14,-8.0,24.3,40.8,14.8,1.95
Devan,Dubnyk,G,,2,,,2021-03-26,Main,SJS,ARI,+1.5,5.5,2.7,7600,14,-3.2,18.4,47.2,14.6,1.93
John,Carlson,D,,1,1,,2021-03-26,Main,WSH,NJD,-1.5,6,3.6,6700,23,3.2,14.0,21.6,13.8,2.07
Vladimir,Tarasenko,W,,1,1,,2021-03-26,Main,STL,ANA,-1.5,5.5,3.2,6900,24,0.0,7.7,12.8,13.7,1.98
Mark,Scheifele,C,,1,1,,2021-03-26,Main,WPG,CGY,+1.5,6,2.9,7200,27,1.6,9.1,20.0,13.4,1.85
Evander,Kane,W,,1,1,,2021-03-26,Main,SJS,ARI,+1.5,5.5,2.7,7800,29,4.8,19.5,36.5,13.3,1.70
Mark,Giordano,D,,1,2,,2021-03-26,Main,CGY,WPG,-1.5,6,3.1,5900,5,6.4,14.8,25.3,13.2,2.23
Adin,Hill,G,,1,,,2021-03-26,Main,ARI,SJS,-1.5,5.5,2.8,6800,13,6.4,12.0,24.0,13.1,1.93
Jakob,Chychrun,D,,1,1,,2021-03-26,Main,ARI,SJS,-1.5,5.5,2.8,5100,31,11.2,16.0,26.4,12.8,2.52
Brent,Burns,D,,1,1,,2021-03-26,Main,SJS,ARI,+1.5,5.5,2.7,6200,14,1.6,10.2,22.4,12.7,2.05
Ryan,O'Reilly,C,,2,2,,2021-03-26,Main,STL,ANA,-1.5,5.5,3.2,7400,25,0.0,8.9,39.7,12.7,1.72
Logan,Couture,C,DTD,1,1,,2021-03-26,Main,SJS,ARI,+1.5,5.5,2.7,6600,17,1.6,6.2,15.2,12.6,1.91
Blake,Wheeler,W,,1,1,,2021-03-26,Main,WPG,CGY,+1.5,6,2.9,5900,17,1.6,10.9,16.0,12.4,2.10
Nicklas,Backstrom,C,,2,1,,2021-03-26,Main,WSH,NJD,-1.5,6,3.6,6800,11,0.0,10.4,25.8,12.4,1.82
Nikolaj,Ehlers,W,,2,2,,2021-03-26,Main,WPG,CGY,+1.5,6,2.9,6900,17,4.8,14.8,23.2,12.2,1.77
Torey,Krug,D,,1,1,,2021-03-26,Main,STL,ANA,-1.5,5.5,3.2,4700,30,1.6,5.4,12.8,12.2,2.59
David,Perron,W,,2,2,,2021-03-26,Main,STL,ANA,-1.5,5.5,3.2,7100,24,0.0,12.7,44.5,12.2,1.71
Matthew,Tkachuk,W,,2,1,,2021-03-26,Main,CGY,WPG,-1.5,6,3.1,6300,5,1.6,8.3,21.3,12.1,1.92
T.J.,Oshie,W,,3,1,,2021-03-26,Main,WSH,NJD,-1.5,6,3.6,5700,22,0.0,8.5,20.0,12.0,2.11
Ryan,Miller,G,,1,,,2021-03-26,Main,ANA,STL,+1.5,5.5,2.3,6600,22,-5.6,5.8,22.4,11.9,1.80
Brayden,Schenn,C,,1,1,,2021-03-26,Main,STL,ANA,-1.5,5.5,3.2,5500,25,0.0,1.0,3.2,11.9,2.16
Tomas,Hertl,C,,2,2,,2021-03-26,Main,SJS,ARI,+1.5,5.5,2.7,6300,17,9.6,15.5,19.7,11.7,1.85
Kyle,Palmieri,W,,2,1,,2021-03-26,Main,NJD,WSH,+1.5,6,2.5,5700,7,1.6,10.7,17.3,11.5,2.01
Johnny,Gaudreau,W,,1,1,,2021-03-26,Main,CGY,WPG,-1.5,6,3.1,7200,5,0.0,9.1,18.9,11.4,1.59
