first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Marc-Andre,Fleury,G,,1,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,8500,18,4.0,19.2,35.2,19.5,2.30
Jake,Oettinger,G,,1,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,7300,26,1.6,11.2,31.2,18.9,2.59
Pekka,Rinne,G,,1,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,6800,25,-5.6,14.4,38.4,18.1,2.66
Curtis,McElhinney,G,,1,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,8600,15,-12.0,5.4,32.8,16.8,1.95
Sergei,Bobrovsky,G,,1,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,7700,5,12.0,22.7,34.4,15.8,2.05
Steven,Stamkos,W,,2,1,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,7700,13,8.0,15.4,23.7,15.6,2.02
Aleksander,Barkov,C,,1,1,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,7400,18,9.6,25.6,41.6,15.0,2.03
Victor,Hedman,D,,1,1,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,6900,5,9.6,17.7,29.3,14.7,2.13
Robin,Lehner,G,,2,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,8500,18,0.8,15.0,28.0,14.4,1.69
Joe,Pavelski,C,,2,1,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,7200,27,0.0,8.3,19.7,14.2,1.97
Max,Pacioretty,W,,1,1,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,8200,20,12.8,23.5,34.4,14.1,1.72
Brayden,Point,C,,1,1,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,7500,13,6.4,14.7,30.1,13.9,1.85
Filip,Forsberg,W,,1,1,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,7100,2,3.2,3.5,4.8,13.5,1.90
