first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Alex,Nedeljkovic,G,,1,,,2021-03-22,Main,CAR,CBJ,-1.5,5.5,3,8200,10,8.0,25.3,39.2,20.8,2.53
Connor,McDavid,C,,1,1,,2021-03-22,Main,EDM,MTL,+1.5,6,2.9,9300,21,14.4,26.4,36.5,20.0,2.15
Martin,Jones,G,,1,,,2021-03-22,Main,SJS,LAK,-1.5,6,3.1,7100,21,-8.0,17.0,30.4,19.7,2.77
Keith,Kinkaid,G,,1,,,2021-03-22,Main,NYR,BUF,-1.5,5.5,3.3,7500,31,0.0,16.3,34.4,19.3,2.57
Connor,Hellebuyck,G,,1,,,2021-03-22,Main,WPG,VAN,-1.5,6,3.1,7500,3,9.6,18.1,28.8,18.6,2.48
Mike,Smith,G,,1,,,2021-03-22,Main,EDM,MTL,+1.5,6,2.9,7700,22,2.4,20.2,27.2,18.1,2.35
Leon,Draisaitl,C,,2,1,,2021-03-22,Main,EDM,MTL,+1.5,6,2.9,8200,21,1.6,18.1,26.6,18.1,2.21
Cam,Talbot,G,,1,,,2021-03-22,Main,MIN,ANA,-1.5,5.5,3.3,8000,29,2.4,18.4,40.0,17.9,2.24
Philipp,Grubauer,G,,1,,,2021-03-22,Main,COL,ARI,-1.5,5.5,3.3,8600,30,23.2,31.2,44.8,17.9,2.08
Jordan,Binnington,G,,1,,,2021-03-22,Main,STL,VGK,+1.5,5.5,2.6,7400,9,4.0,15.5,32.0,17.7,2.39
Robin,Lehner,G,,1,,,2021-03-22,Main,VGK,STL,-1.5,5.5,2.9,8500,13,0.8,15.0,28.0,17.6,2.07
Nathan,MacKinnon,C,,1,1,,2021-03-22,Main,COL,ARI,-1.5,5.5,3.3,8800,8,16.8,23.0,34.9,17.1,1.94
Artemi,Panarin,W,,2,1,,2021-03-22,Main,NYR,BUF,-1.5,5.5,3.3,7700,29,6.4,17.6,31.2,16.5,2.14
Antti,Raanta,G,,1,,,2021-03-22,Main,ARI,COL,+1.5,5.5,2.2,6800,6,-2.4,18.4,29.6,16.5,2.42
Mikko,Rantanen,W,,1,1,,2021-03-22,Main,COL,ARI,-1.5,5.5,3.3,8400,28,14.4,27.6,51.7,16.4,1.95
Semyon,Varlamov,G,,1,,,2021-03-22,Main,NYI,PHI,-1.5,5.5,2.9,8300,14,3.2,17.4,33.6,16.3,1.97
Thatcher,Demko,G,,1,,,2021-03-22,Main,VAN,WPG,+1.5,6,2.9,7700,15,12.0,28.3,39.2,16.2,2.11
Evander,Kane,W,,1,1,,2021-03-22,Main,SJS,LAK,-1.5,6,3.1,7300,25,4.8,16.1,36.5,16.0,2.18
Brian,Elliott,G,,2,,,2021-03-22,Main,PHI,NYI,+1.5,5.5,2.7,7000,5,-13.6,-0.6,16.8,15.7,2.24
Dougie,Hamilton,D,,1,1,,2021-03-22,Main,CAR,CBJ,-1.5,5.5,3,6500,21,12.8,19.2,25.6,15.6,2.40
Mika,Zibanejad,C,,1,1,,2021-03-22,Main,NYR,BUF,-1.5,5.5,3.3,7200,25,3.2,26.1,68.9,15.6,2.17
Mark,Stone,W,,1,1,,2021-03-22,Main,VGK,STL,-1.5,5.5,2.9,7600,23,3.2,17.0,33.6,15.4,2.02
Joonas,Korpisalo,G,,1,,,2021-03-22,Main,CBJ,CAR,+1.5,5.5,2.5,6900,20,-1.6,15.7,24.0,15.2,2.20
Jacob,Markstrom,G,,2,,,2021-03-22,Main,CGY,OTT,-1.5,6,3.3,7600,27,-9.6,16.2,27.2,15.2,2.00
