date,name,position,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,lmevixG/60,pplmevixG/60,implied_team_score,FP/60
21_01_20,Adam Gaudette,C,0.9755568803858868,1.3657796325402414,7.024009538778385,1.3657796325402414,0.7726410492656224,0.7611608880571163,0.6294332528540517,2.9,16.134453781512608
21_01_20,Adam Henrique,C,1.1661807580174977,0.728862973760936,6.122448979591862,2.62390670553937,0.6778425655976705,0.7194853620835444,0.6521209512788155,2.5,0.0
21_01_20,Alex Chiasson,W,0.3957566096850454,0.3957566096850454,4.551201011378023,0.7915132193700908,0.4175232232177229,0.5028963701731761,0.6767525699990253,2.9,14.436090225563913
21_01_20,Alex Tuch,W,0.4721517880563089,0.6295357174084119,10.07257147853459,2.5181428696336474,0.9332867010579708,0.6344013715463168,0.7736669932869915,3.2,113.66782006920394
21_01_20,Alexander Kerfoot,C,0.4633801003990205,1.5446003346634016,5.715021238254587,2.316900501995103,0.630196936542668,0.901943745047245,0.0,3.6,15.058823529412203
21_01_20,Antoine Roussel,W,0.2000889284126282,1.0004446420631412,5.402401067140963,1.8008003557136545,0.5642507781236118,0.8653560236281217,0.0,2.9,10.786516853932584
21_01_20,Artturi Lehkonen,W,0.4833945036254607,0.4833945036254607,8.056575060424345,2.09470951571033,0.6090770745680805,0.4783056614147926,0.0,3.1,6.4214046822742485
21_01_20,Auston Matthews,C,1.3917801701064667,0.8564801046809024,11.776601439362407,3.4259204187236096,1.1027181347766617,0.5399265511868832,0.4285542842063696,3.6,53.96252602359398
21_01_20,Bo Horvat,C,0.644122383252818,1.0305958132045088,7.214170692431561,3.2206119162640903,0.8695652173913042,0.6702975381529553,0.5812483156455502,2.9,99.8193189715094
21_01_20,Brandon Sutter,C,0.3361501470656883,0.6723002941313767,6.386852794248079,1.680750735328442,0.5109482235398463,0.5339360858262537,0.0,2.9,13.44224037339588
21_01_20,Brayden Schenn,C,0.8967014197772544,1.1529018254278989,5.380208518663526,2.049603245205153,0.4598797281429062,0.6936218821975051,0.4901388611823128,3.4,50.38674033149255
21_01_20,Brendan Gallagher,W,1.0882297373889995,1.2242584545626245,14.963158889098745,0.9522010202153746,1.3548460230493045,0.7836045601220037,0.4831606962359741,3.1,107.63306908267027
21_01_20,Brock Boeser,W,1.1762303451092444,1.4702879313865556,8.380641208903366,1.0292015519705888,0.7072084949969332,0.7144620261813726,0.621837496244143,2.9,109.9534883720915
21_01_20,Carter Rowney,C,0.3855008834395246,1.5420035337580984,2.6985061840766726,3.4695079509557214,0.4645285645446272,0.7943255562433477,0.0,2.5,86.96864111498259
21_01_20,Chandler Stephenson,C,0.4560425639726398,1.9761844438814395,5.168482391689918,1.8241702558905597,0.4530022802128222,1.0206240127848014,0.0,3.2,14.16974169741736
21_01_20,Christian Dvorak,C,0.722224451310035,0.8666693415720421,6.0666853910042935,1.8777835734060917,0.8522248525458411,0.8013712595279068,0.5506661677799776,2.3,33.26275264677588
21_01_20,Christian Fischer,W,0.3941533913614727,0.1970766956807363,6.700607653145036,1.5766135654458908,0.6464115618328151,0.7362659494327055,0.0,2.3,7.922971114167771
21_01_20,Clayton Keller,W,1.0545256726785746,0.7532326233418388,8.586851906096962,0.9038791480102067,0.8496463991295944,0.5787302159089742,0.5520310058462378,2.3,11.86405767250236
21_01_20,Connor McDavid,C,1.5325168642347289,1.2967450389678474,10.37396031174278,0.4715436505337627,0.910079245530162,0.6932947657494989,0.5536135644209156,2.9,47.107806691449184
21_01_20,Conor Garland,W,1.0721123165283948,1.2252712188895936,9.036375239310754,0.7657945118059961,0.8393107849393716,0.6503279427875313,0.553894684681595,2.3,19.05181918412395
21_01_20,Danton Heinen,W,0.6551708448974028,0.9827562673461044,8.353428272441887,2.129305245916559,0.7698257427544483,0.6734937735051556,0.4166163871380892,2.5,16.71988388969526
21_01_20,David Perron,W,0.5335902471560362,1.0671804943120724,6.403082965872435,1.0671804943120724,0.4882350761477732,0.6360059693872009,0.4830500241810961,3.4,10.70631970260243
21_01_20,Derek Grant,C,0.7578548497447471,1.1367822746171208,7.7680122098836595,2.0841008367980547,0.8563759802115644,0.5984018484098791,0.6074875976253421,2.5,36.84434968017049
21_01_20,Derick Brassard,W,0.1844262295081966,1.4754098360655727,6.639344262295077,1.1065573770491797,0.536680327868852,0.7352132515393455,0.6295522989492248,2.3,0.0
21_01_20,Devin Shore,W,0.7761547997628403,0.5821160998221303,5.045006198458463,1.3582708995849706,0.3783754648843846,0.5224702493398452,0.0,2.9,8.216833095577769
21_01_20,Dominik Kahun,W,0.4789781798829178,1.756253326237365,7.02501330494946,2.0755721128259768,0.5843533794571596,0.8100165718736592,0.3488186607585328,2.9,0.0
21_01_20,Drake Caggiula,W,0.8966376089663771,1.0759651307596527,8.24906600249067,1.9726027397260295,0.9450560398505616,0.7549556658755465,0.0,2.3,65.1768033946248
21_01_20,Elias Pettersson,C,0.6843846241587757,1.5056461731493065,5.885707767765471,2.6006615718033474,0.784304779285957,0.6759138840368607,0.6025634251718871,2.9,9.157392686804611
21_01_20,Evander Kane,W,0.7570181894648303,0.8831878877089687,10.09357585953107,1.0093575859531072,0.8554305540952583,0.7420506286337296,0.6014920996401073,2.6,12.963240810202766
21_01_20,Ilya Mikheyev,W,0.4544306993183552,1.514768997727851,9.845998485231028,1.514768997727851,0.8149457207775835,0.8095693529297872,0.0,3.6,30.884718498658607
21_01_20,Ivan Barbashev,W,0.5497861942577879,1.0995723885155757,5.681124007330475,1.2828344532681717,0.5589492974954177,0.673592134950713,0.0,3.4,0.0
