date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
19_12_07,PIT,Evgeni Malkin,C,16.616666666667,1,2,3,2,0.31,2.8666666666667,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.6,0.0,19.4833333333337,37.6,115.79127459366762
19_12_07,PIT,Jake Guentzel,L,16.416666666667,1,2,2,0,0.24,2.35,0.0,0.0,0.0,0.0,0.0,0.83333333333333,0.0,0.0,0.0,0.0,0.0,31.2,0.0,0.0,19.60000000000033,31.2,95.51020408163106
19_12_07,T.B,Carter Verhaeghe,C,11.85,1,2,4,0,0.23,0.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,0.0,0.0,12.63333333333333,34.4,163.37730870712406
19_12_07,T.B,Alex Killorn,L,11.466666666667,1,1,3,0,0.3,3.6666666666667,0.0,2.0,1.0,0.0,0.28,3.3666666666667,0.0,0.0,1.0,0.0,0.08,24.8,18.6,1.6,18.5000000000004,45.00000000000001,145.9459459459428
19_12_07,NSH,Nick Bonino,C,11.55,1,1,1,0,0.07,2.85,0.0,0.0,0.0,0.0,0.0,1.5666666666667,0.0,0.0,0.0,1.0,0.0,21.6,0.0,1.6,15.9666666666667,23.200000000000003,87.18162839248417
19_12_07,PHI,James van Riemsdyk,L,9.4333333333333,0,2,0,0,0.0,1.0833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.5166666666666,16.0,91.28367670364558
19_12_07,VAN,Antoine Roussel,L,13.333333333333,2,0,3,1,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.400000000000002,0.0,0.0,13.333333333333,30.400000000000002,136.80000000000342
19_12_07,T.B,Tyler Johnson,C,7.6333333333333,2,0,3,1,0.25,2.5166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.400000000000002,0.0,0.0,10.15,30.400000000000002,179.70443349753694
19_12_07,NSH,Mattias Ekholm,D,18.883333333333,0,2,1,0,0.06,3.6833333333333,0.0,0.0,1.0,0.0,0.11,1.6666666666667,0.0,0.0,0.0,0.0,0.0,17.6,1.6,0.0,24.233333333333,19.200000000000003,47.53782668500754
19_12_07,BUF,Johan Larsson,C,13.066666666667,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,14.866666666667001,16.0,64.57399103138869
19_12_07,COL,Joonas Donskoi,R,11.816666666667,0,2,0,0,0.0,0.41666666666667,0.0,0.0,0.0,0.0,0.0,0.76666666666667,0.0,0.0,0.0,1.0,0.0,16.0,0.0,1.6,13.00000000000034,17.6,81.23076923076712
19_12_07,VAN,Josh Leivo,L,17.416666666667,2,0,3,0,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,17.666666666667,28.8,97.81132075471515
19_12_07,NSH,Rocco Grimaldi,R,9.1666666666667,1,1,3,0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,9.1666666666667,24.8,162.32727272727215
19_12_07,PHI,Scott Laughton,C,14.05,1,1,3,0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,17.1,24.8,87.01754385964912
19_12_07,PIT,Chad Ruhwedel,D,14.533333333333,1,1,2,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,2.4333333333333,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,16.9666666666663,23.2,82.04322200393105
19_12_07,FLA,Aleksander Barkov,C,13.3,0,2,1,3,0.05,3.2833333333333,0.0,0.0,0.0,0.0,0.0,1.9666666666667,0.0,0.0,0.0,0.0,0.0,22.400000000000002,0.0,0.0,18.55,22.400000000000002,72.45283018867926
19_12_07,BUF,Rasmus Ristolainen,D,20.25,0,2,0,0,0.01,4.2833333333333,0.0,0.0,0.0,0.0,0.0,1.1833333333333,0.0,0.0,0.0,1.0,0.0,16.0,0.0,1.6,25.7166666666666,17.6,41.06286454957885
19_12_07,VAN,Jake Virtanen,R,12.333333333333,0,2,1,0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,12.333333333333,17.6,85.62162162162394
19_12_07,CAR,Sebastian Aho,C,11.283333333333,1,1,3,0,0.16,1.9833333333333,1.0,1.0,1.0,0.0,0.14,2.25,1.0,0.0,2.0,0.0,0.81,24.8,22.6,17.2,15.5166666666663,64.60000000000001,249.79591836735287
19_12_07,T.B,Anthony Cirelli,C,12.866666666667,0,2,1,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.1333333333333,0.0,0.0,0.0,0.0,0.0,19.200000000000003,0.0,0.0,17.0000000000003,19.200000000000003,67.76470588235176
19_12_07,CGY,Dillon Dube,C,13.366666666667,1,1,2,0,0.35,0.21666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,13.58333333333367,23.2,102.47852760735942
19_12_07,NSH,Dante Fabbro,D,19.683333333333,1,1,1,0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,19.833333333332998,21.6,65.34453781512717
19_12_07,VAN,Troy Stecher,D,16.5,0,2,1,0,0.03,0.25,0.0,0.0,0.0,0.0,0.0,1.6166666666667,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,18.3666666666667,17.6,57.49546279491823
