date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
19_11_22,PIT,Evgeni Malkin,C,15.916666666667,0.0,1.0,4.0,1.0,0.5,2.9166666666667,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.6,0.0,18.833333333333698,17.6,56.07079646017591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,OTT,Tyler Ennis,C,10.883333333333,1.0,0.0,4.0,0.0,0.31,2.85,0.0,0.0,1.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,18.4,1.6,0.0,13.733333333333,20.0,87.37864077670115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,PIT,Bryan Rust,R,14.733333333333,0.0,1.0,3.0,1.0,0.27,2.9166666666667,0.0,0.0,0.0,0.0,0.0,2.7166666666667,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,20.3666666666664,14.4,42.42225859247191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,PIT,Alex Galchenyuk,C,11.383333333333,0.0,1.0,1.0,1.0,0.1,0.68333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,12.06666666666633,11.2,55.69060773480818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,NYR,Jacob Trouba,D,18.066666666667,1.0,0.0,5.0,1.0,0.1,1.0166666666667,0.0,0.0,1.0,0.0,0.02,1.25,0.0,0.0,0.0,0.0,0.0,21.6,1.6,0.0,20.3333333333337,23.200000000000003,68.45901639344139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,OTT,Chris Tierney,C,14.666666666667,0.0,1.0,3.0,0.0,0.18,1.5333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,17.2000000000003,12.8,44.651162790696894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,PIT,Jake Guentzel,C,16.333333333333,1.0,0.0,3.0,0.0,0.12,2.9166666666667,0.0,0.0,1.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1.6,0.0,19.2499999999997,18.400000000000002,57.35064935065025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,OTT,Anthony Duclair,L,15.016666666667,0.0,1.0,0.0,0.0,0.03,2.85,1.0,0.0,3.0,0.0,0.16,0.65,0.0,0.0,0.0,0.0,0.0,8.0,17.3,0.0,18.516666666667,25.3,81.98019801980051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,PIT,Jared McCann,C,12.95,1.0,0.0,4.0,0.0,0.15,0.68333333333333,0.0,0.0,0.0,0.0,0.0,0.61666666666667,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,14.25,18.4,77.4736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_11_22,PIT,Sam Lafferty,C,9.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.049999999999999,8.0,47.76119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
