date,team,name,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
21_02_06,CGY,Milan Lucic,12.183333333333,1,1,4,1,0.45,1.6166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,13.799999999999699,28.0,121.73913043478525
21_02_06,CGY,Mikael Backlund,16.15,1,1,6,1,0.46,1.7666666666667,0.0,1.0,1.0,0.0,0.05,3.65,0.0,0.0,0.0,0.0,0.0,31.200000000000003,10.1,0.0,21.5666666666667,41.300000000000004,114.89953632148362
21_02_06,NYI,Jordan Eberle,15.916666666667,2,0,6,0,0.58,1.3833333333333,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,33.6,1.6,0.0,17.3000000000003,35.2,122.08092485548922
21_02_06,TOR,Zach Hyman,14.966666666667,1,1,1,0,0.12,3.6833333333333,0.0,0.0,0.0,0.0,0.0,2.2333333333333,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,20.8833333333336,21.6,62.059058260174794
21_02_06,CGY,Johnny Gaudreau,13.7,1,1,1,0,0.04,2.5166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,16.2166666666667,21.6,79.9177800616648
21_02_06,PIT,Jake Guentzel,22.55,1,1,3,0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,22.55,24.8,65.98669623059867
21_02_06,NYI,Michael Dal Colle,13.566666666667,0,2,0,1,0.0,0.36666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,13.933333333333671,17.6,75.7894736842087
21_02_06,CGY,Andrew Mangiapane,14.75,0,2,0,0,0.0,1.6166666666667,0.0,0.0,0.0,0.0,0.0,3.1166666666667,0.0,0.0,0.0,2.0,0.0,16.0,0.0,3.2,19.4833333333334,19.2,59.127459366980126
21_02_06,TOR,Mitchell Marner,15.35,0,2,1,0,0.42,5.4666666666667,0.0,1.0,2.0,0.0,0.2,0.86666666666667,0.0,0.0,0.0,0.0,0.0,17.6,11.7,0.0,21.68333333333337,29.3,81.07609531129886
21_02_06,TOR,Auston Matthews,14.733333333333,2,0,4,1,0.51,5.4666666666667,0.0,0.0,0.0,0.0,0.16,0.4,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,20.5999999999997,32.0,93.20388349514698
21_02_06,TOR,Mikko Lehtonen,12.1,0,2,0,0,0.0,2.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,14.1666666666667,16.0,67.76470588235279
21_02_06,CGY,Mark Giordano,16.116666666667,0,1,1,2,0.04,1.6166666666667,0.0,1.0,0.0,0.0,0.0,4.0333333333333,0.0,0.0,0.0,0.0,0.0,12.8,8.5,0.0,21.766666666667,21.3,58.71362940275561
21_02_06,PIT,Evgeni Malkin,18.35,1,0,2,1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,18.48333333333333,16.8,54.535617673579814
21_02_06,PIT,Sidney Crosby,20.75,0,1,3,0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,20.75,12.8,37.01204819277109
21_02_06,PIT,Kris Letang,21.9,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7833333333333,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,23.683333333333298,9.6,24.320900774102782
21_02_06,NYI,Cal Clutterbuck,11.283333333333,1,0,1,0,0.63,0.86666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,12.14999999999967,13.6,67.16049382716233
21_02_06,ANA,Kevin Shattenkirk,18.3,0,1,1,0,0.05,3.75,0.0,0.0,2.0,0.0,0.17,0.016666666666667,0.0,0.0,0.0,0.0,0.0,9.6,3.2,0.0,22.066666666666666,12.8,34.803625377643506
21_02_06,S.J,Logan Couture,17.383333333333,1,0,1,0,0.26,0.75,0.0,0.0,0.0,0.0,0.0,2.6833333333333,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,20.8166666666663,13.6,39.19935948759076
21_02_06,TOR,Wayne Simmonds,10.133333333333,1,0,4,0,0.45,3.6333333333333,1.0,0.0,1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,18.4,14.1,0.0,13.7666666666663,32.5,141.64648910412
21_02_06,NYI,Matt Martin,9.7833333333333,0,1,1,0,0.15,0.91666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,10.699999999999969,9.6,53.831775700934735
21_02_06,TOR,John Tavares,13.566666666667,0,1,0,0,0.08,2.2666666666667,0.0,0.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.6,0.0,15.8333333333337,9.6,36.37894736842021
21_02_06,S.J,Evander Kane,17.75,0,1,1,0,0.05,1.25,0.0,0.0,0.0,0.0,0.0,1.3333333333333,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,20.3333333333333,9.6,28.327868852459062
21_02_06,NYI,Casey Cizikas,10.85,0,1,1,0,0.07,0.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,11.68333333333333,9.6,49.30099857346649
21_02_06,CGY,Christopher Tanev,17.016666666667,0,1,1,3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,22.366666666667,14.4,38.628912071534444
