date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_01_08,WSH,Dmitry Orlov,D,19.2,0,0,1,1,0.02,3.1833333333333,0.0,0.0,1.0,0.0,0.06,0.66666666666667,0.0,0.0,0.0,0.0,0.0,3.2,1.6,0.0,23.04999999999997,4.800000000000001,12.494577006507612
20_01_08,WSH,Richard Panik,R,11.066666666667,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.066666666667,0.0,0.0
20_01_08,WSH,Nick Jensen,D,12.216666666667,0,0,1,0,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,13.066666666667,1.6,7.346938775510017
20_01_08,WSH,Nic Dowd,C,10.183333333333,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,1.0,1.0,0.1,1.6,0.0,3.2,12.033333333333,4.800000000000001,23.933518005540833
20_01_08,WSH,Radko Gudas,D,16.75,0,0,2,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.66666666666667,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,17.41666666666667,3.2,11.023923444976075
20_01_08,TOR,Martin Marincin,D,11.566666666667,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,13.766666666667,1.6,6.973365617433245
20_01_08,TOR,Justin Holl,D,14.833333333333,0,0,1,1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,15.9166666666663,3.2,12.06282722513117
20_01_08,PHI,Tyler Pitlick,C,12.933333333333,0,0,0,1,0.0,1.0333333333333,0.0,0.0,0.0,0.0,0.0,3.2333333333333,0.0,0.0,0.0,1.0,0.0,1.6,0.0,1.6,17.199999999999598,3.2,11.16279069767468
20_01_08,L.A,Derek Forbort,D,14.233333333333,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,15.383333333333,3.2,12.48104008667416
20_01_08,PHI,Kevin Hayes,C,9.5,0,0,3,0,0.48,2.0,0.0,0.0,0.0,0.0,0.0,4.8666666666667,1.0,0.0,1.0,0.0,0.26,4.800000000000001,0.0,15.6,16.3666666666667,20.4,74.7861507128308
20_01_08,TOR,Zach Hyman,L,16.95,0,0,1,0,0.03,1.9,0.0,0.0,0.0,0.0,0.0,1.5833333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,20.433333333333298,1.6,4.698205546492668
20_01_08,DAL,Tyler Seguin,C,15.266666666667,0,0,2,0,0.75,1.0833333333333,0.0,1.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,3.2,8.5,0.0,17.3000000000003,11.7,40.57803468208022
20_01_08,WPG,Anthony Bitetto,D,9.1333333333333,0,0,1,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.4333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,12.5666666666666,1.6,7.639257294429748
20_01_08,DAL,Taylor Fedun,D,12.433333333333,0,0,1,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.61666666666667,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,13.04999999999967,3.2,14.712643678161292
20_01_08,WPG,Adam Lowry,C,12.9,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.8666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7666666666667,0.0,0.0
20_01_08,WPG,Nick Shore,C,6.3833333333333,0,0,1,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,6.3833333333333,1.6,15.039164490861697
20_01_08,DAL,Jamie Oleksiak,D,15.75,0,0,1,3,0.08,0.3,0.0,0.0,0.0,0.0,0.0,1.6333333333333,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,17.6833333333333,6.4,21.71536286522153
20_01_08,PHI,Scott Laughton,C,9.1666666666667,0,0,3,0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,4.1333333333333,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,13.3,4.800000000000001,21.654135338345867
20_01_08,TOR,Cody Ceci,D,15.366666666667,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.466666666667,0.0,0.0
20_01_08,DAL,Radek Faksa,C,14.35,0,0,1,0,0.08,2.0166666666667,0.0,0.0,0.0,0.0,0.0,1.2833333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,17.65,1.6,5.439093484419264
20_01_08,WSH,Brendan Leipsic,L,9.1333333333333,0,0,0,0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.183333333333302,0.0,0.0
20_01_08,L.A,Nikolai Prokhorkin,L,13.55,0,0,5,1,0.31,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,15.65,9.6,36.80511182108626
20_01_08,L.A,Ben Hutton,D,14.683333333333,0,0,1,0,0.02,0.53333333333333,0.0,0.0,0.0,0.0,0.0,0.46666666666667,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,15.683333333333,1.6,6.12114771519673
20_01_08,TOR,Alexander Kerfoot,C,15.716666666667,0,0,0,0,0.07,1.25,0.0,0.0,0.0,0.0,0.0,0.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93333333333367,0.0,0.0
20_01_08,DAL,Mattias Janmark,C,13.183333333333,0,0,4,0,0.23,2.0166666666667,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,16.1499999999997,6.4,23.77708978328218
20_01_08,WPG,Andrew Copp,C,13.366666666667,0,0,1,1,0.08,0.96666666666667,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,1.0,0.0,3.2,0.0,1.6,18.13333333333367,4.800000000000001,15.882352941176178
20_01_08,DAL,Jason Dickinson,C,13.4,0,0,1,0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.6333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,15.0333333333333,1.6,6.385809312638596
20_01_08,WPG,Josh Morrissey,D,21.066666666667,0,0,1,2,0.07,1.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,23.516666666667,4.800000000000001,12.246633593196142
