date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_02_26,PIT,Evgeni Malkin,C,16.8,0,1,3,0,0.18,3.7,0.0,0.0,1.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,12.8,1.6,0.0,20.5,14.4,42.146341463414636
20_02_26,VGK,Paul Stastny,C,10.7,0,1,2,0,0.21,3.5,0.0,0.0,1.0,0.0,0.06,1.8,0.0,0.0,0.0,0.0,0.0,11.2,1.6,0.0,16.0,12.799999999999999,47.99999999999999
20_02_26,PIT,Patric Hornqvist,R,15.583333333333,0,1,4,1,0.39,3.7,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.6,0.0,19.283333333333,17.6,54.76231633535099
20_02_26,BUF,Kyle Okposo,R,15.533333333333,0,1,2,0,0.48,0.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,15.666666666666329,11.2,42.893617021277514
20_02_26,L.A,Trevor Lewis,C,11.7,1,0,3,0,0.45,0.15,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,1.0,0.0,0.0,16.8,0.0,1.6,13.0,18.400000000000002,84.92307692307693
20_02_26,BUF,Michael Frolik,R,8.1333333333333,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666667,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,10.8,11.2,62.22222222222222
20_02_26,VGK,Max Pacioretty,L,14.483333333333,1,0,3,0,0.16,3.5,0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,16.8,3.2,0.0,17.983333333333,20.0,66.72845227062218
20_02_26,VGK,Alec Martinez,D,20.2,0,1,4,3,0.09,1.9166666666667,0.0,1.0,0.0,0.0,0.0,2.1833333333333,0.0,0.0,0.0,1.0,0.0,19.200000000000003,8.5,1.6,24.299999999999997,29.300000000000004,72.3456790123457
20_02_26,BUF,Johan Larsson,C,15.05,0,1,1,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,16.75,11.2,40.11940298507462
20_02_26,PIT,Bryan Rust,R,15.65,1,0,3,0,0.22,3.7,0.0,0.0,1.0,0.0,0.06,0.63333333333333,0.0,0.0,0.0,0.0,0.0,16.8,1.6,0.0,19.98333333333333,18.400000000000002,55.24603836530443
20_02_26,COL,Joonas Donskoi,R,12.916666666667,0,1,2,2,0.08,0.73333333333333,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,14.399999999999999,0.0,0.0,14.25000000000033,14.399999999999999,60.63157894736701
20_02_26,VGK,William Karlsson,C,12.616666666667,0,1,0,0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.0166666666667,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.8333333333337,8.0,28.51485148514789
20_02_26,BUF,Zemgus Girgensons,C,13.25,1,0,1,0,0.12,0.016666666666667,0.0,0.0,0.0,0.0,0.0,1.5666666666667,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,14.833333333333368,13.6,55.01123595505605
20_02_26,BUF,Jake McCabe,D,13.766666666667,0,1,2,0,0.05,0.13333333333333,0.0,0.0,0.0,0.0,0.0,3.2833333333333,0.0,0.0,0.0,1.0,0.0,11.2,0.0,1.6,17.18333333333363,12.799999999999999,44.69447138700214
20_02_26,VGK,Shea Theodore,D,21.066666666667,1,0,2,0,0.05,3.7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,24.816666666667,15.2,36.749496306245305
20_02_26,COL,J.T. Compher,L,15.133333333333,1,0,2,0,0.11,4.0,0.0,1.0,1.0,0.0,0.08,2.1666666666667,0.0,0.0,0.0,0.0,0.0,15.2,10.1,0.0,21.2999999999997,25.299999999999997,71.26760563380383
20_02_26,BUF,Curtis Lazar,C,9.25,1,0,2,3,0.11,0.1,0.0,0.0,0.0,0.0,0.0,2.8166666666667,0.0,0.0,0.0,1.0,0.0,20.0,0.0,1.6,12.1666666666667,21.6,106.52054794520521
20_02_26,COL,Tyson Jost,C,12.35,0,1,3,0,0.17,3.7833333333333,0.0,0.0,2.0,0.0,0.44,1.5666666666667,0.0,0.0,0.0,1.0,0.0,12.8,3.2,1.6,17.7,17.6,59.661016949152554
20_02_26,L.A,Trevor Moore,C,15.183333333333,0,1,2,0,0.52,0.15,0.0,0.0,0.0,0.0,0.0,1.3333333333333,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,16.6666666666663,11.2,40.32000000000089
20_02_26,L.A,Blake Lizotte,C,11.883333333333,0,1,1,3,0.29,2.1166666666667,1.0,0.0,1.0,0.0,0.14,1.2833333333333,0.0,0.0,0.0,0.0,0.0,14.4,14.1,0.0,15.283333333333001,28.5,111.88658669574944
20_02_26,PIT,Patrick Marleau,C,11.633333333333,0,0,1,1,0.53,2.3,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,14.483333333333,3.2,13.256616800920904
20_02_26,L.A,Dustin Brown,R,19.05,0,0,1,0,0.06,1.3,0.0,0.0,0.0,0.0,0.0,0.36666666666667,0.0,0.0,0.0,0.0,0.02,1.6,0.0,0.0,20.716666666666672,1.6,4.633950120675784
