date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
20_02_07,ANA,Cam Fowler,D,22.666666666667,0.0,2.0,4.0,0.0,0.08,1.3666666666667,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.0,25.8833333333337,22.4,51.92530585962579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,BUF,Jimmy Vesey,L,15.416666666667,1.0,1.0,3.0,0.0,0.1,0.11666666666667,0.0,0.0,1.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,24.8,1.6,0.0,15.53333333333367,26.400000000000002,101.97424892703643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,BUF,Jack Eichel,C,19.7,0.0,2.0,1.0,1.0,0.72,1.35,0.0,0.0,0.0,0.0,0.0,0.43333333333333,0.0,0.0,0.0,0.0,0.0,19.200000000000003,0.0,0.0,21.48333333333333,19.200000000000003,53.622963537626084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,TOR,Mitchell Marner,R,17.283333333333,0.0,2.0,2.0,0.0,0.17,4.8,0.0,1.0,1.0,0.0,0.07,2.2333333333333,0.0,0.0,0.0,0.0,0.0,19.2,10.1,0.0,24.3166666666663,29.299999999999997,72.29609321453158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,MIN,Joel Eriksson Ek,C,11.983333333333,2.0,0.0,4.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,2.3166666666667,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,14.2999999999997,30.4,127.55244755245022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,TOR,Auston Matthews,C,18.866666666667,1.0,1.0,5.0,4.0,0.37,4.6666666666667,0.0,2.0,1.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,34.4,18.6,0.0,23.5333333333337,53.0,135.12747875353898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,TOR,Jason Spezza,C,11.733333333333,1.0,0.0,3.0,3.0,0.31,3.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,15.5666666666663,21.6,83.254817987154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,MIN,Ryan Suter,D,17.4,0.0,1.0,0.0,2.0,0.04,2.5,0.0,0.0,0.0,0.0,0.0,4.4333333333333,0.0,0.0,0.0,1.0,0.0,11.2,0.0,1.6,24.3333333333333,12.799999999999999,31.561643835616483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,ANA,Ryan Getzlaf,C,19.133333333333,0.0,1.0,2.0,1.0,0.07,1.3666666666667,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,12.799999999999999,0.0,0.0,22.7999999999997,12.799999999999999,33.684210526316235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_07,NYR,Marc Staal,D,14.116666666667,0.0,1.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.2666666666667,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,15.383333333333699,9.6,37.44312026002078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
