date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_02_10,NYI,Josh Bailey,R,15.333333333333,0,3,3,2,0.37,0.71666666666667,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,17.44999999999967,32.0,110.02865329513102
20_02_10,NYI,Brock Nelson,C,16.283333333333,0,3,1,2,0.24,1.9,0.0,0.0,1.0,0.0,0.13,1.4,0.0,0.0,0.0,0.0,0.0,28.8,1.6,0.0,19.583333333332998,30.400000000000002,93.14042553191649
20_02_10,PHI,James van Riemsdyk,L,11.05,1,1,2,0,0.18,3.3833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,14.433333333333302,23.2,96.44341801385703
20_02_10,CGY,Zac Rinaldo,C,11.05,1,1,3,2,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,11.05,28.0,152.03619909502262
20_02_10,T.B,Nikita Kucherov,R,15.266666666667,2,0,7,0,0.32,3.0666666666667,0.0,0.0,1.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,35.2,1.6,0.0,18.333333333333698,36.800000000000004,120.43636363636124
20_02_10,VAN,J.T. Miller,C,13.833333333333,1,1,1,0,0.17,4.15,0.0,0.0,1.0,0.0,0.08,0.18333333333333,0.0,0.0,0.0,0.0,0.0,21.6,1.6,0.0,18.16666666666633,23.200000000000003,76.6238532110106
20_02_10,CGY,Mark Jankowski,C,11.483333333333,1,1,1,1,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.38333333333333,0.0,0.0,0.0,1.0,0.0,23.200000000000003,0.0,1.6,12.11666666666633,24.800000000000004,122.80605226960454
20_02_10,T.B,Brayden Point,C,15.433333333333,0,2,2,1,0.09,2.2,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,17.783333333332997,20.8,70.17806935332841
20_02_10,NYI,Anthony Beauvillier,L,13.983333333333,2,0,4,1,0.53,0.71666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,14.69999999999967,32.0,130.6122448979621
20_02_10,MTL,Nate Thompson,C,8.55,0,1,1,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,14.8,9.6,38.91891891891891
20_02_10,VAN,Alexander Edler,D,15.5,0,1,0,4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.7833333333333,0.0,0.0,1.0,0.0,0.0,14.4,0.0,1.6,21.4833333333333,16.0,44.685802948021795
20_02_10,PHI,Matt Niskanen,D,13.233333333333,0,1,2,0,0.05,2.65,0.0,0.0,1.0,0.0,0.03,4.95,0.0,0.0,0.0,0.0,0.0,11.2,1.6,0.0,20.833333333333,12.799999999999999,36.86400000000058
20_02_10,S.J,Marc-Edouard Vlasic,D,15.183333333333,0,1,5,0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4.6333333333333,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,19.8166666666663,16.0,48.44407064760392
20_02_10,NYI,Leo Komarov,R,16.8,1,0,2,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,1.0,0.0,0.03,18.4,0.0,1.6,19.400000000000002,20.0,61.85567010309278
20_02_10,CGY,Milan Lucic,L,13.7,0,1,2,1,0.08,2.3,1.0,1.0,2.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,12.799999999999999,24.2,0.0,16.0,37.0,138.75
20_02_10,ARI,Phil Kessel,R,10.766666666667,0,1,0,0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.416666666667,8.0,33.2947976878605
20_02_10,WSH,Nicklas Backstrom,C,18.266666666667,0,1,1,1,0.01,2.9166666666667,0.0,1.0,1.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,11.2,10.1,0.0,21.1833333333337,21.299999999999997,60.330448465773934
20_02_10,NSH,Nick Bonino,C,11.516666666667,0,1,4,0,0.25,4.0833333333333,0.0,0.0,0.0,0.0,0.0,4.0833333333333,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,19.6833333333336,14.4,43.89500423369966
20_02_10,PHI,Justin Braun,D,11.166666666667,0,1,3,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,15.216666666666999,12.8,50.470974808323106
20_02_10,PHI,Jakub Voracek,R,11.05,0,1,0,0,0.0,6.8333333333333,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.6,0.0,17.8833333333333,9.6,32.20876048462261
20_02_10,WSH,Carl Hagelin,L,12.633333333333,0,1,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8833333333333,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,14.5166666666663,9.6,39.67853042480008
20_02_10,WSH,Lars Eller,C,18.633333333333,1,0,2,0,0.39,1.5833333333333,0.0,0.0,0.0,0.0,0.0,0.73333333333333,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,20.94999999999963,15.2,43.53221957040649
20_02_10,S.J,Erik Karlsson,D,18.833333333333,1,0,4,1,0.15,0.38333333333333,0.0,1.0,0.0,0.0,0.0,4.6333333333333,0.0,0.0,0.0,0.0,0.0,20.0,8.5,0.0,23.849999999999632,28.5,71.69811320754827
20_02_10,NYI,Jordan Eberle,R,12.733333333333,1,0,2,1,0.16,1.9,0.0,0.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1.6,0.0,14.633333333333,18.400000000000002,75.44419134396527
20_02_10,WSH,John Carlson,D,24.15,1,0,4,0,0.19,3.05,0.0,1.0,1.0,0.0,0.06,0.73333333333333,0.0,0.0,0.0,0.0,0.0,18.4,10.1,0.0,27.93333333333333,28.5,61.21718377088306
20_02_10,ARI,Derek Stepan,C,12.016666666667,1,0,2,0,0.07,1.3833333333333,0.0,1.0,0.0,0.0,0.0,3.1,0.0,0.0,1.0,0.0,0.0,15.2,8.5,1.6,16.500000000000302,25.3,91.99999999999831
20_02_10,VAN,Jordie Benn,D,14.833333333333,1,0,3,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333,0.0,0.0,0.0,0.0,0.0,18.400000000000002,0.0,0.0,17.7666666666663,18.400000000000002,62.1388367729844
20_02_10,VAN,Antoine Roussel,L,10.583333333333,0,1,1,0,0.05,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,13.933333333333,9.6,41.33971291866128
20_02_10,T.B,Victor Hedman,D,23.966666666667,0,1,2,1,0.07,2.6833333333333,0.0,0.0,0.0,0.0,0.06,2.5166666666667,0.0,0.0,0.0,0.0,0.0,12.799999999999999,0.0,0.0,29.166666666667,12.799999999999999,26.33142857142827
20_02_10,NYI,Nick Leddy,D,21.266666666667,0,1,3,1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,1.0,0.0,14.4,0.0,1.6,23.616666666667,16.0,40.64925899788227
20_02_10,MTL,Tomas Tatar,L,11.7,0,1,3,0,0.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,16.9,12.8,45.443786982248525
20_02_10,NYI,Anders Lee,L,15.05,0,1,0,0,0.27,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.95,8.0,28.31858407079646
20_02_10,PHI,Tyler Pitlick,C,9.4333333333333,0,1,0,0,0.0,0.083333333333333,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,1.0,0.0,0.05,8.0,0.0,1.6,12.266666666666632,9.6,46.956521739130565
20_02_10,ARI,Taylor Hall,L,14.466666666667,1,0,5,0,0.28,5.6,0.0,0.0,1.0,0.0,0.03,0.31666666666667,0.0,0.0,0.0,0.0,0.0,20.0,1.6,0.0,20.38333333333367,21.6,63.58135731806928
20_02_10,NSH,Mikael Granlund,C,11.916666666667,1,0,2,1,0.29,5.3166666666667,0.0,0.0,0.0,0.0,0.0,4.7333333333333,0.0,0.0,0.0,1.0,0.0,16.8,0.0,1.6,21.966666666667,18.400000000000002,50.257966616084225
20_02_10,MTL,Brendan Gallagher,R,13.066666666667,1,0,3,0,0.47,3.9166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,16.9833333333337,16.8,59.35230618253061
20_02_10,CGY,Johnny Gaudreau,L,12.3,0,1,3,0,0.53,6.7833333333333,0.0,0.0,2.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,12.8,3.2,0.0,19.0833333333333,16.0,50.305676855895285
20_02_10,CGY,Tobias Rieder,C,11.6,1,0,3,0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,11.6,16.8,86.89655172413794
