date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
20_02_23,ANA,Adam Henrique,C,15.533333333333,2.0,2.0,4.0,3.0,0.38,1.7833333333333,0.0,0.0,2.0,0.0,0.27,0.95,0.0,0.0,0.0,0.0,0.0,51.2,3.2,0.0,18.2666666666663,54.400000000000006,178.68613138686493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,VGK,Mark Stone,R,17.8,0.0,4.0,1.0,0.0,0.14,0.81666666666667,0.0,0.0,0.0,0.0,0.0,0.11666666666667,0.0,0.0,0.0,0.0,0.0,33.6,0.0,0.0,18.73333333333334,33.6,107.61565836298928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,ANA,Nick Ritchie,L,13.35,2.0,2.0,3.0,2.0,0.47,0.86666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,14.21666666666667,48.0,202.57913247362245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,NYI,Anders Lee,L,15.533333333333,2.0,1.0,4.0,0.0,0.2,3.9166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,19.449999999999697,38.4,118.45758354755968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,VGK,William Karlsson,C,16.866666666667,3.0,0.0,3.0,0.0,0.24,1.1833333333333,0.0,0.0,0.0,0.0,0.0,1.5333333333333,0.0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,19.583333333333602,40.8,125.00425531914722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,PIT,Evgeni Malkin,C,15.4,1.0,1.0,3.0,0.0,0.39,3.6833333333333,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,19.0833333333333,24.8,77.97379912663769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,WSH,T.J. Oshie,R,14.516666666667,1.0,1.0,2.0,1.0,0.35,0.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,15.35000000000033,24.8,96.9381107491836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,BUF,Kyle Okposo,R,14.05,2.0,0.0,5.0,0.0,0.39,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,15.15,32.0,126.73267326732672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,WSH,Nicklas Backstrom,C,16.233333333333,0.0,2.0,0.0,1.0,0.1,0.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,17.06666666666633,17.6,61.87500000000122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_23,VGK,Max Pacioretty,L,16.916666666667,0.0,2.0,1.0,0.0,0.35,0.81666666666667,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,17.6,1.6,0.0,17.73333333333367,19.200000000000003,64.96240601503638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
