date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
19_10_13,VGK,Cody Eakin,C,11.583333333333,0.0,0.0,1.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666667,0.0,0.0,0.0,1.0,0.0,1.6,0.0,1.6,14.2499999999997,3.2,13.473684210526601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Gabriel Bourque,L,9.0333333333333,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.483333333333299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Brenden Dillon,D,19.416666666667,0.0,0.0,2.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.4166666666667,0.0,0.0,0.0,1.0,0.0,4.800000000000001,0.0,1.6,22.833333333333698,6.4,16.817518248174913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,L.A,Tyler Toffoli,C,13.0,0.0,0.0,1.0,0.0,0.11,2.0333333333333,0.0,0.0,0.0,0.0,0.0,0.63333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,15.666666666666629,1.6,6.127659574468101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,Jon Merrill,D,20.283333333333,0.0,0.0,1.0,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,21.883333333333002,4.800000000000001,13.160700685453362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,PIT,Erik Gudbranson,D,12.366666666667,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.2333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,16.6000000000003,1.6,5.783132530120378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Tim Heed,D,8.85,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,8.85,1.6,10.847457627118645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Anthony Bitetto,D,15.05,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Johnny Gaudreau,L,16.25,0.0,0.0,1.0,0.0,0.1,4.3666666666667,0.0,0.0,0.0,0.0,0.08,0.16666666666667,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,20.78333333333337,1.6,4.619085805934234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Tobias Rieder,C,10.716666666667,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.2,13.366666666667001,3.2,14.364089775560739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Adam Lowry,L,9.6,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,11.549999999999999,1.6,8.311688311688313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Mark Scheifele,C,15.216666666667,0.0,0.0,1.0,1.0,0.26,6.0333333333333,1.0,0.0,2.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,3.2,15.7,0.0,21.250000000000302,18.9,53.36470588235218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,Jonathan Marchessault,C,14.916666666667,0.0,0.0,1.0,0.0,0.25,1.3,0.0,1.0,2.0,0.0,0.08,0.066666666666667,0.0,0.0,0.0,0.0,0.0,1.6,11.7,0.0,16.283333333333665,13.299999999999999,49.007164790173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Barclay Goodrow,C,12.633333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5666666666667,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,16.1999999999997,3.2,11.851851851852071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,L.A,Ben Hutton,D,17.266666666667,0.0,0.0,3.0,2.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.6,20.6000000000003,9.6,27.96116504854328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,L.A,Joakim Ryan,D,16.3,0.0,0.0,2.0,2.0,0.06,0.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,16.63333333333333,6.4,23.086172344689384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
