date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_01_10,PIT,Dominik Kahun,C,16.5,0,3,3,0,0.39,1.7666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,18.2666666666667,28.8,94.59854014598523
20_01_10,PIT,Evgeni Malkin,C,17.45,1,1,3,1,0.14,2.1666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.400000000000002,0.0,0.0,19.6166666666667,26.400000000000002,80.74766355140174
20_01_10,PIT,Bryan Rust,R,16.216666666667,1,1,2,1,0.24,1.9,0.0,0.0,0.0,0.0,0.0,1.3166666666667,0.0,0.0,1.0,0.0,0.0,24.8,0.0,1.6,19.433333333333696,26.400000000000002,81.50943396226265
20_01_10,PIT,Teddy Blueger,C,17.0,1,1,4,1,0.43,0.41666666666667,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,1.0,0.0,0.03,28.0,0.0,1.6,20.266666666666673,29.6,87.6315789473684
20_01_10,PIT,John Marino,D,20.266666666667,0,2,1,1,0.07,1.7666666666667,0.0,0.0,1.0,0.0,0.04,1.9166666666667,0.0,0.0,0.0,0.0,0.0,19.200000000000003,1.6,0.0,23.9500000000004,20.800000000000004,52.108559498955294
20_01_10,CAR,Jake Gardiner,D,15.183333333333,0,1,1,0,0.03,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,17.883333333333,9.6,32.208760484623156
20_01_10,COL,Matt Calvert,L,13.733333333333,1,0,2,0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.4166666666667,0.0,0.0,1.0,0.0,0.02,15.2,0.0,1.6,16.1499999999997,16.8,62.41486068111571
20_01_10,CAR,Erik Haula,L,13.15,0,1,2,0,0.29,2.6333333333333,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,15.7833333333333,11.2,42.57655755015848
20_01_10,CAR,Ryan Dzingel,C,12.616666666667,0,1,0,1,0.0,3.2833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,15.900000000000299,9.6,36.22641509433894
20_01_10,COL,Gabriel Landeskog,L,17.166666666667,1,0,4,3,0.37,3.3833333333333,0.0,1.0,1.0,0.0,0.12,0.05,0.0,0.0,0.0,0.0,0.0,23.2,10.1,0.0,20.6000000000003,33.3,96.9902912621345
