date,team,name,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_01_28,STL,David Perron,17.983333333333,1,1,1,0,0.39,1.45,0.0,0.0,0.0,0.0,0.0,0.066666666666667,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,19.499999999999666,21.6,66.4615384615396
20_01_28,STL,Zach Sanford,14.1,1,1,4,1,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,14.1,28.0,119.14893617021276
20_01_28,OTT,Ron Hainsey,19.15,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1166666666667,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,22.266666666666698,11.2,30.179640718562833
20_01_28,STL,Alexander Steen,7.7,1,0,1,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0166666666667,0.0,0.0,0.0,1.0,0.0,13.6,0.0,1.6,8.7166666666667,15.2,104.62715105162484
20_01_28,CGY,Mikael Backlund,14.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63333333333333,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.63333333333333,8.0,32.801822323462424
20_01_28,STL,Alex Pietrangelo,22.916666666667,0,1,1,1,0.02,1.45,0.0,1.0,0.0,0.0,0.0,3.0833333333333,0.0,0.0,1.0,1.0,0.0,11.2,8.5,3.2,27.450000000000298,22.9,50.05464480874262
20_01_28,STL,Ryan O'Reilly,16.866666666667,0,1,1,0,0.1,1.4,0.0,0.0,1.0,0.0,0.1,2.4666666666667,0.0,0.0,0.0,0.0,0.0,9.6,1.6,0.0,20.7333333333337,11.2,32.411575562700385
20_01_28,CGY,Mark Jankowski,11.85,1,0,2,1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.76666666666667,0.0,0.0,0.0,0.0,0.07,16.8,0.0,0.0,12.616666666666669,16.8,79.89431968295904
20_01_28,BUF,Zemgus Girgensons,9.35,0,1,2,0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,11.95,11.2,56.23430962343096
20_01_28,CGY,Sam Bennett,14.65,0,1,1,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,14.65,11.2,45.87030716723549
20_01_28,BUF,Brandon Montour,18.1,0,1,0,0,0.0,1.2166666666667,0.0,0.0,0.0,0.0,0.0,2.9333333333333,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.6,22.25,9.6,25.8876404494382
20_01_28,BUF,Jack Eichel,16.25,1,0,3,0,0.26,5.9833333333333,0.0,0.0,0.0,0.0,0.02,0.95,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,23.183333333333298,16.8,43.47951114306261
20_01_28,OTT,Nikita Zaitsev,14.033333333333,1,0,1,1,0.48,0.31666666666667,0.0,0.0,0.0,0.0,0.0,2.6666666666667,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,17.016666666666367,15.2,53.59451518119585
20_01_28,STL,Robert Thomas,15.616666666667,0,1,0,0,0.0,0.88333333333333,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.6,0.0,16.50000000000033,9.6,34.90909090909021
20_01_28,STL,Jay Bouwmeester,21.15,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,23.25,1.6,4.129032258064516
20_01_28,CGY,Mark Giordano,22.466666666667,0,0,2,1,0.03,2.7333333333333,0.0,2.0,1.0,0.0,0.04,1.5,0.0,0.0,0.0,1.0,0.0,4.800000000000001,18.6,1.6,26.700000000000298,25.000000000000004,56.17977528089826
20_01_28,BUF,Kyle Okposo,13.833333333333,0,0,3,0,0.1,1.2333333333333,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,15.0666666666663,4.800000000000001,19.115044247788077
20_01_28,CGY,Milan Lucic,12.833333333333,0,0,1,1,0.08,0.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,13.36666666666633,3.2,14.36408977556146
20_01_28,BUF,Michael Frolik,11.283333333333,0,0,2,0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,2.6333333333333,0.0,0.0,0.0,1.0,0.0,3.2,0.0,1.6,13.916666666666298,4.800000000000001,20.694610778443664
20_01_28,OTT,Artem Anisimov,11.25,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,11.25,1.6,8.533333333333333
20_01_28,STL,Carl Gunnarsson,12.683333333333,0,0,1,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.2833333333333,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,13.966666666666299,3.2,13.747016706444276
20_01_28,OTT,Tyler Ennis,12.15,0,0,2,0,0.28,2.7166666666667,1.0,1.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,3.2,22.6,0.0,14.866666666666701,25.8,104.12556053811636
20_01_28,CGY,Travis Hamonic,19.8,0,0,0,2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.3666666666667,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,21.1666666666667,3.2,9.070866141732271
20_01_28,CGY,TJ Brodie,21.7,0,0,2,0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.63333333333333,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,23.33333333333333,3.2,8.228571428571431
20_01_28,OTT,Mark Borowiecki,14.516666666667,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333,1.0,0.0,1.0,3.0,0.23,1.6,0.0,20.4,17.8500000000003,22.0,73.94957983193153
20_01_28,STL,Tyler Bozak,17.266666666667,0,0,5,0,0.17,0.73333333333333,0.0,0.0,0.0,0.0,0.0,1.3833333333333,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,19.38333333333363,8.0,24.763542562338397
20_01_28,BUF,Marcus Johansson,14.516666666667,0,0,2,0,0.1,4.3333333333333,0.0,0.0,3.0,0.0,0.17,0.11666666666667,0.0,0.0,0.0,0.0,0.0,3.2,4.800000000000001,0.0,18.96666666666697,8.0,25.307557117750033
20_01_28,STL,Brayden Schenn,18.033333333333,0,0,2,0,0.26,1.25,0.0,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,3.2,8.5,0.0,19.283333333333,11.7,36.404494382023096
20_01_28,BUF,Johan Larsson,12.066666666667,0,0,1,0,0.06,0.28333333333333,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,14.60000000000033,1.6,6.575342465753276
20_01_28,STL,Justin Faulk,20.4,0,0,3,0,0.07,0.68333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,21.08333333333333,4.800000000000001,13.660079051383404
