date,team,name,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
19_12_14,NYI,Anthony Beauvillier,15.233333333333,1,2,6,1,0.32,1.9333333333333,0.0,0.0,0.0,0.0,0.0,0.63333333333333,0.0,0.0,0.0,0.0,0.0,39.2,0.0,0.0,17.79999999999963,39.2,132.1348314606769
19_12_14,STL,Robert Thomas,11.183333333333,0,3,1,0,0.12,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,13.133333333332999,25.6,116.95431472081518
19_12_14,MIN,Eric Staal,12.666666666667,2,0,3,1,0.23,4.5666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.400000000000002,0.0,0.0,17.2333333333337,30.400000000000002,105.84139264990104
19_12_14,DAL,Alexander Radulov,12.25,0,2,0,0,0.0,1.9333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,14.1833333333333,16.0,67.68507638072872
19_12_14,BOS,David Krejci,14.65,1,1,2,0,0.04,1.0166666666667,0.0,0.0,0.0,0.0,0.03,0.66666666666667,0.0,0.0,0.0,0.0,0.28,23.2,0.0,0.0,16.33333333333337,23.2,85.22448979591816
19_12_14,WSH,T.J. Oshie,15.883333333333,1,1,1,3,0.05,1.9166666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333,0.0,0.0,0.0,0.0,0.0,26.400000000000002,0.0,0.0,17.93333333333303,26.400000000000002,88.3271375464699
19_12_14,PIT,Kris Letang,18.75,0,2,1,2,0.03,5.0833333333333,0.0,1.0,1.0,0.0,0.05,2.8666666666667,0.0,0.0,0.0,0.0,0.0,20.8,10.1,0.0,26.7,30.9,69.43820224719101
19_12_14,FLA,Keith Yandle,16.416666666667,1,1,2,2,0.1,3.8166666666667,0.0,0.0,1.0,0.0,0.12,0.05,0.0,0.0,0.0,0.0,0.0,26.4,1.6,0.0,20.283333333333697,28.0,82.82662284305522
19_12_14,WSH,Nicklas Backstrom,16.233333333333,1,1,1,0,0.11,1.9166666666667,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,18.9499999999997,21.6,68.3905013192623
19_12_14,CHI,Jonathan Toews,11.45,0,2,1,0,0.04,3.9833333333333,0.0,0.0,2.0,0.0,0.38,2.9666666666667,0.0,0.0,0.0,0.0,0.0,17.6,3.2,0.0,18.4,20.8,67.82608695652175
19_12_14,S.J,Logan Couture,14.85,1,1,1,2,0.45,2.0166666666667,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,18.516666666666698,24.8,80.36003600360023
19_12_14,STL,Tyler Bozak,12.266666666667,2,0,4,0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,13.366666666667,30.4,136.458852867827
19_12_14,S.J,Evander Kane,14.55,1,1,6,0,1.93,1.7666666666667,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,16.916666666666703,29.6,104.98522167487663
19_12_14,L.A,Tyler Toffoli,11.483333333333,1,1,2,0,0.16,1.7833333333333,0.0,0.0,1.0,0.0,0.07,1.8666666666667,0.0,0.0,1.0,0.0,0.11,23.2,1.6,1.6,15.133333333332999,26.400000000000002,104.66960352423139
19_12_14,NYI,Brock Nelson,17.55,0,2,1,0,0.09,1.7,0.0,0.0,0.0,0.0,0.0,0.63333333333333,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,19.88333333333333,17.6,53.109807208717534
19_12_14,PIT,Bryan Rust,16.633333333333,1,1,5,1,0.44,4.1333333333333,1.0,0.0,1.0,0.0,0.26,2.4833333333333,0.0,0.0,0.0,0.0,0.0,29.6,14.1,0.0,23.2499999999996,43.7,112.77419354838905
19_12_14,CHI,Brandon Saad,11.783333333333,2,0,3,1,0.3,1.7666666666667,0.0,0.0,0.0,0.0,0.0,2.0166666666667,0.0,0.0,0.0,0.0,0.0,30.400000000000002,0.0,0.0,15.566666666666398,30.400000000000002,117.17344753747527
19_12_14,NYR,Mika Zibanejad,14.983333333333,2,0,6,0,0.42,2.4333333333333,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,1.0,0.0,33.6,0.0,1.6,21.5666666666663,35.2,97.92890262751325
19_12_14,TOR,Alexander Kerfoot,14.5,1,1,1,1,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333,0.0,0.0,0.0,0.0,0.0,23.200000000000003,0.0,0.0,14.63333333333333,23.200000000000003,95.12528473804105
19_12_14,PIT,Jake Guentzel,15.533333333333,0,2,1,3,0.05,4.1333333333333,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,22.400000000000002,8.5,0.0,20.2666666666663,30.900000000000002,91.4802631578964
19_12_14,OTT,Anthony Duclair,13.333333333333,2,0,2,0,0.12,1.9666666666667,1.0,0.0,1.0,0.0,0.1,1.3333333333333,0.0,0.0,0.0,0.0,0.0,27.2,14.1,0.0,16.633333333333,41.3,148.97795591182665
19_12_14,N.J,Miles Wood,12.983333333333,0,2,3,0,0.15,0.15,0.0,0.0,1.0,0.0,0.08,0.26666666666667,0.0,0.0,0.0,0.0,0.0,20.8,1.6,0.0,13.39999999999967,22.400000000000002,100.29850746268905
19_12_14,FLA,Aaron Ekblad,20.366666666667,0,2,4,1,0.12,2.95,0.0,0.0,1.0,0.0,0.06,2.2666666666667,0.0,0.0,0.0,0.0,0.0,24.0,1.6,0.0,25.5833333333337,25.6,60.039087947881875
19_12_14,TOR,Pierre Engvall,12.833333333333,0,2,1,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333,0.0,0.0,0.0,0.0,0.0,19.200000000000003,0.0,0.0,12.96666666666633,19.200000000000003,88.84318766067071
19_12_14,BOS,Jake DeBrusk,14.666666666667,1,1,1,0,0.19,0.96666666666667,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,21.6,1.6,0.0,15.63333333333367,23.200000000000003,89.04051172707698
19_12_14,CBJ,Pierre-Luc Dubois,14.133333333333,0,2,1,2,0.03,3.0833333333333,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20.8,1.6,0.0,17.2166666666663,22.400000000000002,78.06389157793004
19_12_14,N.J,Michael McLeod,9.95,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,9.95,17.6,106.13065326633168
19_12_14,CBJ,Alexandre Texier,12.616666666667,2,0,3,1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.400000000000002,0.0,0.0,12.616666666667,30.400000000000002,144.57067371201734
19_12_14,L.A,Sean Walker,15.466666666667,0,2,2,0,0.16,1.9666666666667,0.0,0.0,0.0,0.0,0.0,1.6166666666667,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,19.0500000000004,19.2,60.472440944880624
19_12_14,CBJ,Eric Robinson,10.266666666667,0,2,1,0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,10.266666666667,17.6,102.85714285713954
19_12_14,S.J,Joe Thornton,15.0,0,1,0,1,0.0,2.1166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,17.1166666666667,9.6,33.65141187925992
19_12_14,OTT,Ron Hainsey,22.833333333333,0,1,1,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,26.483333333333,9.6,21.749528005034886
19_12_14,NSH,Dan Hamhuis,15.616666666667,0,1,0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.7166666666667,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,17.333333333333698,9.6,33.23076923076853
19_12_14,MIN,Ryan Suter,15.416666666667,0,1,1,0,0.01,6.8666666666667,0.0,0.0,0.0,0.0,0.0,2.5333333333333,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,24.816666666667,9.6,23.210208193418087
19_12_14,L.A,Jeff Carter,14.35,0,1,3,0,0.08,1.7833333333333,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,17.9333333333333,12.8,42.825278810409
19_12_14,MIN,Zach Parise,10.166666666667,1,0,5,0,0.52,3.9333333333333,0.0,0.0,0.0,0.0,0.0,1.5166666666667,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,15.616666666667,20.0,76.84098185698876
