date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
21_02_27,DET,Valtteri Filppula,C,15.266666666667,0.0,2.0,1.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.200000000000003,0.0,0.0,15.266666666667,19.200000000000003,75.45851528384117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,DET,Frans Nielsen,C,15.266666666667,1.0,1.0,2.0,1.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,15.916666666667,24.8,93.48691099476244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,PIT,Kris Letang,D,19.75,2.0,0.0,3.0,0.0,0.28,5.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,8.5,0.0,25.1,37.3,89.1633466135458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,CGY,Mikael Backlund,C,15.883333333333,1.0,1.0,3.0,1.0,0.36,1.7333333333333,0.0,0.0,1.0,0.0,0.11,3.2,0.0,1.0,0.0,0.0,0.0,26.400000000000002,1.6,10.0,20.8166666666663,38.0,109.52762209768007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,WSH,Carl Hagelin,L,11.116666666667,0.0,2.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.8166666666667,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,12.9333333333337,17.6,81.64948453608017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,VGK,Alex Pietrangelo,D,22.15,1.0,1.0,4.0,3.0,0.23,2.5666666666667,0.0,0.0,0.0,0.0,0.0,1.6833333333333,0.0,0.0,0.0,0.0,0.0,31.2,0.0,0.0,26.4,31.2,70.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,WSH,John Carlson,D,18.4,0.0,2.0,3.0,1.0,0.11,2.4166666666667,0.0,0.0,0.0,0.0,0.0,0.78333333333333,0.0,0.0,0.0,0.0,0.0,22.400000000000002,0.0,0.0,21.60000000000003,22.400000000000002,62.222222222222136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,STL,Marco Scandella,D,19.683333333333,2.0,0.0,3.0,4.0,0.14,0.16666666666667,0.0,0.0,0.0,0.0,0.0,5.6166666666667,0.0,1.0,0.0,1.0,0.0,35.2,0.0,11.6,25.46666666666637,46.800000000000004,110.26178010471334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,STL,Ryan O'Reilly,C,17.0,1.0,1.0,3.0,0.0,0.4,1.65,0.0,0.0,0.0,0.0,0.0,5.2333333333333,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,23.883333333333297,24.8,62.302861130495565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,NSH,Mattias Ekholm,D,17.65,2.0,0.0,4.0,1.0,0.04,0.48333333333333,0.0,0.0,0.0,0.0,0.0,2.6166666666667,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,20.75000000000003,32.0,92.53012048192758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,COL,Joonas Donskoi,R,9.9833333333333,1.0,1.0,2.0,0.0,0.17,0.75,0.0,0.0,0.0,0.0,0.0,2.2833333333333,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,13.0166666666666,23.2,106.93982074263819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,VGK,William Karlsson,C,14.483333333333,2.0,0.0,3.0,0.0,0.23,2.85,0.0,0.0,0.0,0.0,0.0,1.1833333333333,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,18.516666666666303,28.8,93.32133213321515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,PHI,Sean Couturier,C,11.466666666667,1.0,1.0,5.0,0.0,0.78,2.9166666666667,0.0,0.0,0.0,0.0,0.0,2.1333333333333,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,16.516666666667,28.0,101.71543895055294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,ANA,Rickard Rakell,L,14.933333333333,1.0,1.0,4.0,0.0,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.0,0.0,16.933333333333,26.4,93.54330708661601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,MIN,Matt Dumba,D,20.383333333333,1.0,1.0,1.0,0.0,0.13,3.3666666666667,0.0,0.0,1.0,0.0,0.02,3.9,0.0,0.0,0.0,1.0,0.0,21.6,1.6,1.6,27.649999999999697,24.800000000000004,53.81555153707112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,COL,Andre Burakovsky,L,11.783333333333,0.0,2.0,2.0,1.0,0.06,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,12.533333333333,20.8,99.57446808510905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,VGK,Shea Theodore,D,23.316666666667,0.0,2.0,3.0,1.0,0.17,1.5333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.400000000000002,0.0,0.0,24.8500000000003,22.400000000000002,54.08450704225287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,MIN,Jordan Greenway,L,13.55,0.0,2.0,1.0,0.0,0.06,3.35,0.0,0.0,3.0,0.0,0.17,1.0833333333333,0.0,0.0,1.0,0.0,0.0,17.6,4.800000000000001,1.6,17.983333333333302,24.000000000000004,80.07414272474529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,S.J,Timo Meier,R,15.666666666667,1.0,1.0,3.0,1.0,0.16,2.8166666666667,1.0,0.0,1.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,26.400000000000002,14.1,0.0,18.4833333333337,40.5,131.4697926059487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,DET,Evgeny Svechnikov,R,12.066666666667,1.0,1.0,3.0,2.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,12.066666666667,28.0,139.22651933701272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,CGY,Matthew Tkachuk,L,16.316666666667,1.0,1.0,2.0,0.0,0.1,4.4833333333333,0.0,0.0,1.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,23.2,1.6,0.0,20.8000000000003,24.8,71.53846153846051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,CHI,Adam Boqvist,D,17.183333333333,0.0,2.0,1.0,0.0,0.03,1.5666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,18.749999999999698,17.6,56.32000000000091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,TOR,Joe Thornton,C,16.116666666667,0.0,1.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,16.516666666667,9.6,34.87386478304672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,TOR,Jason Spezza,C,11.9,1.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,11.9,13.6,68.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,MIN,Ryan Suter,D,16.616666666667,0.0,1.0,3.0,2.0,0.23,0.98333333333333,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,18.950000000000333,16.0,50.65963060685927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_02_27,S.J,Brent Burns,D,20.616666666667,0.0,1.0,1.0,0.0,0.1,6.0833333333333,0.0,1.0,2.0,0.0,0.2,0.63333333333333,0.0,0.0,0.0,0.0,0.0,9.6,11.7,0.0,27.33333333333363,21.299999999999997,46.75609756097509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
