date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
19_10_02,EDM,Leon Draisaitl,C,21.55,1.0,2.0,5.0,0.0,0.5,2.95,0.0,0.0,1.0,0.0,0.14,2.2666666666667,0.0,0.0,0.0,0.0,0.0,36.0,1.6,0.0,26.7666666666667,37.6,84.28393524283925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,WSH,John Carlson,D,21.266666666667,0.0,2.0,0.0,1.0,0.11,4.4333333333333,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,27.1000000000003,17.6,38.96678966789625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,EDM,Zack Kassian,R,16.15,1.0,1.0,1.0,1.0,0.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.200000000000003,0.0,0.0,17.2,23.200000000000003,80.93023255813955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,TOR,Tyson Barrie,D,16.016666666667,0.0,2.0,5.0,0.0,0.13,3.5166666666667,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.6,0.0,19.5333333333337,25.6,78.63481228668793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,EDM,Matthew Benning,D,11.783333333333,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,11.783333333333,17.6,89.61810466761217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,TOR,Ilya Mikheyev,R,12.75,1.0,1.0,1.0,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,2.5166666666667,0.0,0.0,0.0,0.0,0.02,23.200000000000003,0.0,0.0,15.2666666666667,23.200000000000003,91.17903930130986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,S.J,Brent Burns,D,17.883333333333,0.0,1.0,2.0,1.0,0.07,5.9166666666667,0.0,0.0,2.0,0.0,0.11,2.4333333333333,0.0,0.0,0.0,1.0,0.0,12.799999999999999,3.2,1.6,26.233333333333,17.6,40.254129606099625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,WSH,Alex Ovechkin,L,18.55,1.0,0.0,5.0,0.0,0.33,5.2833333333333,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,23.8333333333333,20.0,50.34965034965042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,VAN,Alexander Edler,D,18.35,1.0,0.0,5.0,0.0,0.1,4.3666666666667,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,3.0,0.0,20.0,0.0,4.800000000000001,25.6666666666667,24.8,57.9740259740259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,OTT,Bobby Ryan,R,12.65,1.0,0.0,3.0,0.0,0.37,2.6166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,15.266666666666701,16.8,66.0262008733623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,WSH,T.J. Oshie,R,16.066666666667,0.0,1.0,3.0,0.0,0.12,4.2333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,20.3000000000003,12.8,37.832512315270385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_02,S.J,Logan Couture,C,12.216666666667,0.0,1.0,0.0,0.0,0.0,5.3166666666667,0.0,0.0,1.0,0.0,0.06,0.76666666666667,0.0,0.0,0.0,0.0,0.0,8.0,1.6,0.0,18.30000000000037,9.6,31.475409836064937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
