date,team,name,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_02_15,WSH,Michal Kempny,17.5,0,0,4,0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,19.05,6.4,20.15748031496063
20_02_15,L.A,Trevor Moore,13.85,0,0,2,0,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.016666666666667,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,13.916666666666668,3.2,13.796407185628743
20_02_15,S.J,Mario Ferraro,11.35,0,0,0,1,0.0,0.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,12.28333333333333,1.6,7.815468113975579
20_02_15,VGK,Cody Glass,10.0,0,0,1,0,0.06,0.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,10.96666666666667,1.6,8.753799392097262
20_02_15,DAL,Jason Robertson,12.183333333333,0,0,2,0,0.11,1.45,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.6,0.0,13.633333333332999,4.800000000000001,21.124694376528637
20_02_15,DAL,Miro Heiskanen,22.716666666667,0,0,1,1,0.07,2.4333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,25.150000000000297,3.2,7.6341948310138275
20_02_15,COL,Cale Makar,21.75,0,0,2,1,0.12,0.41666666666667,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,22.216666666666672,4.800000000000001,12.96324081020255
20_02_15,CHI,David Kampf,10.0,0,0,1,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,13.7,1.6,7.007299270072993
20_02_15,S.J,Radim Simek,18.75,0,0,0,3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,21.05,4.800000000000001,13.681710213776725
20_02_15,DET,Gustav Lindstrom,17.466666666667,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,18.116666666666998,1.6,5.298988040478284
20_02_15,OTT,Drake Batherson,14.2,0,0,1,1,0.02,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,17.349999999999998,3.2,11.066282420749282
20_02_15,L.A,Sean Walker,19.4,0,0,0,1,0.02,0.3,0.0,0.0,1.0,0.0,0.12,0.18333333333333,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,19.88333333333333,3.2,9.656328583403187
20_02_15,S.J,Alexander True,7.55,0,0,0,0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55,0.0,0.0
20_02_15,VGK,Zach Whitecloud,12.833333333333,0,0,0,0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.51666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34999999999967,0.0,0.0
20_02_15,PHI,Joel Farabee,10.866666666667,0,0,2,1,0.1,2.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,13.5333333333337,4.800000000000001,21.28078817733933
20_02_15,NYI,Noah Dobson,9.95,0,0,0,1,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,11.6,1.6,8.275862068965518
20_02_15,CHI,Adam Boqvist,12.183333333333,0,0,0,1,0.0,1.8333333333333,0.0,0.0,0.0,0.0,0.0,1.1166666666667,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,15.133333333332999,1.6,6.343612334801903
20_02_15,TOR,Rasmus Sandin,12.1,0,0,1,0,0.01,0.016666666666667,0.0,0.0,0.0,0.0,0.0,1.0333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,13.149999999999967,1.6,7.300380228136901
20_02_15,BOS,Karson Kuhlman,13.316666666667,0,0,3,1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.46666666666667,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,13.78333333333367,6.4,27.859733978233905
20_02_15,ARI,Ilya Lyubushkin,14.633333333333,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.683333333333001,0.0,0.0
20_02_15,L.A,Blake Lizotte,12.966666666667,0,0,0,0,0.0,0.083333333333333,0.0,0.0,0.0,0.0,0.0,0.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.133333333333665,0.0,0.0
20_02_15,S.J,Joel Kellman,12.766666666667,0,0,1,1,0.19,0.78333333333333,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,15.20000000000033,3.2,12.631578947368148
20_02_15,EDM,Gaetan Haas,8.1,0,0,0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,8.1,1.6,11.851851851851853
